Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 52 - MARAVATIO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 885 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,165,54,67,1,1,0,4,,,,,3,,0,,5,,,0,11,311,610
C1,AC,Urna tradicional,176,74,50,0,2,2,13,,,,,3,,0,,3,,,0,8,331,610
C2,AC,Urna tradicional,158,82,65,5,1,0,7,,,,,5,,2,,1,,,0,7,333,610
Total,,,499,210,182,6,4,2,24,0,0,0,0,11,0,2,0,9,0,0,0,26,975,1830
Sección 886 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,179,59,84,1,1,0,9,,,,,8,,0,,5,,,0,8,354,565
C1,AC,Urna tradicional,153,64,69,0,0,0,7,,,,,3,,0,,2,,,1,11,310,565
C2,AC,Urna tradicional,158,59,69,3,4,4,2,,,,,8,,0,,0,,,0,9,316,566
Total,,,490,182,222,4,5,4,18,0,0,0,0,19,0,0,0,7,0,0,1,28,980,1696
Sección 887 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,107,62,65,6,0,2,15,,,,,0,,0,,0,,,0,6,263,513
C1,AC,Urna tradicional,99,51,80,3,0,1,10,,,,,1,,1,,7,,,0,5,258,513
C2,AC,Urna tradicional,108,69,66,0,0,1,11,,,,,2,,0,,6,,,1,13,277,513
Total,,,314,182,211,9,0,4,36,0,0,0,0,3,0,1,0,13,0,0,1,24,798,1539
Sección 888 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,139,73,113,1,3,1,19,,,,,0,,1,,7,,,0,19,376,717
C1,AC,Urna tradicional,112,61,130,2,3,1,20,,,,,5,,1,,6,,,0,15,356,718
Total,,,251,134,243,3,6,2,39,0,0,0,0,5,0,2,0,13,0,0,0,34,732,1435
Sección 889 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,147,83,60,1,0,0,10,,,,,4,,0,,0,,,0,8,313,590
C1,AC,Urna tradicional,141,70,76,1,0,0,3,,,,,0,,2,,1,,,2,24,320,590
Total,,,288,153,136,2,0,0,13,0,0,0,0,4,0,2,0,1,0,0,2,32,633,1180
Sección 890 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,126,52,38,1,2,1,4,,,,,3,,2,,2,,,0,10,241,505
C1,AC,Urna tradicional,134,50,26,1,2,0,5,,,,,4,,1,,1,,,1,15,240,506
C2,AC,Urna tradicional,139,71,50,2,2,0,2,,,,,4,,1,,1,,,1,12,285,506
Total,,,399,173,114,4,6,1,11,0,0,0,0,11,0,4,0,4,0,0,2,37,766,1517
Sección 891 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,153,71,77,5,3,2,6,,,,,4,,3,,3,,,0,11,338,609
C1,AC,Urna tradicional,141,63,48,16,3,0,17,,,,,4,,0,,5,,,0,11,308,609
C2,AC,Urna tradicional,138,72,51,10,5,0,12,,,,,5,,0,,2,,,0,7,302,609
Total,,,432,206,176,31,11,2,35,0,0,0,0,13,0,3,0,10,0,0,0,29,948,1827
Sección 892 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,120,51,58,1,0,0,6,,,,,2,,1,,5,,,1,11,256,500
C1,AC,Urna tradicional,110,62,46,2,3,0,6,,,,,0,,2,,3,,,2,11,247,501
C2,AC,Urna tradicional,110,62,46,2,3,0,6,,,,,0,,2,,3,,,2,11,247,501
Total,,,340,175,150,5,6,0,18,0,0,0,0,2,0,5,0,11,0,0,5,33,750,1502
Sección 893 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,116,75,68,1,2,0,3,,,,,1,,0,,6,,,0,7,279,561
C1,AC,Urna tradicional,142,82,65,3,0,1,3,,,,,2,,1,,4,,,1,15,319,562
Total,,,258,157,133,4,2,1,6,0,0,0,0,3,0,1,0,10,0,0,1,22,598,1123
Sección 894 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,126,51,110,3,4,1,6,,,,,3,,1,,4,,,0,10,319,709
C1,AC,Urna tradicional,116,75,115,6,1,0,6,,,,,2,,0,,6,,,3,12,342,709
Total,,,242,126,225,9,5,1,12,0,0,0,0,5,0,1,0,10,0,0,3,22,661,1418
Sección 895 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,99,57,129,2,3,0,8,,,,,5,,1,,4,,,0,7,315,695
C1,AC,Urna tradicional,97,61,121,3,0,0,24,,,,,7,,2,,3,,,1,5,324,695
C2,AC,Urna tradicional,133,69,123,2,2,0,18,,,,,5,,1,,9,,,0,6,368,695
Total,,,329,187,373,7,5,0,50,0,0,0,0,17,0,4,0,16,0,0,1,18,1007,2085
Sección 896 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,177,92,97,5,0,0,13,,,,,1,,1,,4,,,0,10,400,744
C1,AC,Urna tradicional,188,72,68,1,1,0,24,,,,,10,,4,,2,,,0,12,382,745
Total,,,365,164,165,6,1,0,37,0,0,0,0,11,0,5,0,6,0,0,0,22,782,1489
Sección 897 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,128,75,124,2,2,1,26,,,,,3,,0,,3,,,0,12,376,695
C1,AC,Urna tradicional,120,62,98,7,1,2,22,,,,,5,,1,,7,,,1,7,333,696
Total,,,248,137,222,9,3,3,48,0,0,0,0,8,0,1,0,10,0,0,1,19,709,1391
Sección 898 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,108,68,96,4,1,0,4,,,,,2,,4,,5,,,0,14,306,671
C1,AC,Urna tradicional,131,62,87,2,1,0,5,,,,,0,,0,,7,,,1,17,313,672
C2,AC,Urna tradicional,119,89,80,2,2,2,5,,,,,2,,2,,5,,,0,12,320,672
C3,AC,Urna tradicional,103,100,86,3,3,2,6,,,,,2,,1,,3,,,0,0,309,672
Total,,,461,319,349,11,7,4,20,0,0,0,0,6,0,7,0,20,0,0,1,43,1248,2687
Sección 899 ,,,,,,,,,,,,,,,,,,,,,,,,
