Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 109 - ZAMORA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Total,,,517,336,207,18,7,6,4,0,0,0,0,4,0,0,6,0,0,0,0,27,1132,2034
Sección 2496 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,139,90,50,1,2,4,0,,,,,3,,2,4,,,,0,197,492,478
C1,AC,Urna tradicional,164,59,43,1,0,0,0,,,,,3,,1,3,,,,0,8,282,479
Total,,,303,149,93,2,2,4,0,0,0,0,0,6,0,3,7,0,0,0,0,205,774,957
Sección 2497 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,112,106,59,15,2,6,9,,,,,1,,1,3,,,,0,9,323,540
C1,AC,Urna tradicional,111,114,95,0,0,0,0,,,,,0,,0,0,,,,0,11,331,540
C2,AC,Urna tradicional,134,80,59,9,0,8,2,,,,,0,,0,0,,,,0,30,322,540
Total,,,357,300,213,24,2,14,11,0,0,0,0,1,0,1,3,0,0,0,0,50,976,1620
Sección 2498 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,120,101,43,8,2,2,1,,,,,2,,0,0,,,,0,8,287,525
C1,AC,Urna tradicional,91,94,35,2,1,0,1,,,,,0,,0,2,,,,0,8,234,525
C2,AC,Urna tradicional,133,111,32,3,1,4,1,,,,,0,,0,0,,,,0,10,295,526
Total,,,344,306,110,13,4,6,3,0,0,0,0,2,0,0,2,0,0,0,0,26,816,1576
Sección 2499 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,162,106,69,3,1,3,2,,,,,3,,2,4,,,,0,12,367,673
C1,AC,Urna tradicional,167,106,55,3,3,5,6,,,,,0,,2,3,,,,0,9,359,673
Total,,,329,212,124,6,4,8,8,0,0,0,0,3,0,4,7,0,0,0,0,21,726,1346
Sección 2500 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,211,88,58,5,2,5,1,,,,,3,,0,1,,,,0,16,390,659
C1,AC,Urna tradicional,184,110,68,5,2,1,2,,,,,4,,1,4,,,,0,9,390,660
Total,,,395,198,126,10,4,6,3,0,0,0,0,7,0,1,5,0,0,0,0,25,780,1319
Sección 2501 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,67,82,37,6,1,1,3,,,,,1,,2,1,,,,0,8,209,517
C1,AC,Urna tradicional,73,84,48,0,4,4,1,,,,,4,,0,2,,,,0,9,229,518
C2,AC,Urna tradicional,67,80,36,5,3,0,0,,,,,1,,1,0,,,,1,10,204,518
Total,,,207,246,121,11,8,5,4,0,0,0,0,6,0,3,3,0,0,0,1,27,642,1553
Sección 2502 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,175,98,47,5,4,2,1,,,,,6,,0,1,,,,1,13,353,621
C1,AC,Urna tradicional,144,100,47,9,1,5,2,,,,,3,,0,1,,,,2,9,323,622
Total,,,319,198,94,14,5,7,3,0,0,0,0,9,0,0,2,0,0,0,3,22,676,1243
Sección 2503 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,175,103,64,10,2,3,0,,,,,9,,2,4,,,,0,348,720,709
C1,AC,Urna tradicional,130,131,69,6,5,4,3,,,,,5,,1,0,,,,0,4,358,709
Total,,,305,234,133,16,7,7,3,0,0,0,0,14,0,3,4,0,0,0,0,352,1078,1418
Sección 2504 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,123,76,38,4,1,3,3,,,,,2,,1,1,,,,0,11,263,509
C1,AC,Urna tradicional,128,83,51,0,0,5,0,,,,,0,,0,0,,,,0,5,272,509
Total,,,251,159,89,4,1,8,3,0,0,0,0,2,0,1,1,0,0,0,0,16,535,1018
Sección 2505 ,,,,,,,,,,,,,,,,,,,,,,,,
