Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 98 - TURICATO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2075 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,27,71,,,1,,1,157,,,,,,0,,,,,0,15,272,499
C1,AC,Urna tradicional,51,90,,,2,,1,130,,,,,,2,,,,,0,14,290,500
Total,,,78,161,0,0,3,0,2,287,0,0,0,0,0,2,0,0,0,0,0,29,562,999
Sección 2076 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,54,55,,,2,,3,261,,,,,,1,,,,,0,9,385,641
C1,AC,Urna tradicional,48,50,,,3,,1,255,,,,,,1,,,,,0,14,372,641
Total,,,102,105,0,0,5,0,4,516,0,0,0,0,0,2,0,0,0,0,0,23,757,1282
Sección 2077 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,128,107,,,0,,4,178,,,,,,0,,,,,2,17,436,671
Total,,,128,107,0,0,0,0,4,178,0,0,0,0,0,0,0,0,0,0,2,17,436,671
Sección 2078 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,114,29,,,1,,0,111,,,,,,0,,,,,0,20,275,523
Total,,,114,29,0,0,1,0,0,111,0,0,0,0,0,0,0,0,0,0,0,20,275,523
Sección 2079 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,40,194,,,0,,6,146,,,,,,4,,,,,0,11,401,592
C1,AC,Urna tradicional,52,172,,,2,,2,138,,,,,,5,,,,,4,7,382,593
Total,,,92,366,0,0,2,0,8,284,0,0,0,0,0,9,0,0,0,0,4,18,783,1185
Sección 2080 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,64,135,,,4,,4,87,,,,,,1,,,,,0,6,301,478
C1,AC,Urna tradicional,49,132,,,2,,6,80,,,,,,0,,,,,0,23,292,478
Total,,,113,267,0,0,6,0,10,167,0,0,0,0,0,1,0,0,0,0,0,29,593,956
Sección 2081 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,85,175,,,1,,8,115,,,,,,10,,,,,0,19,413,623
C1,AC,Urna tradicional,59,213,,,4,,12,83,,,,,,11,,,,,0,15,397,623
Total,,,144,388,0,0,5,0,20,198,0,0,0,0,0,21,0,0,0,0,0,34,810,1246
Sección 2082 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,79,224,,,0,,3,155,,,,,,0,,,,,0,12,473,699
Total,,,79,224,0,0,0,0,3,155,0,0,0,0,0,0,0,0,0,0,0,12,473,699
Sección 2083 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,53,120,,,1,,6,135,,,,,,3,,,,,0,5,323,526
C1,AC,Urna tradicional,72,141,,,0,,10,97,,,,,,0,,,,,0,9,329,527
Total,,,125,261,0,0,1,0,16,232,0,0,0,0,0,3,0,0,0,0,0,14,652,1053
Sección 2084 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,80,262,,,2,,2,122,,,,,,9,,,,,2,15,494,745
Total,,,80,262,0,0,2,0,2,122,0,0,0,0,0,9,0,0,0,0,2,15,494,745
Sección 2085 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,46,135,,,0,,3,95,,,,,,5,,,,,0,13,297,478
Total,,,46,135,0,0,0,0,3,95,0,0,0,0,0,5,0,0,0,0,0,13,297,478
Sección 2086 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,58,138,,,6,,2,196,,,,,,0,,,,,0,10,410,625
C1,AC,Urna tradicional,100,131,,,0,,10,156,,,,,,0,,,,,0,5,402,625
C2,AC,Urna tradicional,87,132,,,3,,0,165,,,,,,0,,,,,0,7,394,625
Total,,,245,401,0,0,9,0,12,517,0,0,0,0,0,0,0,0,0,0,0,22,1206,1875
Sección 2087 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,5,118,,,0,,1,81,,,,,,0,,,,,0,6,211,376
C1,AC,Urna tradicional,18,113,,,0,,1,75,,,,,,1,,,,,0,6,214,377
Total,,,23,231,0,0,0,0,2,156,0,0,0,0,0,1,0,0,0,0,0,12,425,753
Sección 2088 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,5,132,,,1,,0,72,,,,,,0,,,,,0,12,222,401
C1,AC,Urna tradicional,9,127,,,4,,0,73,,,,,,0,,,,,2,8,223,401
Total,,,14,259,0,0,5,0,0,145,0,0,0,0,0,0,0,0,0,0,2,20,445,802
Sección 2089 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,221,,,3,,0,115,,,,,,5,,,,,3,22,379,678
Total,,,10,221,0,0,3,0,0,115,0,0,0,0,0,5,0,0,0,0,3,22,379,678
Sección 2090 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,97,56,,,5,,3,117,,,,,,0,,,,,0,7,285,494
Total,,,97,56,0,0,5,0,3,117,0,0,0,0,0,0,0,0,0,0,0,7,285,494
Sección 2091 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,94,152,,,0,,1,67,,,,,,0,,,,,0,15,329,551
Total,,,94,152,0,0,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,15,329,551
Sección 2092 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,20,85,,,0,,1,113,,,,,,8,,,,,0,16,243,406
C1,AC,Urna tradicional,24,76,,,4,,1,125,,,,,,3,,,,,0,11,244,407
Total,,,44,161,0,0,4,0,2,238,0,0,0,0,0,11,0,0,0,0,0,27,487,813
Sección 2093 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,24,96,,,3,,1,222,,,,,,0,,,,,0,14,360,671
Total,,,24,96,0,0,3,0,1,222,0,0,0,0,0,0,0,0,0,0,0,14,360,671
Sección 2094 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,62,63,,,0,,2,90,,,,,,5,,,,,0,10,232,366
Total,,,62,63,0,0,0,0,2,90,0,0,0,0,0,5,0,0,0,0,0,10,232,366
Sección 2095 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,44,19,,,1,,0,157,,,,,,0,,,,,0,19,240,424
Total,,,44,19,0,0,1,0,0,157,0,0,0,0,0,0,0,0,0,0,0,19,240,424
Sección 2096 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,64,37,,,0,,2,186,,,,,,0,,,,,0,14,303,591
C1,AC,Urna tradicional,46,36,,,0,,0,194,,,,,,3,,,,,0,9,288,591
Total,,,110,73,0,0,0,0,2,380,0,0,0,0,0,3,0,0,0,0,0,23,591,1182
Sección 2097 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,85,30,,,0,,1,219,,,,,,0,,,,,0,22,357,702
C1,AC,Urna tradicional,55,27,,,8,,1,254,,,,,,35,,,,,0,15,395,702
Total,,,140,57,0,0,8,0,2,473,0,0,0,0,0,35,0,0,0,0,0,37,752,1404
Sección 2098 ,,,,,,,,,,,,,,,,,,,,,,,,
