Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 67 - PATZCUARO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1456 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,51,115,,,78,,2,100,,,,0,,,,,,,0,20,366,664
C1,AC,Urna tradicional,52,108,,,79,,2,81,,,,3,,,,,,,1,17,343,665
C2,AC,Urna tradicional,74,111,,,76,,4,98,,,,3,,,,,,,1,23,390,665
Total,,,177,334,0,0,233,0,8,279,0,0,0,6,0,0,0,0,0,0,2,60,1099,1994
Sección 1457 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,79,130,,,70,,0,62,,,,0,,,,,,,0,22,363,674
C1,AC,Urna tradicional,68,137,,,83,,3,74,,,,1,,,,,,,0,28,394,675
Total,,,147,267,0,0,153,0,3,136,0,0,0,1,0,0,0,0,0,0,0,50,757,1349
Sección 1458 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,66,101,,,43,,1,80,,,,0,,,,,,,0,21,312,613
C1,AC,Urna tradicional,53,107,,,45,,2,97,,,,0,,,,,,,0,15,319,613
C2,AC,Urna tradicional,64,94,,,46,,6,77,,,,0,,,,,,,1,18,306,614
C3,AC,Urna tradicional,66,90,,,53,,1,70,,,,67,,,,,,,0,16,363,614
Total,,,249,392,0,0,187,0,10,324,0,0,0,67,0,0,0,0,0,0,1,70,1300,2454
Sección 1459 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,76,103,,,45,,0,90,,,,76,,,,,,,0,11,401,600
C1,AC,Urna tradicional,63,116,,,50,,0,71,,,,8,,,,,,,0,19,327,601
C2,AC,Urna tradicional,68,98,,,52,,1,70,,,,3,,,,,,,0,17,309,601
C3,AC,Urna tradicional,55,108,,,44,,2,65,,,,3,,,,,,,0,17,294,601
C4,AC,Urna tradicional,59,97,,,56,,1,81,,,,0,,,,,,,0,19,313,601
Total,,,321,522,0,0,247,0,4,377,0,0,0,90,0,0,0,0,0,0,0,83,1644,3004
Sección 1460 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,76,142,,,52,,8,102,,,,0,,,,,,,1,27,408,720
C1,AC,Urna tradicional,74,138,,,51,,4,92,,,,0,,,,,,,0,18,377,720
C2,AC,Urna tradicional,74,138,,,51,,4,92,,,,0,,,,,,,0,18,377,720
Total,,,224,418,0,0,154,0,16,286,0,0,0,0,0,0,0,0,0,0,1,63,1162,2160
Sección 1461 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,55,82,,,30,,7,42,,,,0,,,,,,,0,12,228,453
C1,AC,Urna tradicional,52,86,,,26,,1,45,,,,0,,,,,,,0,9,219,453
Total,,,107,168,0,0,56,0,8,87,0,0,0,0,0,0,0,0,0,0,0,21,447,906
Sección 1462 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,62,108,,,52,,0,55,,,,0,,,,,,,1,17,295,545
C1,AC,Urna tradicional,51,103,,,53,,0,74,,,,3,,,,,,,0,10,294,545
C2,AC,Urna tradicional,39,94,,,53,,2,66,,,,2,,,,,,,0,26,282,546
Total,,,152,305,0,0,158,0,2,195,0,0,0,5,0,0,0,0,0,0,1,53,871,1636
Sección 1463 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,43,84,,,37,,0,48,,,,1,,,,,,,0,10,223,423
C1,AC,Urna tradicional,49,90,,,33,,1,44,,,,0,,,,,,,0,13,230,423
Total,,,92,174,0,0,70,0,1,92,0,0,0,1,0,0,0,0,0,0,0,23,453,846
Sección 1464 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,66,87,,,30,,4,40,,,,0,,,,,,,0,17,244,472
C1,AC,Urna tradicional,55,117,,,42,,0,56,,,,0,,,,,,,0,16,286,473
Total,,,121,204,0,0,72,0,4,96,0,0,0,0,0,0,0,0,0,0,0,33,530,945
Sección 1465 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,58,123,,,50,,5,61,,,,1,,,,,,,0,23,321,574
C1,AC,Urna tradicional,69,131,,,55,,2,54,,,,0,,,,,,,0,16,327,574
Total,,,127,254,0,0,105,0,7,115,0,0,0,1,0,0,0,0,0,0,0,39,648,1148
Sección 1466 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,43,141,,,49,,0,42,,,,3,,,,,,,0,12,290,478
