Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 89 - TARIMBARO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1959 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,87,126,81,4,,3,1,,,,,4,,,,,,,0,12,318,519
C1,AC,Urna tradicional,95,107,77,2,,2,0,,,,,7,,,,,,,0,22,312,519
C2,AC,Urna tradicional,115,108,70,3,,1,0,,,,,4,,,,,,,0,10,311,520
Total,,,297,341,228,9,0,6,1,0,0,0,0,15,0,0,0,0,0,0,0,44,941,1558
Sección 1960 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,162,118,98,3,,11,7,,,,,0,,,,,,,0,9,408,601
C1,AC,Urna tradicional,125,121,102,1,,6,0,,,,,0,,,,,,,0,8,363,601
C2,AC,Urna tradicional,131,98,127,2,,7,2,,,,,11,,,,,,,0,13,391,601
Total,,,418,337,327,6,0,24,9,0,0,0,0,11,0,0,0,0,0,0,0,30,1162,1803
Sección 1961 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,113,140,87,0,,0,0,,,,,2,,,,,,,0,12,354,527
C1,AC,Urna tradicional,93,124,82,0,,4,1,,,,,2,,,,,,,0,10,316,527
C2,AC,Urna tradicional,122,114,71,0,,6,4,,,,,4,,,,,,,0,10,331,528
Total,,,328,378,240,0,0,10,5,0,0,0,0,8,0,0,0,0,0,0,0,32,1001,1582
Sección 1962 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,59,182,51,1,,1,2,,,,,6,,,,,,,0,5,307,531
C1,AC,Urna tradicional,47,150,62,1,,3,2,,,,,11,,,,,,,1,10,287,532
C2,AC,Urna tradicional,62,143,70,0,,0,2,,,,,0,,,,,,,0,17,294,532
Total,,,168,475,183,2,0,4,6,0,0,0,0,17,0,0,0,0,0,0,1,32,888,1595
Sección 1963 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,91,119,84,0,,2,0,,,,,0,,,,,,,0,8,304,555
C1,AC,Urna tradicional,66,87,73,3,,1,5,,,,,10,,,,,,,0,11,256,555
C2,AC,Urna tradicional,101,128,60,4,,1,3,,,,,3,,,,,,,0,10,310,555
Total,,,258,334,217,7,0,4,8,0,0,0,0,13,0,0,0,0,0,0,0,29,870,1665
Sección 1964 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,126,137,87,4,,0,6,,,,,10,,,,,,,1,18,389,737
Total,,,126,137,87,4,0,0,6,0,0,0,0,10,0,0,0,0,0,0,1,18,389,737
Sección 1965 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,95,75,95,4,,2,5,,,,,0,,,,,,,0,15,291,580
C1,AC,Urna tradicional,87,89,116,3,,0,11,,,,,6,,,,,,,0,5,317,580
C2,AC,Urna tradicional,96,89,93,4,,1,10,,,,,11,,,,,,,0,11,315,581
Total,,,278,253,304,11,0,3,26,0,0,0,0,17,0,0,0,0,0,0,0,31,923,1741
Sección 1966 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,54,94,118,3,,2,1,,,,,2,,,,,,,0,11,285,578
C1,AC,Urna tradicional,49,109,112,4,,2,1,,,,,0,,,,,,,0,18,295,578
E1,AC,Urna tradicional,27,117,90,3,,4,2,,,,,0,,,,,,,2,9,254,425
E1C1,AC,Urna tradicional,31,107,118,1,,3,2,,,,,1,,,,,,,0,6,269,426
Total,,,161,427,438,11,0,11,6,0,0,0,0,3,0,0,0,0,0,0,2,44,1103,2007
Sección 1967 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,68,141,185,3,,4,0,,,,,0,,,,,,,0,22,423,690
C1,AC,Urna tradicional,70,184,170,2,,15,3,,,,,0,,,,,,,0,0,444,690
C2,AC,Urna tradicional,104,199,120,2,,7,0,,,,,0,,,,,,,0,14,446,691
C3,AC,Urna tradicional,73,222,112,1,,8,2,,,,,0,,,,,,,0,18,436,691
Total,,,315,746,587,8,0,34,5,0,0,0,0,0,0,0,0,0,0,0,0,54,1749,2762
Sección 1968 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,55,55,70,1,,5,9,,,,,6,,,,,,,0,8,209,448
C1,AC,Urna tradicional,73,34,55,4,,13,14,,,,,5,,,,,,,0,11,209,448
Total,,,128,89,125,5,0,18,23,0,0,0,0,11,0,0,0,0,0,0,0,19,418,896
Sección 1969 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,121,64,112,4,,3,2,,,,,6,,,,,,,0,21,333,582
E1,AC,Urna tradicional,92,142,83,5,,0,0,,,,,0,,,,,,,0,14,336,666
Total,,,213,206,195,9,0,3,2,0,0,0,0,6,0,0,0,0,0,0,0,35,669,1248
Sección 1970 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,33,208,144,8,,1,0,,,,,2,,,,,,,0,24,420,688
E1,AC,Urna tradicional,51,64,62,4,,2,0,,,,,0,,,,,,,0,24,207,382
E1C1,AC,Urna tradicional,41,69,80,6,,3,0,,,,,0,,,,,,,0,13,212,383
Total,,,125,341,286,18,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,61,839,1453
Sección 1971 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,42,143,144,4,,0,0,,,,,0,,,,,,,0,18,351,513
C1,AC,Urna tradicional,34,139,146,9,,3,1,,,,,0,,,,,,,0,8,340,513
C2,AC,Urna tradicional,52,141,93,1,,0,2,,,,,0,,,,,,,0,23,312,514
E1,AC,Urna tradicional,58,208,128,5,,3,1,,,,,2,,,,,,,0,14,419,626
Total,,,186,631,511,19,0,6,4,0,0,0,0,2,0,0,0,0,0,0,0,63,1422,2166
Sección 1972 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,68,181,125,2,,1,2,,,,,0,,,,,,,0,22,401,694
C1,AC,Urna tradicional,61,187,138,4,,4,1,,,,,0,,,,,,,0,20,415,694
Total,,,129,368,263,6,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,42,816,1388
Sección 1973 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,52,133,70,0,,4,0,,,,,0,,,,,,,0,17,276,430
C1,AC,Urna tradicional,24,140,86,2,,0,0,,,,,0,,,,,,,0,11,263,430
Total,,,76,273,156,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,539,860
Sección 1974 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,90,184,140,7,,2,4,,,,,4,,,,,,,0,16,447,677
C1,AC,Urna tradicional,81,167,117,1,,0,3,,,,,1,,,,,,,0,20,390,677
C2,AC,Urna tradicional,105,128,137,6,,5,4,,,,,0,,,,,,,0,18,403,678
Total,,,276,479,394,14,0,7,11,0,0,0,0,5,0,0,0,0,0,0,0,54,1240,2032
Sección 1975 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,31,145,86,3,,0,1,,,,,4,,,,,,,0,7,277,402
C1,AC,Urna tradicional,48,137,88,3,,3,1,,,,,0,,,,,,,0,6,286,403
E1,AC,Urna tradicional,42,98,90,5,,2,2,,,,,0,,,,,,,0,9,248,409
E1C1,AC,Urna tradicional,46,112,83,6,,2,0,,,,,0,,,,,,,0,5,254,410
Total,,,167,492,347,17,0,7,4,0,0,0,0,4,0,0,0,0,0,0,0,27,1065,1624
Sección 1976 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,69,149,71,10,,1,2,,,,,1,,,,,,,0,20,323,679
C1,AC,Urna tradicional,81,127,83,8,,3,0,,,,,3,,,,,,,0,17,322,679
C2,AC,Urna tradicional,82,154,83,11,,3,3,,,,,2,,,,,,,0,10,348,679
E1,AC,Urna tradicional,158,183,64,5,,5,18,,,,,0,,,,,,,0,13,446,719
E1C1,AC,Urna tradicional,154,206,58,6,,4,7,,,,,4,,,,,,,0,23,462,719
E2,AC,Urna tradicional,78,149,85,5,,8,1,,,,,0,,,,,,,0,11,337,707
E2C1,AC,Urna tradicional,122,133,76,3,,5,7,,,,,0,,,,,,,0,9,355,707
E2C2,AC,Urna tradicional,107,149,92,3,,0,6,,,,,0,,,,,,,0,12,369,707
E2C3,AC,Urna tradicional,102,155,85,6,,1,1,,,,,0,,,,,,,0,14,364,707
E2C4,AC,Urna tradicional,107,146,68,15,,4,7,,,,,3,,,,,,,0,9,359,707
E2C5,AC,Urna tradicional,103,148,84,6,,0,3,,,,,0,,,,,,,3,8,355,707
E2C6,AC,Urna tradicional,94,134,73,8,,5,2,,,,,4,,,,,,,0,15,335,707
E2C7,AC,Urna tradicional,97,140,87,7,,1,0,,,,,2,,,,,,,0,14,348,707
E2C8,AC,Urna tradicional,109,143,97,5,,0,6,,,,,3,,,,,,,0,13,376,708
E2C9,AC,Urna tradicional,101,133,73,9,,2,6,,,,,0,,,,,,,0,11,335,708
E2C10,AC,Urna tradicional,102,140,85,12,,4,0,,,,,0,,,,,,,1,16,360,708
E2C11,AC,Urna tradicional,103,145,66,4,,1,3,,,,,1,,,,,,,0,14,337,708
E2C12,AC,Urna tradicional,97,150,79,5,,2,1,,,,,6,,,,,,,1,14,355,708
E3,AC,Urna tradicional,29,80,50,8,,4,4,,,,,0,,,,,,,1,13,189,373
Total,,,1895,2764,1459,136,0,53,77,0,0,0,0,29,0,0,0,0,0,0,6,256,6675,13044
Sección 1977 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,75,199,72,6,,2,5,,,,,0,,,,,,,0,6,365,669
C1,AC,Urna tradicional,72,194,59,6,,2,3,,,,,0,,,,,,,0,17,353,669
C2,AC,Urna tradicional,78,194,72,5,,3,4,,,,,2,,,,,,,0,14,372,669
C3,AC,Urna tradicional,78,169,76,6,,2,2,,,,,0,,,,,,,0,18,351,669
C4,AC,Urna tradicional,71,193,92,6,,1,1,,,,,2,,,,,,,1,14,381,669
C5,AC,Urna tradicional,71,185,72,2,,1,2,,,,,3,,,,,,,0,15,351,670
C6,AC,Urna tradicional,77,160,106,7,,0,2,,,,,2,,,,,,,0,15,369,670
E1,AC,Urna tradicional,63,77,99,14,,1,5,,,,,0,,,,,,,1,13,273,585
E1C1,AC,Urna tradicional,77,86,160,7,,1,3,,,,,3,,,,,,,0,12,349,586
E1C2,AC,Urna tradicional,60,106,122,12,,2,3,,,,,0,,,,,,,0,9,314,586
E1C3,AC,Urna tradicional,45,103,143,9,,1,6,,,,,4,,,,,,,0,7,318,586
Total,,,767,1666,1073,80,0,16,36,0,0,0,0,16,0,0,0,0,0,0,2,140,3796,7028
Sección 1978 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,107,56,94,2,,0,1,,,,,8,,,,,,,0,19,287,534
C1,AC,Urna tradicional,153,35,95,7,,1,2,,,,,9,,,,,,,0,8,310,535
Total,,,260,91,189,9,0,1,3,0,0,0,0,17,0,0,0,0,0,0,0,27,597,1069
Total municipal,,,6571,10828,7609,373,0,222,235,0,0,0,0,186,0,0,0,0,0,0,12,1066,27102,48258
