Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 100 - TUZANTLA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2130 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,46,154,,,3,,,115,,,,,,0,,,,,0,9,327,590
C1,AC,Urna tradicional,57,150,,,3,,,127,,,,,,6,,,,,0,11,354,591
Total,,,103,304,0,0,6,0,0,242,0,0,0,0,0,6,0,0,0,0,0,20,681,1181
Sección 2131 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,56,117,,,4,,,147,,,,,,8,,,,,0,11,343,540
C1,AC,Urna tradicional,60,111,,,0,,,126,,,,,,0,,,,,0,5,302,540
C2,AC,Urna tradicional,30,138,,,2,,,136,,,,,,2,,,,,0,11,319,540
Total,,,146,366,0,0,6,0,0,409,0,0,0,0,0,10,0,0,0,0,0,27,964,1620
Sección 2132 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,26,27,,,0,,,95,,,,,,0,,,,,0,5,153,268
E1,AC,Urna tradicional,8,48,,,1,,,100,,,,,,4,,,,,0,4,165,283
Total,,,34,75,0,0,1,0,0,195,0,0,0,0,0,4,0,0,0,0,0,9,318,551
Sección 2133 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,42,122,,,1,,,166,,,,,,5,,,,,0,8,344,589
C1,AC,Urna tradicional,36,133,,,3,,,148,,,,,,8,,,,,0,13,341,590
Total,,,78,255,0,0,4,0,0,314,0,0,0,0,0,13,0,0,0,0,0,21,685,1179
Sección 2134 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,57,161,,,0,,,217,,,,,,1,,,,,0,8,444,682
Total,,,57,161,0,0,0,0,0,217,0,0,0,0,0,1,0,0,0,0,0,8,444,682
Sección 2135 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,24,103,,,0,,,124,,,,,,0,,,,,0,5,256,383
C1,AC,Urna tradicional,29,101,,,0,,,101,,,,,,0,,,,,0,2,233,383
Total,,,53,204,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,7,489,766
Sección 2136 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,19,244,,,0,,,181,,,,,,0,,,,,0,26,470,697
Total,,,19,244,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,26,470,697
Sección 2137 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,25,93,,,2,,,58,,,,,,0,,,,,0,3,181,307
Total,,,25,93,0,0,2,0,0,58,0,0,0,0,0,0,0,0,0,0,0,3,181,307
Sección 2138 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,66,141,,,0,,,190,,,,,,0,,,,,0,13,410,655
Total,,,66,141,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,13,410,655
Sección 2139 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,59,100,,,16,,,127,,,,,,5,,,,,0,9,316,502
C1,AC,Urna tradicional,53,128,,,23,,,120,,,,,,0,,,,,0,9,333,502
Total,,,112,228,0,0,39,0,0,247,0,0,0,0,0,5,0,0,0,0,0,18,649,1004
Sección 2140 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,96,,,0,,,104,,,,,,1,,,,,0,15,226,401
C1,AC,Urna tradicional,12,99,,,0,,,127,,,,,,0,,,,,0,4,242,401
Total,,,22,195,0,0,0,0,0,231,0,0,0,0,0,1,0,0,0,0,0,19,468,802
Sección 2141 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,61,94,,,2,,,81,,,,,,5,,,,,0,12,255,503
C1,AC,Urna tradicional,53,105,,,0,,,101,,,,,,2,,,,,0,7,268,504
Total,,,114,199,0,0,2,0,0,182,0,0,0,0,0,7,0,0,0,0,0,19,523,1007
Sección 2142 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,5,129,,,1,,,115,,,,,,5,,,,,0,3,258,458
Total,,,5,129,0,0,1,0,0,115,0,0,0,0,0,5,0,0,0,0,0,3,258,458
Sección 2143 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,9,,,0,,,37,,,,,,0,,,,,0,2,50,120
Total,,,2,9,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,2,50,120
Sección 2144 ,,,,,,,,,,,,,,,,,,,,,,,,
