Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 113 - ZITACUARO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2578 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,136,141,,,10,,4,71,,,,0,,,,,,,0,11,373,685
C1,AC,Urna tradicional,103,128,,,16,,0,73,,,,3,,,,,,,2,12,337,685
Total,,,239,269,0,0,26,0,4,144,0,0,0,3,0,0,0,0,0,0,2,23,710,1370
Sección 2579 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,143,172,,,18,,3,73,,,,0,,,,,,,0,15,424,745
C1,AC,Urna tradicional,117,157,,,26,,3,85,,,,5,,,,,,,0,16,409,746
Total,,,260,329,0,0,44,0,6,158,0,0,0,5,0,0,0,0,0,0,0,31,833,1491
Sección 2580 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,89,117,,,16,,4,45,,,,0,,,,,,,1,18,290,517
C1,AC,Urna tradicional,104,118,,,16,,3,48,,,,1,,,,,,,1,11,302,517
Total,,,193,235,0,0,32,0,7,93,0,0,0,1,0,0,0,0,0,0,2,29,592,1034
Sección 2581 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,81,95,,,7,,1,66,,,,0,,,,,,,0,11,261,476
C1,AC,Urna tradicional,82,76,,,10,,3,68,,,,5,,,,,,,1,13,258,477
Total,,,163,171,0,0,17,0,4,134,0,0,0,5,0,0,0,0,0,0,1,24,519,953
Sección 2582 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,95,108,,,5,,1,51,,,,4,,,,,,,0,4,268,472
C1,AC,Urna tradicional,102,111,,,15,,3,46,,,,0,,,,,,,0,9,286,472
Total,,,197,219,0,0,20,0,4,97,0,0,0,4,0,0,0,0,0,0,0,13,554,944
