Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 78 - SAN LUCAS,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1768 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,8,218,,,0,,,100,,,,,,7,,,,,0,9,342,584
C1,AC,Urna tradicional,3,172,,,2,,,120,,,,,,6,,,,,0,9,312,585
Total,,,11,390,0,0,2,0,0,220,0,0,0,0,0,13,0,0,0,0,0,18,654,1169
Sección 1769 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,4,121,,,0,,,112,,,,,,4,,,,,0,9,250,428
C1,AC,Urna tradicional,3,152,,,1,,,91,,,,,,1,,,,,0,6,254,428
Total,,,7,273,0,0,1,0,0,203,0,0,0,0,0,5,0,0,0,0,0,15,504,856
Sección 1770 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,4,145,,,2,,,139,,,,,,4,,,,,1,12,307,526
C1,AC,Urna tradicional,7,156,,,0,,,91,,,,,,0,,,,,0,7,261,527
Total,,,11,301,0,0,2,0,0,230,0,0,0,0,0,4,0,0,0,0,1,19,568,1053
Sección 1771 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,8,188,,,0,,,108,,,,,,5,,,,,0,10,319,573
Total,,,8,188,0,0,0,0,0,108,0,0,0,0,0,5,0,0,0,0,0,10,319,573
Sección 1772 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,133,,,5,,,129,,,,,,3,,,,,0,14,297,612
Total,,,13,133,0,0,5,0,0,129,0,0,0,0,0,3,0,0,0,0,0,14,297,612
Sección 1773 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,26,20,,,2,,,114,,,,,,0,,,,,0,17,179,444
C1,AC,Urna tradicional,26,31,,,2,,,118,,,,,,0,,,,,0,21,198,445
Total,,,52,51,0,0,4,0,0,232,0,0,0,0,0,0,0,0,0,0,0,38,377,889
Sección 1774 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,72,,,1,,,102,,,,,,4,,,,,0,18,210,454
C1,AC,Urna tradicional,10,95,,,1,,,111,,,,,,0,,,,,0,9,226,455
Total,,,23,167,0,0,2,0,0,213,0,0,0,0,0,4,0,0,0,0,0,27,436,909
Sección 1775 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,23,84,,,1,,,230,,,,,,0,,,,,0,13,351,660
Total,,,23,84,0,0,1,0,0,230,0,0,0,0,0,0,0,0,0,0,0,13,351,660
Sección 1776 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,32,93,,,0,,,79,,,,,,0,,,,,0,7,211,430
Total,,,32,93,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,7,211,430
Sección 1777 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,4,54,,,0,,,49,,,,,,1,,,,,0,3,111,216
Total,,,4,54,0,0,0,0,0,49,0,0,0,0,0,1,0,0,0,0,0,3,111,216
Sección 1778 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,62,59,,,0,,,210,,,,,,1,,,,,0,4,336,750
Total,,,62,59,0,0,0,0,0,210,0,0,0,0,0,1,0,0,0,0,0,4,336,750
Sección 1779 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,131,32,,,0,,,118,,,,,,0,,,,,0,10,291,598
C1,AC,Urna tradicional,92,34,,,1,,,126,,,,,,0,,,,,0,5,258,598
Total,,,223,66,0,0,1,0,0,244,0,0,0,0,0,0,0,0,0,0,0,15,549,1196
Sección 1780 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,24,20,,,0,,,91,,,,,,0,,,,,0,0,135,303
Total,,,24,20,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,135,303
Sección 1781 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,40,79,,,1,,,183,,,,,,3,,,,,0,12,318,626
C1,AC,Urna tradicional,61,64,,,2,,,163,,,,,,0,,,,,0,12,302,626
Total,,,101,143,0,0,3,0,0,346,0,0,0,0,0,3,0,0,0,0,0,24,620,1252
Sección 1782 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,32,94,,,0,,,129,,,,,,0,,,,,0,10,265,581
C1,AC,Urna tradicional,49,61,,,3,,,172,,,,,,0,,,,,0,10,295,582
Total,,,81,155,0,0,3,0,0,301,0,0,0,0,0,0,0,0,0,0,0,20,560,1163
Sección 1783 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,70,52,,,0,,,121,,,,,,1,,,,,1,7,252,462
C1,AC,Urna tradicional,52,58,,,0,,,120,,,,,,0,,,,,0,0,230,463
Total,,,122,110,0,0,0,0,0,241,0,0,0,0,0,1,0,0,0,0,1,7,482,925
Sección 1784 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,43,45,,,1,,,126,,,,,,1,,,,,0,12,228,501
C1,AC,Urna tradicional,48,55,,,0,,,118,,,,,,1,,,,,0,5,227,501
C2,AC,Urna tradicional,41,52,,,0,,,155,,,,,,0,,,,,0,8,256,502
Total,,,132,152,0,0,1,0,0,399,0,0,0,0,0,2,0,0,0,0,0,25,711,1504
Sección 1785 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,61,61,,,0,,,153,,,,,,1,,,,,0,11,287,572
C1,AC,Urna tradicional,71,60,,,2,,,171,,,,,,2,,,,,0,9,315,573
Total,,,132,121,0,0,2,0,0,324,0,0,0,0,0,3,0,0,0,0,0,20,602,1145
Sección 1786 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,60,40,,,3,,,155,,,,,,0,,,,,0,8,266,575
C1,AC,Urna tradicional,67,67,,,2,,,142,,,,,,1,,,,,0,2,281,575
Total,,,127,107,0,0,5,0,0,297,0,0,0,0,0,1,0,0,0,0,0,10,547,1150
Sección 1787 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,6,148,,,1,,,157,,,,,,3,,,,,0,9,324,602
Total,,,6,148,0,0,1,0,0,157,0,0,0,0,0,3,0,0,0,0,0,9,324,602
Total municipal,,,1194,2815,0,0,33,0,0,4303,0,0,0,0,0,49,0,0,0,0,2,298,8694,17357
