Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 34 - HIDALGO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 480 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,142,112,,,5,,1,42,,,,4,,0,,,,,0,14,320,592
C1,AC,Urna tradicional,136,126,,,0,,0,44,,,,6,,4,,,,,0,12,328,592
C2,AC,Urna tradicional,135,97,,,4,,0,38,,,,0,,2,,,,,0,14,290,593
C3,AC,Urna tradicional,160,96,,,4,,0,41,,,,4,,0,,,,,0,7,312,593
Total,,,573,431,0,0,13,0,1,165,0,0,0,14,0,6,0,0,0,0,0,47,1250,2370
Sección 481 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,132,92,,,3,,4,84,,,,0,,0,,,,,1,8,324,629
C1,AC,Urna tradicional,111,95,,,5,,2,94,,,,5,,1,,,,,0,7,320,629
C2,AC,Urna tradicional,101,86,,,1,,2,104,,,,2,,1,,,,,1,12,310,629
C3,AC,Urna tradicional,108,114,,,1,,1,54,,,,6,,0,,,,,0,9,293,629
C4,AC,Urna tradicional,98,96,,,4,,1,80,,,,10,,1,,,,,0,15,305,629
Total,,,550,483,0,0,14,0,10,416,0,0,0,23,0,3,0,0,0,0,2,51,1552,3145
Sección 482 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,140,99,,,1,,4,45,,,,7,,1,,,,,0,10,307,665
C1,AC,Urna tradicional,134,101,,,7,,2,57,,,,7,,0,,,,,0,12,320,665
C2,AC,Urna tradicional,126,120,,,5,,3,48,,,,1,,3,,,,,0,8,314,665
C3,AC,Urna tradicional,126,106,,,3,,0,52,,,,6,,3,,,,,0,14,310,665
C4,AC,Urna tradicional,119,113,,,1,,0,56,,,,0,,0,,,,,1,9,299,666
C5,AC,Urna tradicional,137,91,,,0,,2,56,,,,4,,5,,,,,1,11,307,666
Total,,,782,630,0,0,17,0,11,314,0,0,0,25,0,12,0,0,0,0,2,64,1857,3992
Sección 483 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,167,95,,,1,,1,48,,,,3,,2,,,,,0,14,331,671
C1,AC,Urna tradicional,168,111,,,4,,1,61,,,,3,,0,,,,,0,13,361,671
C2,AC,Urna tradicional,152,106,,,2,,1,41,,,,4,,1,,,,,0,14,321,672
C3,AC,Urna tradicional,152,108,,,5,,1,38,,,,2,,2,,,,,0,9,317,672
Total,,,639,420,0,0,12,0,4,188,0,0,0,12,0,5,0,0,0,0,0,50,1330,2686
Sección 484 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,115,119,,,2,,2,46,,,,4,,2,,,,,0,5,295,616
C1,AC,Urna tradicional,111,133,,,4,,1,54,,,,0,,0,,,,,0,5,308,617
C2,AC,Urna tradicional,123,139,,,2,,0,41,,,,3,,0,,,,,0,8,316,617
Total,,,349,391,0,0,8,0,3,141,0,0,0,7,0,2,0,0,0,0,0,18,919,1850
Sección 485 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,103,164,,,1,,1,69,,,,8,,2,,,,,0,9,357,646
C1,AC,Urna tradicional,107,151,,,6,,0,68,,,,5,,7,,,,,0,10,354,647
Total,,,210,315,0,0,7,0,1,137,0,0,0,13,0,9,0,0,0,0,0,19,711,1293
Sección 486 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,135,170,,,2,,3,68,,,,3,,1,,,,,0,13,395,716
C1,AC,Urna tradicional,132,140,,,3,,2,68,,,,0,,0,,,,,0,8,353,717
C2,AC,Urna tradicional,142,134,,,2,,3,59,,,,3,,3,,,,,0,10,356,717
Total,,,409,444,0,0,7,0,8,195,0,0,0,6,0,4,0,0,0,0,0,31,1104,2150
Sección 487 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,104,126,,,2,,1,59,,,,3,,2,,,,,0,9,306,605
C1,AC,Urna tradicional,97,128,,,4,,1,57,,,,2,,1,,,,,0,7,297,605
C2,AC,Urna tradicional,113,117,,,1,,1,45,,,,4,,1,,,,,0,10,292,606
Total,,,314,371,0,0,7,0,3,161,0,0,0,9,0,4,0,0,0,0,0,26,895,1816
Sección 488 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,109,179,,,0,,0,56,,,,0,,0,,,,,1,12,357,717
C1,AC,Urna tradicional,131,136,,,0,,0,42,,,,0,,0,,,,,0,15,324,717
C2,AC,Urna tradicional,113,120,,,6,,1,63,,,,4,,4,,,,,0,14,325,717
Total,,,353,435,0,0,6,0,1,161,0,0,0,4,0,4,0,0,0,0,1,41,1006,2151
Sección 489 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,88,111,,,7,,1,43,,,,2,,2,,,,,0,16,270,574
C1,AC,Urna tradicional,95,96,,,2,,1,45,,,,0,,0,,,,,0,3,242,574
C2,AC,Urna tradicional,85,109,,,2,,0,52,,,,0,,0,,,,,0,12,260,574
C3,AC,Urna tradicional,90,119,,,3,,1,42,,,,1,,0,,,,,0,12,268,574
Total,,,358,435,0,0,14,0,3,182,0,0,0,3,0,2,0,0,0,0,0,43,1040,2296
Sección 490 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,114,108,,,3,,0,60,,,,3,,2,,,,,0,12,302,632
C1,AC,Urna tradicional,90,105,,,2,,0,50,,,,0,,0,,,,,0,15,262,632
C2,AC,Urna tradicional,90,179,,,5,,6,53,,,,0,,0,,,,,0,16,349,632
C3,AC,Urna tradicional,85,117,,,2,,3,65,,,,5,,1,,,,,0,14,292,633
Total,,,379,509,0,0,12,0,9,228,0,0,0,8,0,3,0,0,0,0,0,57,1205,2529
Sección 491 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,123,175,,,3,,2,61,,,,0,,0,,,,,0,12,376,726
C1,AC,Urna tradicional,148,150,,,3,,2,61,,,,1,,2,,,,,0,13,380,726
C2,AC,Urna tradicional,103,152,,,6,,2,81,,,,1,,7,,,,,0,17,369,727
Total,,,374,477,0,0,12,0,6,203,0,0,0,2,0,9,0,0,0,0,0,42,1125,2179
Sección 492 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,104,152,,,3,,2,77,,,,2,,0,,,,,0,9,349,681
C1,AC,Urna tradicional,110,130,,,5,,0,81,,,,2,,4,,,,,0,7,339,682
Total,,,214,282,0,0,8,0,2,158,0,0,0,4,0,4,0,0,0,0,0,16,688,1363
Sección 493 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,110,125,,,1,,2,34,,,,2,,2,,,,,1,7,284,560
C1,AC,Urna tradicional,67,109,,,2,,3,65,,,,1,,1,,,,,1,9,258,561
C2,AC,Urna tradicional,94,129,,,7,,0,46,,,,2,,1,,,,,0,9,288,561
Total,,,271,363,0,0,10,0,5,145,0,0,0,5,0,4,0,0,0,0,2,25,830,1682
Sección 494 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,85,129,,,2,,1,57,,,,1,,6,,,,,0,0,281,617
C1,AC,Urna tradicional,114,97,,,4,,1,51,,,,1,,0,,,,,0,7,275,617
C2,AC,Urna tradicional,106,127,,,3,,0,70,,,,4,,0,,,,,0,5,315,617
C3,AC,Urna tradicional,105,130,,,2,,2,52,,,,0,,0,,,,,0,13,304,617
C4,AC,Urna tradicional,82,123,,,3,,2,67,,,,0,,1,,,,,0,14,292,618
Total,,,492,606,0,0,14,0,6,297,0,0,0,6,0,7,0,0,0,0,0,39,1467,3086
Sección 495 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,90,105,,,6,,4,79,,,,2,,2,,,,,0,12,300,650
C1,AC,Urna tradicional,87,145,,,4,,0,77,,,,0,,4,,,,,0,24,341,650
C2,AC,Urna tradicional,84,126,,,2,,2,62,,,,5,,2,,,,,0,12,295,650
C3,AC,Urna tradicional,89,128,,,5,,1,63,,,,3,,4,,,,,1,7,301,650
C4,AC,Urna tradicional,89,149,,,3,,1,64,,,,0,,0,,,,,0,10,316,650
C5,AC,Urna tradicional,90,130,,,8,,6,74,,,,0,,0,,,,,0,7,315,651
C6,AC,Urna tradicional,82,120,,,5,,1,75,,,,0,,0,,,,,0,8,291,651
Total,,,611,903,0,0,33,0,15,494,0,0,0,10,0,12,0,0,0,0,1,80,2159,4552
Sección 496 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,153,127,,,5,,1,68,,,,4,,1,,,,,0,9,368,703
C1,AC,Urna tradicional,115,130,,,4,,4,105,,,,3,,3,,,,,0,11,375,703
C2,AC,Urna tradicional,122,123,,,4,,0,88,,,,1,,1,,,,,0,19,358,703
Total,,,390,380,0,0,13,0,5,261,0,0,0,8,0,5,0,0,0,0,0,39,1101,2109
Sección 497 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,92,196,,,4,,2,66,,,,0,,3,,,,,0,12,375,642
C1,AC,Urna tradicional,81,204,,,2,,1,68,,,,2,,4,,,,,0,12,374,642
Total,,,173,400,0,0,6,0,3,134,0,0,0,2,0,7,0,0,0,0,0,24,749,1284
Sección 498 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,84,126,,,3,,2,53,,,,1,,3,,,,,0,6,278,506
C1,AC,Urna tradicional,97,109,,,2,,0,49,,,,4,,5,,,,,0,8,274,507
C2,AC,Urna tradicional,98,108,,,1,,0,54,,,,1,,2,,,,,1,7,272,507
Total,,,279,343,0,0,6,0,2,156,0,0,0,6,0,10,0,0,0,0,1,21,824,1520
Sección 499 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,94,131,,,5,,2,60,,,,3,,3,,,,,0,9,307,555
C1,AC,Urna tradicional,84,154,,,0,,0,54,,,,0,,2,,,,,0,7,301,556
C2,AC,Urna tradicional,91,144,,,3,,3,42,,,,0,,2,,,,,0,6,291,556
Total,,,269,429,0,0,8,0,5,156,0,0,0,3,0,7,0,0,0,0,0,22,899,1667
Sección 500 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,111,115,,,3,,4,37,,,,0,,0,,,,,0,8,278,574
C1,AC,Urna tradicional,86,145,,,6,,3,35,,,,5,,7,,,,,0,9,296,575
C2,AC,Urna tradicional,86,120,,,3,,10,31,,,,5,,2,,,,,0,9,266,575
Total,,,283,380,0,0,12,0,17,103,0,0,0,10,0,9,0,0,0,0,0,26,840,1724
Sección 501 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,89,125,,,2,,3,61,,,,2,,4,,,,,1,8,295,564
C1,AC,Urna tradicional,102,126,,,3,,1,59,,,,3,,3,,,,,1,3,301,565
Total,,,191,251,0,0,5,0,4,120,0,0,0,5,0,7,0,0,0,0,2,11,596,1129
Sección 502 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,127,149,,,4,,3,59,,,,0,,0,,,,,0,12,354,686
C1,AC,Urna tradicional,117,165,,,4,,3,50,,,,2,,0,,,,,0,6,347,687
C2,AC,Urna tradicional,129,146,,,5,,1,58,,,,2,,3,,,,,0,11,355,687
