Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 70 - LA PIEDAD,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1529 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,180,111,35,5,2,0,4,,,,,3,,,,,0,,0,2,342,734
C1,AC,Urna tradicional,189,122,42,6,3,1,4,,,,,0,,,,,0,,0,9,376,734
C2,AC,Urna tradicional,187,131,41,8,4,1,2,,,,,2,,,,,0,,0,7,383,735
Total,,,556,364,118,19,9,2,10,0,0,0,0,5,0,0,0,0,0,0,0,18,1101,2203
Sección 1530 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,141,99,24,5,4,0,0,,,,,0,,,,,0,,0,6,279,643
C1,AC,Urna tradicional,136,109,15,6,7,2,1,,,,,0,,,,,0,,0,9,285,643
C2,AC,Urna tradicional,144,131,13,5,2,0,3,,,,,0,,,,,0,,0,7,305,644
C3,AC,Urna tradicional,158,87,25,9,6,0,10,,,,,0,,,,,0,,0,8,303,644
C4,AC,Urna tradicional,157,115,13,9,5,0,0,,,,,2,,,,,0,,0,11,312,644
C5,AC,Urna tradicional,154,117,15,5,1,0,4,,,,,2,,,,,0,,0,7,305,644
Total,,,890,658,105,39,25,2,18,0,0,0,0,4,0,0,0,0,0,0,0,48,1789,3862
Sección 1531 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,197,94,21,7,5,1,0,,,,,0,,,,,0,,0,3,328,640
C1,AC,Urna tradicional,175,107,30,4,8,0,4,,,,,0,,,,,0,,0,8,336,640
C2,AC,Urna tradicional,174,118,7,4,5,1,0,,,,,4,,,,,0,,0,2,315,641
C3,AC,Urna tradicional,164,99,34,7,3,0,5,,,,,3,,,,,0,,0,6,321,641
C4,AC,Urna tradicional,168,82,21,19,5,0,5,,,,,3,,,,,0,,0,6,309,641
Total,,,878,500,113,41,26,2,14,0,0,0,0,10,0,0,0,0,0,0,0,25,1609,3203
Sección 1532 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,167,71,35,4,2,0,1,,,,,0,,,,,0,,0,5,285,629
C1,AC,Urna tradicional,164,63,39,4,5,2,4,,,,,0,,,,,0,,0,5,286,629
C2,AC,Urna tradicional,166,61,43,3,6,0,1,,,,,0,,,,,0,,0,12,292,630
Total,,,497,195,117,11,13,2,6,0,0,0,0,0,0,0,0,0,0,0,0,22,863,1888
Sección 1533 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,149,120,22,0,5,0,1,,,,,3,,,,,0,,0,2,302,699
C1,AC,Urna tradicional,159,108,21,2,3,3,0,,,,,1,,,,,1,,0,11,309,699
C2,AC,Urna tradicional,178,108,12,0,3,0,1,,,,,2,,,,,0,,0,3,307,700
Total,,,486,336,55,2,11,3,2,0,0,0,0,6,0,0,0,0,1,0,0,16,918,2098
Sección 1534 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,207,109,14,1,1,0,1,,,,,4,,,,,0,,0,8,345,746
C1,AC,Urna tradicional,143,136,18,3,8,0,1,,,,,2,,,,,0,,0,5,316,747
Total,,,350,245,32,4,9,0,2,0,0,0,0,6,0,0,0,0,0,0,0,13,661,1493
Sección 1535 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,127,106,21,1,4,0,1,,,,,1,,,,,0,,0,3,264,680
C1,AC,Urna tradicional,137,76,27,8,3,0,0,,,,,0,,,,,0,,0,8,259,681
C2,AC,Urna tradicional,130,96,30,3,2,0,5,,,,,0,,,,,0,,0,10,276,681
Total,,,394,278,78,12,9,0,6,0,0,0,0,1,0,0,0,0,0,0,0,21,799,2042
Sección 1536 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,149,77,30,5,2,0,3,,,,,7,,,,,0,,0,4,277,588
C1,AC,Urna tradicional,123,100,26,7,2,0,2,,,,,2,,,,,0,,0,5,267,588
Total,,,272,177,56,12,4,0,5,0,0,0,0,9,0,0,0,0,0,0,0,9,544,1176
Sección 1537 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,122,82,18,3,4,0,0,,,,,0,,,,,0,,0,7,236,562
C1,AC,Urna tradicional,128,61,23,5,4,0,1,,,,,0,,,,,1,,0,6,229,563
C2,AC,Urna tradicional,123,80,23,8,4,0,1,,,,,2,,,,,0,,0,4,245,563
Total,,,373,223,64,16,12,0,2,0,0,0,0,2,0,0,0,0,1,0,0,17,710,1688
Sección 1538 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,126,65,30,3,3,0,0,,,,,0,,,,,0,,0,5,232,513
C1,AC,Urna tradicional,123,71,28,3,3,0,0,,,,,0,,,,,0,,0,4,232,514
Total,,,249,136,58,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,464,1027
Sección 1539 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,111,75,18,0,5,0,0,,,,,4,,,,,0,,0,3,216,542
C1,AC,Urna tradicional,112,65,29,2,1,2,0,,,,,0,,,,,0,,0,0,211,543
