Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 45 - JIQUILPAN,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 726 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,63,35,102,3,0,0,3,,,,,2,,1,,,0,,0,7,216,419
C1,AC,Urna tradicional,81,20,115,2,0,2,0,,,,,1,,0,,,0,,1,5,227,419
Total,,,144,55,217,5,0,2,3,0,0,0,0,3,0,1,0,0,0,0,1,12,443,838
Sección 727 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,166,52,162,4,0,3,3,,,,,1,,4,,,0,,2,10,407,747
C1,AC,Urna tradicional,179,65,159,1,0,1,3,,,,,2,,0,,,3,,0,16,429,747
C2,AC,Urna tradicional,176,56,150,3,1,1,5,,,,,0,,1,,,0,,0,10,403,748
Total,,,521,173,471,8,1,5,11,0,0,0,0,3,0,5,0,0,3,0,2,36,1239,2242
Sección 728 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,171,80,131,7,0,0,7,,,,,1,,0,,,0,,0,10,407,695
C1,AC,Urna tradicional,201,57,127,4,2,1,1,,,,,3,,1,,,0,,1,10,408,696
Total,,,372,137,258,11,2,1,8,0,0,0,0,4,0,1,0,0,0,0,1,20,815,1391
Sección 729 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,156,63,155,3,1,0,6,,,,,1,,0,,,0,,0,15,400,657
C1,AC,Urna tradicional,124,88,107,3,1,2,8,,,,,4,,1,,,1,,0,6,345,657
Total,,,280,151,262,6,2,2,14,0,0,0,0,5,0,1,0,0,1,0,0,21,745,1314
Sección 730 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,117,73,76,2,1,0,8,,,,,0,,0,,,0,,0,5,282,484
C1,AC,Urna tradicional,108,65,82,1,2,1,3,,,,,0,,0,,,0,,1,3,266,484
Total,,,225,138,158,3,3,1,11,0,0,0,0,0,0,0,0,0,0,0,1,8,548,968
Sección 731 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,71,43,92,2,1,2,3,,,,,2,,0,,,0,,0,9,225,534
C1,AC,Urna tradicional,96,41,95,0,2,0,1,,,,,0,,0,,,0,,0,12,247,534
Total,,,167,84,187,2,3,2,4,0,0,0,0,2,0,0,0,0,0,0,0,21,472,1068
Sección 732 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,151,63,82,0,0,1,2,,,,,3,,0,,,0,,0,0,302,601
Total,,,151,63,82,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,302,601
Sección 733 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,128,38,125,3,1,1,0,,,,,1,,1,,,0,,0,4,302,591
C1,AC,Urna tradicional,123,40,145,1,3,1,1,,,,,0,,1,,,1,,0,14,330,591
C2,AC,Urna tradicional,111,54,139,3,1,0,0,,,,,1,,1,,,1,,0,10,321,592
Total,,,362,132,409,7,5,2,1,0,0,0,0,2,0,3,0,0,2,0,0,28,953,1774
Sección 734 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,168,75,117,3,2,0,3,,,,,0,,0,,,0,,0,4,372,685
C1,AC,Urna tradicional,187,81,107,7,1,2,4,,,,,3,,0,,,0,,1,15,408,686
Total,,,355,156,224,10,3,2,7,0,0,0,0,3,0,0,0,0,0,0,1,19,780,1371
Sección 735 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,100,72,85,1,0,0,0,,,,,0,,0,,,0,,0,8,266,506
C1,AC,Urna tradicional,90,63,114,2,2,1,7,,,,,1,,0,,,1,,0,4,285,506
Total,,,190,135,199,3,2,1,7,0,0,0,0,1,0,0,0,0,1,0,0,12,551,1012
Sección 736 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,127,42,127,1,3,1,3,,,,,4,,0,,,0,,0,5,313,546
C1,AC,Urna tradicional,135,59,110,4,0,0,0,,,,,0,,0,,,0,,0,9,317,546
Total,,,262,101,237,5,3,1,3,0,0,0,0,4,0,0,0,0,0,0,0,14,630,1092
Sección 737 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,116,67,98,6,0,0,0,,,,,0,,0,,,0,,0,11,298,513
C1,AC,Urna tradicional,114,57,94,2,3,0,4,,,,,4,,1,,,1,,0,5,285,514
Total,,,230,124,192,8,3,0,4,0,0,0,0,4,0,1,0,0,1,0,0,16,583,1027
Sección 738 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,114,70,102,3,0,0,0,,,,,0,,0,,,0,,0,9,298,594
C1,AC,Urna tradicional,103,46,118,7,2,1,2,,,,,1,,1,,,0,,0,4,285,594
C2,AC,Urna tradicional,93,61,125,5,0,1,2,,,,,1,,0,,,0,,0,6,294,594
