id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,PC,PAY,PANAL,PRI-PVEM,No Registrados,Nulos,Total
31,16/05/2010,11,Regidores,31,7,1,B,Basica,0,VII,,50,MERIDA,556,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,575,102,148,1,3,0,1,0,0,1,1,10,267
31,16/05/2010,11,Regidores,31,7,1,C,Contigua,0,VII,,50,MERIDA,556,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,575,103,169,3,4,4,0,0,1,0,0,10,294
31,16/05/2010,11,Regidores,31,7,1,B,Basica,0,VII,,50,MERIDA,578,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,576,116,156,1,4,1,1,0,0,2,0,0,281
31,16/05/2010,11,Regidores,31,7,1,C,Contigua,0,VII,,50,MERIDA,578,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,576,121,144,0,4,2,0,1,1,1,0,6,280
31,16/05/2010,11,Regidores,31,6,1,B,Basica,0,VI,,50,MERIDA,594,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,577,133,140,0,4,4,0,0,2,0,0,12,295
31,16/05/2010,11,Regidores,31,6,1,C,Contigua,0,VI,,50,MERIDA,594,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,577,93,154,3,2,4,1,0,0,0,0,5,262
31,16/05/2010,11,Regidores,31,6,1,B,Basica,0,VI,,50,MERIDA,682,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,578,129,188,4,2,1,1,2,10,1,0,4,342
31,16/05/2010,11,Regidores,31,6,1,C,Contigua,0,VI,,50,MERIDA,682,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,578,138,183,3,5,4,1,0,5,0,0,0,339
31,16/05/2010,11,Regidores,31,6,2,C,Contigua,0,VI,,50,MERIDA,682,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,578,134,142,4,2,0,1,0,2,0,0,8,293
31,16/05/2010,11,Regidores,31,6,3,C,Contigua,0,VI,,50,MERIDA,683,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,578,115,174,1,2,1,1,0,5,1,0,7,307
31,16/05/2010,11,Regidores,31,6,4,C,Contigua,0,VI,,50,MERIDA,683,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,578,114,179,3,4,0,0,0,1,0,1,7,309
31,16/05/2010,11,Regidores,31,6,1,B,Basica,0,VI,,50,MERIDA,383,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,579,83,122,1,5,1,3,0,3,0,1,2,221
31,16/05/2010,11,Regidores,31,6,1,C,Contigua,0,VI,,50,MERIDA,384,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,579,87,124,0,3,2,4,0,4,1,0,1,226
31,16/05/2010,11,Regidores,31,7,1,B,Basica,0,VII,,50,MERIDA,519,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,580,99,141,4,1,4,1,1,0,1,0,0,252
31,16/05/2010,11,Regidores,31,7,1,C,Contigua,0,VII,,50,MERIDA,519,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,580,94,129,0,3,5,1,0,2,1,0,0,235
31,16/05/2010,11,Regidores,31,7,2,C,Contigua,0,VII,,50,MERIDA,519,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,580,93,132,1,1,2,0,0,0,1,0,3,233
31,16/05/2010,11,Regidores,31,7,1,B,Basica,0,VII,,50,MERIDA,688,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,581,114,141,3,1,1,1,0,0,0,0,5,266
31,16/05/2010,11,Regidores,31,7,1,C,Contigua,0,VII,,50,MERIDA,689,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,581,121,146,3,2,4,2,0,0,3,0,8,289
31,16/05/2010,11,Regidores,31,7,2,C,Contigua,0,VII,,50,MERIDA,689,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,581,113,169,0,1,2,0,0,2,2,0,13,302
31,16/05/2010,11,Regidores,31,7,3,C,Contigua,0,VII,,50,MERIDA,689,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,581,112,164,2,5,1,3,0,1,0,0,0,288
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,486,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,582,101,125,3,0,4,2,0,1,0,0,3,239
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,486,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,582,112,114,0,3,3,0,0,0,0,0,4,236
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,415,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,583,120,104,3,2,2,0,0,1,0,0,4,236
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,414,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,583,116,110,2,1,1,1,0,1,0,0,10,242
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,505,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,584,130,112,2,2,5,1,0,1,1,0,9,263
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,499,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,585,99,72,2,6,2,1,0,1,0,0,4,187
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,627,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,586,148,146,2,3,4,2,1,10,0,0,11,327
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,428,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,587,105,126,5,1,1,1,1,3,1,0,9,253
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,429,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,587,109,95,4,11,4,2,0,3,1,0,5,234
31,16/05/2010,11,Regidores,31,7,1,B,Basica,0,VII,,50,MERIDA,574,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,588,121,165,6,1,2,2,0,1,1,0,10,309
31,16/05/2010,11,Regidores,31,7,1,C,Contigua,0,VII,,50,MERIDA,575,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,588,123,166,1,5,2,1,0,1,0,0,9,308
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,651,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,589,140,185,5,3,2,3,0,6,0,0,10,354
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,651,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,589,127,180,3,2,4,0,1,4,0,0,5,326
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,623,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,590,117,198,4,2,1,1,0,2,2,0,13,340
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,623,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,590,142,206,0,4,0,0,1,2,0,0,0,355
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,685,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,591,213,194,6,6,4,4,0,1,2,0,7,437
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,671,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,592,155,182,3,7,2,1,0,0,3,0,9,362
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,427,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,593,85,136,5,2,1,1,1,2,1,0,6,240
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,428,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,593,83,149,3,4,2,1,0,2,0,0,6,250
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,532,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,594,137,154,4,4,3,2,0,2,0,0,6,312
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,532,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,594,134,132,3,4,1,1,0,2,2,0,12,291
31,16/05/2010,11,Regidores,31,2,2,C,Contigua,0,II,,50,MERIDA,533,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,594,125,139,5,3,2,3,0,3,0,0,8,288
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,678,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,595,149,194,10,1,4,2,0,3,0,0,8,371
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,613,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,596,143,173,2,5,0,3,0,0,0,0,8,334
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,614,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,596,148,169,6,7,6,3,2,3,3,0,11,358
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,481,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,597,87,139,4,2,1,1,0,3,,,8,245
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,482,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,597,93,143,3,4,2,1,0,0,0,0,6,252
31,16/05/2010,11,Regidores,31,7,1,B,Basica,0,VII,,50,MERIDA,594,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,598,125,148,2,5,3,2,0,4,2,1,8,300
31,16/05/2010,11,Regidores,31,7,1,C,Contigua,0,VII,,50,MERIDA,595,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,598,122,147,0,2,4,2,0,0,2,0,5,284
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,511,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,599,103,168,5,6,3,1,0,2,2,0,8,298
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,512,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,599,116,121,2,9,2,3,0,3,2,0,9,267
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,532,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,600,119,132,1,3,3,1,0,4,0,0,7,270
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,533,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,600,125,131,1,2,1,1,0,0,2,0,8,271
31,16/05/2010,11,Regidores,31,2,2,C,Contigua,0,II,,50,MERIDA,533,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,600,131,123,1,1,0,0,0,1,0,0,8,265
