ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PCPP,PSI,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,ACAJETE,19,69,3111,1692,1123,1558,409,2088,172,594,2376,13125,805,27053,3,1249,28305,44025,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,2,ACATENO,8,14,1562,444,214,65,645,108,68,754,1007,324,19,5210,0,255,5465,6839,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,3,ACATLAN,17,52,3644,2281,585,521,312,170,3342,249,435,4815,147,16501,15,803,17319,28104,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,4,ACATZINGO,16,60,4085,5827,744,1144,431,407,301,472,584,9458,344,23797,8,857,24662,36284,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,5,ACTEOPAN,3,4,50,794,27,,,36,,4,1011,,,1922,3,71,1996,2289,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,6,AHUACATLAN,7,19,183,3454,1054,99,81,399,49,2039,416,165,47,7986,0,478,8464,10223,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,7,AHUATLAN,4,5,173,601,5,21,275,159,,2,7,437,17,1697,0,73,1770,2545,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,8,AHUAZOTEPEC,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7541,https://www.ieepuebla.org.mx/2018/computos/ayu_resoluciones/AHUAZOTEPEC-SCM-JRC-0236-2018.pdf
21,PUEBLA,9,AHUEHUETITLA,1,4,190,273,2,55,,8,,175,21,477,33,1234,0,49,1283,1823,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,10,AJALPAN,22,72,9179,7769,3967,603,171,230,171,226,301,7978,252,30847,7,1963,32817,41977,https://www.ieepuebla.org.mx/2018/computos/ayu_resoluciones/AJALPAN-TEEP-ACT-639-2018.pdf
21,PUEBLA,11,ALBINO ZERTUCHE,1,2,432,429,5,12,,9,,0,120,100,1,1108,0,14,1122,1445,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_22_ALBINO ZERTUCHE ACTA FINAL DE ESCRUTINIO Y COMPUTO LEVANTADA EN EL CGIEE (ACTA 33).pdf
21,PUEBLA,12,ALJOJUCA,4,9,930,581,28,24,,260,529,1041,309,126,21,3849,2,170,4021,4858,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_ALJOJUCA ACTA FINAL DE ESCRUTINIO Y COMPUTO LEVANTADA EN EL CGIEE (ACTA 33).pdf
21,PUEBLA,13,ALTEPEXI,6,21,1472,1300,65,40,42,1811,1648,2856,59,1349,33,10675,1,419,11095,13488,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_26_CME_ALTEPEXI.pdf
21,PUEBLA,14,AMIXTLAN,3,7,246,389,1068,30,765,16,,3,5,66,6,2594,2,168,2764,3459,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,15,AMOZOC,18,101,9486,4093,365,1370,1211,3379,1017,1405,4219,15940,863,43348,33,1893,45274,68752,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_12_CME_AMOZOC_DE_MOTA.pdf
21,PUEBLA,16,AQUIXTLA,5,10,1118,2176,34,43,,648,38,232,16,154,25,4484,32,258,4774,6004,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_03_CME_AQUIXTLA.pdf
21,PUEBLA,17,ATEMPAN,9,31,1994,4842,53,281,144,77,4453,39,39,801,25,12748,2,922,13672,18161,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,18,ATEXCAL,6,7,733,1193,10,16,2,12,,141,3,59,9,2178,0,95,2273,2775,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,82,ATLEQUIZAYAN,2,4,213,787,6,16,,3,,1,0,557,8,1591,0,19,1610,1889,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_04_CME_ATLEQUIZAYAN.pdf
21,PUEBLA,19,ATLIXCO,68,170,23393,11061,699,1500,1282,369,1159,488,379,21928,584,62842,127,2425,65394,103235,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/ATLIXCO - RESOLUCION.pdf
21,PUEBLA,20,ATOYATEMPAN,2,7,94,402,26,278,265,78,19,375,780,1386,51,3754,1,141,3896,4905,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_12_CME_ATOYATEMPAN.pdf
21,PUEBLA,21,ATZALA,1,2,27,408,1,3,397,1,,13,1,14,0,865,0,31,896,1074,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,22,ATZITZIHUACAN,9,18,1780,2079,1401,112,31,388,20,14,8,501,14,6348,0,272,6620,9014,https://www.ieepuebla.org.mx/2018/computos/CG_AC_125_2018_ANEXOS.pdf
21,PUEBLA,23,ATZITZINTLA,5,13,76,291,608,101,,1513,1454,18,31,606,22,4720,1,193,4914,6190,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_CME_ATZITZINTLA.pdf
21,PUEBLA,24,AXUTLA,2,3,348,326,3,,,3,,1,2,,,683,0,17,700,1059,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_23_CME_AXUTLA.pdf
