CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,PRI_PVEM,PRD_PT_NVA_ALIANZA,PRD_PT,PRD_NVA_ALIANZA,PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,9,DISTRITO FEDERAL,5,,2,AZCAPOTZALCO,1,2,50,39,45,23,7,4,12,81,10,19,0,0,0,0,1,0,3,0,0,1,294,16,311,787
1,9,DISTRITO FEDERAL,5,,2,AZCAPOTZALCO,2,2,114,72,57,41,10,7,9,108,15,30,0,0,0,0,5,0,0,0,0,1,468,28,497,1023
1,9,DISTRITO FEDERAL,5,,2,AZCAPOTZALCO,3,2,67,54,85,34,11,18,10,129,12,25,0,0,0,0,0,0,0,0,0,1,445,23,469,1018
1,9,DISTRITO FEDERAL,5,,2,AZCAPOTZALCO,4,1,30,38,64,19,8,6,3,54,6,14,0,0,0,0,0,0,0,0,0,0,242,8,250,514
1,9,DISTRITO FEDERAL,5,,2,AZCAPOTZALCO,5,2,51,57,82,18,3,12,12,112,6,26,0,0,0,0,2,0,2,0,0,0,383,32,415,1010
1,9,DISTRITO FEDERAL,5,,2,AZCAPOTZALCO,6,2,46,66,94,27,5,13,9,103,5,26,0,0,0,0,2,0,1,0,0,0,397,21,418,961
1,9,DISTRITO FEDERAL,5,,2,AZCAPOTZALCO,7,2,34,30,67,30,2,10,10,76,18,12,0,0,0,0,2,0,0,0,0,0,291,25,316,809
1,9,DISTRITO FEDERAL,5,,2,AZCAPOTZALCO,8,2,94,53,77,38,7,11,17,102,15,42,0,0,0,0,2,0,1,0,0,1,459,46,506,1141
1,9,DISTRITO FEDERAL,5,,2,AZCAPOTZALCO,9,2,40,50,53,28,7,5,13,93,15,28,0,0,0,0,2,0,1,0,0,0,335,19,354,847
1,9,DISTRITO FEDERAL,5,,2,AZCAPOTZALCO,10,3,167,80,85,43,10,13,24,175,20,62,0,0,0,0,2,0,0,0,0,3,681,52,736,1854
