ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN_PRD_MC,PRI,PT,PT_MORENA_ES,PVEM,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
01,AGUASCALIENTES,1,RINCON DE ROMOS,26,79,8228,5815,,7060,1505,2996,,,,,,25604,15,1196,26815,48443,
01,AGUASCALIENTES,2,EL LLANO,25,79,8217,5435,,13637,605,1573,,,,,,29467,19,1140,30626,48536,
01,AGUASCALIENTES,3,PABELLON DE ARTEAGA,27,74,10125,5463,,7699,2984,1683,,,,,,27954,17,1093,29064,45804,
01,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,16,87,11110,8980,,9400,2068,1019,,,,,,32577,35,1093,33705,58289,
01,AGUASCALIENTES,5,AGUASCALIENTES,18,79,10732,4266,,10312,1367,849,,,,,,27526,29,976,28531,50579,
01,AGUASCALIENTES,6,AGUASCALIENTES,37,99,18838,6737,554,,965,757,6485,467,2639,,,37442,30,1270,38742,56440,
01,AGUASCALIENTES,7,JESUS MARIA,16,80,12031,6235,,5271,1093,609,,,,2096,721,28056,22,975,29053,52966,
01,AGUASCALIENTES,8,CALVILLO,38,89,11966,5534,1542,,849,2016,4775,381,,,,27063,21,1279,28363,52450,
01,AGUASCALIENTES,9,AGUASCALIENTES,37,95,11676,6678,,9273,1716,857,,,,,,30200,50,1297,31547,55322,
01,AGUASCALIENTES,10,AGUASCALIENTES,43,97,15309,6325,,9373,1389,889,,,,,,33285,56,1417,34758,56227,
01,AGUASCALIENTES,11,AGUASCALIENTES,72,112,14661,6827,,10633,1602,1035,,,,,,34758,78,1481,36317,56488,
01,AGUASCALIENTES,12,AGUASCALIENTES,16,78,6362,6357,,8614,1066,681,,,,,,23080,31,898,24009,51263,
01,AGUASCALIENTES,13,AGUASCALIENTES,33,89,10198,5748,,9743,1081,1297,,,,,,28067,48,1043,29158,49711,
01,AGUASCALIENTES,14,AGUASCALIENTES,32,87,11404,7169,,11023,1182,1668,,,,,,32446,35,1174,33655,53227,
01,AGUASCALIENTES,15,AGUASCALIENTES,41,94,9376,5638,,10772,1459,1011,,,,,,28256,36,1181,29473,50928,
01,AGUASCALIENTES,16,AGUASCALIENTES,36,84,7765,5422,,9816,1156,787,,,,,,24946,43,993,25982,47539,
01,AGUASCALIENTES,17,AGUASCALIENTES,63,110,15441,6372,,9741,1415,1073,,,,,,34042,72,1445,35559,55676,
01,AGUASCALIENTES,18,AGUASCALIENTES,24,86,10133,5705,,10018,1260,1203,,,,,,28319,33,1089,29441,53560,
,,,,,,,,,,,,,,,,,,,,,,
