ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
01,AGUASCALIENTES,1,RINCON DE ROMOS,26,79,6836,5815,372,1853,1505,823,2996,4580,374,111,32,39,15,118,88,14,33,,,,25604,15,1196,26815,48443,
01,AGUASCALIENTES,2,EL LLANO,25,79,6227,5435,1216,1235,605,545,1573,11548,453,104,87,26,12,178,111,15,97,,,,29467,19,1140,30626,48536,
01,AGUASCALIENTES,3,PABELLON DE ARTEAGA,27,74,4500,5463,4868,713,2984,418,1683,6456,328,144,162,19,14,108,46,4,44,,,,27954,17,1093,29064,45804,
01,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,16,87,9971,8980,513,646,2068,487,1019,7783,726,90,32,13,4,149,38,9,49,,,,32577,35,1093,33705,58289,
01,AGUASCALIENTES,5,AGUASCALIENTES,18,79,9514,4266,411,737,1367,683,849,8518,814,91,21,11,1,140,45,5,53,,,,27526,29,976,28531,50579,
01,AGUASCALIENTES,6,AGUASCALIENTES,37,99,17697,6737,304,554,965,599,757,6485,467,138,87,12,1,0,0,0,0,2639,,,37442,30,1270,38742,56440,
01,AGUASCALIENTES,7,JESUS MARIA,16,80,11276,6235,326,598,1093,285,609,4179,331,92,33,17,2,84,39,9,31,,2096,721,28056,22,975,29053,52966,
01,AGUASCALIENTES,8,CALVILLO,38,89,10765,5534,636,1542,849,382,2016,4775,381,107,48,24,4,0,0,0,0,,,,27063,21,1279,28363,52450,
01,AGUASCALIENTES,9,AGUASCALIENTES,37,95,10387,6678,476,933,1716,649,857,7265,800,104,40,19,1,153,67,6,49,,,,30200,50,1297,31547,55322,
01,AGUASCALIENTES,10,AGUASCALIENTES,43,97,13864,6325,500,769,1389,720,889,7654,721,144,42,27,12,128,49,6,46,,,,33285,56,1417,34758,56227,
01,AGUASCALIENTES,11,AGUASCALIENTES,72,112,13344,6827,426,811,1602,698,1035,8736,775,109,46,34,4,172,60,26,53,,,,34758,78,1481,36317,56488,
01,AGUASCALIENTES,12,AGUASCALIENTES,16,78,5138,6357,378,716,1066,759,681,7027,630,56,10,18,3,145,43,3,50,,,,23080,31,898,24009,51263,
01,AGUASCALIENTES,13,AGUASCALIENTES,33,89,9003,5748,389,707,1081,680,1297,8049,735,83,21,19,3,141,67,1,43,,,,28067,48,1043,29158,49711,
01,AGUASCALIENTES,14,AGUASCALIENTES,32,87,10170,7169,453,765,1182,662,1668,8947,1034,78,24,13,4,158,55,4,60,,,,32446,35,1174,33655,53227,
01,AGUASCALIENTES,15,AGUASCALIENTES,41,94,6623,5638,1769,832,1459,760,1011,8728,893,100,86,13,25,184,75,18,42,,,,28256,36,1181,29473,50928,
01,AGUASCALIENTES,16,AGUASCALIENTES,36,84,6446,5422,408,827,1156,788,787,7658,1061,84,18,14,7,161,46,4,59,,,,24946,43,993,25982,47539,
01,AGUASCALIENTES,17,AGUASCALIENTES,63,110,14024,6372,483,757,1415,713,1073,7806,896,136,42,36,7,165,58,13,46,,,,34042,72,1445,35559,55676,
01,AGUASCALIENTES,18,AGUASCALIENTES,24,86,8825,5705,496,837,1260,670,1203,7986,897,87,30,20,5,169,64,15,50,,,,28319,33,1089,29441,53560,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
