ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
01,AGUASCALIENTES,1,RINCON DE ROMOS,26,79,6909,5815,432,1943,1505,887,2996,4681,436,,,,25604,15,1196,26815,48443,
01,AGUASCALIENTES,2,EL LLANO,25,79,6319,5435,1300,1398,605,598,1573,11672,567,,,,29467,19,1140,30626,48536,
01,AGUASCALIENTES,3,PABELLON DE ARTEAGA,27,74,4639,5463,5004,774,2984,482,1683,6537,388,,,,27954,17,1093,29064,45804,
01,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,16,87,10024,8980,561,718,2068,525,1019,7877,805,,,,32577,35,1093,33705,58289,
01,AGUASCALIENTES,5,AGUASCALIENTES,18,79,9562,4266,451,807,1367,719,849,8615,890,,,,27526,29,976,28531,50579,
01,AGUASCALIENTES,6,AGUASCALIENTES,37,99,17793,6737,393,554,965,652,757,6485,467,2639,,,37442,30,1270,38742,56440,
01,AGUASCALIENTES,7,JESUS MARIA,16,80,11333,6235,374,661,1093,324,609,4232,378,,2096,721,28056,22,975,29053,52966,
01,AGUASCALIENTES,8,CALVILLO,38,89,10837,5534,698,1542,849,431,2016,4775,381,,,,27063,21,1279,28363,52450,
01,AGUASCALIENTES,9,AGUASCALIENTES,37,95,10452,6678,530,1020,1716,694,857,7375,878,,,,30200,50,1297,31547,55322,
01,AGUASCALIENTES,10,AGUASCALIENTES,43,97,13947,6325,575,859,1389,787,889,7725,789,,,,33285,56,1417,34758,56227,
01,AGUASCALIENTES,11,AGUASCALIENTES,72,112,13421,6827,487,911,1602,753,1035,8851,871,,,,34758,78,1481,36317,56488,
01,AGUASCALIENTES,12,AGUASCALIENTES,16,78,5171,6357,402,787,1066,789,681,7123,704,,,,23080,31,898,24009,51263,
01,AGUASCALIENTES,13,AGUASCALIENTES,33,89,9052,5748,427,787,1081,719,1297,8152,804,,,,28067,48,1043,29158,49711,
01,AGUASCALIENTES,14,AGUASCALIENTES,32,87,10215,7169,493,846,1182,696,1668,9058,1119,,,,32446,35,1174,33655,53227,
01,AGUASCALIENTES,15,AGUASCALIENTES,41,94,6707,5638,1858,939,1459,811,1011,8849,984,,,,28256,36,1181,29473,50928,
01,AGUASCALIENTES,16,AGUASCALIENTES,36,84,6490,5422,448,905,1156,827,787,7765,1146,,,,24946,43,993,25982,47539,
01,AGUASCALIENTES,17,AGUASCALIENTES,63,110,14109,6372,552,864,1415,780,1073,7897,980,,,,34042,72,1445,35559,55676,
01,AGUASCALIENTES,18,AGUASCALIENTES,24,86,8879,5705,542,932,1260,712,1203,8100,986,,,,28319,33,1089,29441,53560,
