Numero,Municipio,SECCION,CASILLA,PAN,PRI,PPS,PRD,PC,PRT,PVEM,PT,CC1,VALIDOS,NULOS,INUTILI.,BOLETAS,Coalition
1,ACAPULCO DE JUAREZ,20,B,23,97,0,55,6,1,0,5,,187,4,263,454,No Coalition
1,ACAPULCO DE JUAREZ,20,CA,18,90,5,55,12,2,2,6,,190,5,253,448,No Coalition
1,ACAPULCO DE JUAREZ,21,B,28,61,1,76,12,3,3,8,,192,3,322,517,No Coalition
1,ACAPULCO DE JUAREZ,21,CA,36,71,1,78,2,0,7,8,,203,3,315,521,No Coalition
1,ACAPULCO DE JUAREZ,22,B,22,66,1,77,7,0,0,13,,186,2,253,441,No Coalition
1,ACAPULCO DE JUAREZ,22,CA,25,63,1,70,1,1,1,13,,175,11,253,439,No Coalition
1,ACAPULCO DE JUAREZ,23,B,29,114,6,126,1,0,14,4,,294,8,411,713,No Coalition
1,ACAPULCO DE JUAREZ,23,CA,37,107,7,117,3,0,4,3,,278,4,431,713,No Coalition
1,ACAPULCO DE JUAREZ,26,B,44,74,7,84,2,1,4,8,,224,5,302,531,No Coalition
1,ACAPULCO DE JUAREZ,26,CA,39,68,5,92,5,0,1,6,,216,2,313,531,No Coalition
1,ACAPULCO DE JUAREZ,27,B,36,67,2,111,14,1,4,2,,237,7,453,697,No Coalition
1,ACAPULCO DE JUAREZ,27,CA,41,73,3,89,10,0,3,3,,222,4,473,699,No Coalition
1,ACAPULCO DE JUAREZ,28,B,9,53,2,73,3,0,1,0,,141,5,245,391,No Coalition
1,ACAPULCO DE JUAREZ,28,CA,6,61,4,90,2,0,3,3,,169,7,221,397,No Coalition
1,ACAPULCO DE JUAREZ,29,B,37,70,4,91,2,0,1,2,,207,6,388,601,No Coalition
1,ACAPULCO DE JUAREZ,29,CA,31,68,7,92,4,3,0,2,,207,0,370,577,No Coalition
1,ACAPULCO DE JUAREZ,30,B,26,77,1,87,1,1,2,4,,199,2,688,889,No Coalition
1,ACAPULCO DE JUAREZ,30,CA,25,79,2,87,2,0,1,1,,197,5,201,403,No Coalition
1,ACAPULCO DE JUAREZ,31,B,22,112,4,54,1,0,1,6,,200,3,389,592,No Coalition
1,ACAPULCO DE JUAREZ,31,CA,37,112,2,46,3,0,3,2,,205,3,383,591,No Coalition
1,ACAPULCO DE JUAREZ,31,CB,24,100,1,55,3,1,2,1,,187,6,404,597,No Coalition
1,ACAPULCO DE JUAREZ,32,B,60,79,1,88,0,0,2,2,,232,4,415,651,No Coalition
1,ACAPULCO DE JUAREZ,32,CA,57,75,9,93,5,0,2,3,,244,1,305,550,No Coalition
1,ACAPULCO DE JUAREZ,33,B,69,86,5,140,2,0,9,2,,313,5,364,682,No Coalition
1,ACAPULCO DE JUAREZ,33,CA,65,87,10,142,7,0,5,5,,321,3,359,683,No Coalition
1,ACAPULCO DE JUAREZ,34,B,17,59,2,57,0,0,0,3,,138,1,282,421,No Coalition
1,ACAPULCO DE JUAREZ,34,CA,24,74,2,76,2,0,1,1,,180,1,237,418,No Coalition
1,ACAPULCO DE JUAREZ,35,B,24,73,1,50,1,0,1,2,,152,5,237,394,No Coalition
1,ACAPULCO DE JUAREZ,35,CA,21,40,4,67,4,0,1,2,,139,5,250,394,No Coalition
1,ACAPULCO DE JUAREZ,36,B,36,87,2,95,2,0,2,4,,228,1,411,640,No Coalition
1,ACAPULCO DE JUAREZ,36,CA,47,89,6,78,3,1,0,4,,228,7,437,672,No Coalition
1,ACAPULCO DE JUAREZ,37,B,30,59,0,86,16,0,2,3,,196,4,268,468,No Coalition
1,ACAPULCO DE JUAREZ,37,CA,22,71,2,60,20,0,3,2,,180,3,286,469,No Coalition
1,ACAPULCO DE JUAREZ,38,B,47,93,2,131,4,1,9,2,,289,3,454,746,No Coalition
1,ACAPULCO DE JUAREZ,38,CA,55,119,3,98,5,1,1,7,,289,7,456,752,No Coalition
1,ACAPULCO DE JUAREZ,41,B,39,112,4,99,0,1,12,1,,268,10,426,704,No Coalition
1,ACAPULCO DE JUAREZ,41,CA,45,108,2,140,3,0,4,1,,303,5,400,708,No Coalition
1,ACAPULCO DE JUAREZ,42,B,53,90,4,127,9,0,2,3,,288,3,429,720,No Coalition
1,ACAPULCO DE JUAREZ,42,CA,58,100,1,114,9,0,6,3,,291,5,416,712,No Coalition
1,ACAPULCO DE JUAREZ,43,B,58,64,2,87,3,1,3,4,,222,1,279,502,No Coalition
1,ACAPULCO DE JUAREZ,43,CA,42,67,1,84,0,0,3,2,,199,0,305,504,No Coalition
1,ACAPULCO DE JUAREZ,44,B,33,78,6,98,4,0,3,3,,225,4,513,742,No Coalition
1,ACAPULCO DE JUAREZ,44,CA,28,53,4,104,4,0,3,6,,202,5,284,491,No Coalition
1,ACAPULCO DE JUAREZ,45,B,44,72,3,67,3,0,6,1,,196,6,234,436,No Coalition
1,ACAPULCO DE JUAREZ,45,CA,26,52,1,72,1,1,5,5,,163,1,273,437,No Coalition
1,ACAPULCO DE JUAREZ,46,B,54,67,0,58,2,1,5,4,,191,12,206,409,No Coalition
1,ACAPULCO DE JUAREZ,46,CA,48,45,3,56,5,2,1,3,,163,2,244,409,No Coalition
