ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,CAND_IND9,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
7,CHIAPAS,26,CHENALHO,16,47,51,7011,516,58,8190,38,86,1217,556,0,13,92,0,0,0,0,0,0,0,0,0,0,0,0,0,17828,524,18352,24925,0.7363
7,CHIAPAS,27,CHIAPA DE CORZO,31,105,622,14018,434,1532,11800,411,387,797,3776,260,302,2565,0,0,0,0,0,0,0,0,0,0,0,0,27,36904,1776,38707,62209,0.6222
7,CHIAPAS,28,CHIAPILLA,3,7,23,912,138,45,982,48,6,941,238,14,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3377,171,3548,4378,0.8104
7,CHIAPAS,29,CHICOASEN,3,6,202,62,24,7,455,29,6,220,1027,19,9,403,0,0,0,0,0,0,0,0,0,0,0,0,0,2463,147,2610,4010,0.6509
7,CHIAPAS,30,CHICOMUSELO,17,41,2,6,4,22,95,3,1,263,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,420,34,454,22060,0.0206
7,CHIAPAS,31,CHILON,33,115,142,13600,328,621,17790,261,220,3147,3893,185,84,4119,0,0,0,0,0,0,0,0,0,0,0,0,4,44390,3263,47657,64855,0.7348
7,CHIAPAS,32,ESCUINTLA,13,37,122,3493,764,1384,2703,67,97,1397,2155,123,18,260,0,0,0,0,0,0,0,0,0,0,0,0,20,12583,500,13103,20086,0.6523
7,CHIAPAS,33,FRANCISCO LEON,2,11,957,42,132,621,1332,9,32,131,197,28,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3514,243,3757,4246,0.8848
7,CHIAPAS,34,FRONTERA COMALAPA,28,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45726,0
7,CHIAPAS,35,FRONTERA HIDALGO,5,16,880,2103,108,345,1939,221,33,42,651,45,185,158,0,0,0,0,0,0,0,0,0,0,0,0,0,6710,201,6911,9049,0.7637
7,CHIAPAS,36,LA GRANDEZA,3,9,16,1291,120,43,1591,10,9,6,129,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,3233,57,3291,4505,0.7305
7,CHIAPAS,37,HUEHUETAN,16,48,252,1320,2656,1095,4011,114,221,1082,2870,147,176,2073,0,0,0,0,0,0,0,0,0,0,0,0,2,16017,1061,17080,24802,0.6887
7,CHIAPAS,38,HUITIUPAN,10,30,128,5438,115,42,5128,31,63,22,962,23,8,14,21,0,0,0,0,0,0,0,0,0,0,0,3,11995,737,12735,14429,0.8826
7,CHIAPAS,39,HUIXTAN,11,28,81,2132,3275,52,1943,40,0,1203,234,28,28,283,0,0,0,0,0,0,0,0,0,0,0,0,24,9299,817,10140,13435,0.7547
7,CHIAPAS,40,HUIXTLA,25,70,1005,2404,255,257,4321,499,247,5981,2576,256,110,1279,0,0,0,0,0,0,0,0,0,0,0,0,6,19190,1388,20584,36772,0.5598
7,CHIAPAS,41,LA INDEPENDENCIA,15,47,40,169,90,78,12896,150,85,6871,225,36,18,61,0,0,0,0,0,0,0,0,0,0,0,0,5,20719,1101,21825,28415,0.7681
7,CHIAPAS,42,IXHUATAN,4,11,48,246,2135,13,1650,465,32,131,74,7,134,42,0,0,0,0,0,0,0,0,0,0,0,0,0,4977,196,5173,6338,0.8162
7,CHIAPAS,43,IXTACOMITAN,6,13,234,2069,87,193,1538,76,124,16,250,23,36,535,0,0,0,0,0,0,0,0,0,0,0,0,0,5181,244,5425,6878,0.7887
7,CHIAPAS,44,IXTAPA,9,30,60,113,52,89,3869,96,73,3267,3928,89,66,1241,0,0,0,0,0,0,0,0,0,0,0,0,31,12943,394,13368,16602,0.8052
7,CHIAPAS,45,IXTAPANGAJOYA,2,7,13,1228,33,10,1870,5,22,32,83,6,20,63,0,0,0,0,0,0,0,0,0,0,0,0,1,3385,125,3511,4021,0.8732
7,CHIAPAS,46,JIQUIPILAS,24,53,949,711,512,267,9386,77,430,5479,1046,168,404,1494,0,0,0,0,0,0,0,0,0,0,0,0,11,20923,863,21797,28859,0.7553
7,CHIAPAS,47,JITOTOL,7,21,31,3513,1873,84,1860,32,56,28,1775,62,8,76,0,0,0,0,0,0,0,0,0,0,0,0,0,9398,755,10153,11132,0.9121
7,CHIAPAS,48,JUAREZ,13,29,117,1508,83,23,4122,41,743,164,302,49,46,2340,0,0,0,0,0,0,0,0,0,0,0,0,11,9538,385,9934,14570,0.6818
7,CHIAPAS,49,LARRAINZAR,10,29,21,5929,18,21,4247,15,38,21,55,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,2,10388,197,10587,13501,0.7842
7,CHIAPAS,50,LA LIBERTAD,5,9,1076,849,46,13,161,10,19,1368,143,6,1,78,0,0,0,0,0,0,0,0,0,0,0,0,1,3770,91,3862,4320,0.894
7,CHIAPAS,51,MAPASTEPEC,21,55,2470,2005,696,374,4025,80,174,1518,1474,563,33,3840,0,0,0,0,0,0,0,0,0,0,0,0,7,17252,729,17988,30688,0.5862
7,CHIAPAS,52,LAS MARGARITAS,39,150,228,3310,9988,528,19017,440,505,7041,661,349,40,1907,0,0,0,0,0,0,0,0,0,0,0,0,12,44014,4775,48801,74164,0.658
7,CHIAPAS,53,MAZAPA DE MADERO,5,12,18,1226,452,62,1200,28,19,391,98,14,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3521,190,3711,5532,0.6708
7,CHIAPAS,54,MAZATAN,15,36,491,1992,2116,231,3670,210,132,2284,514,75,310,96,0,0,0,0,0,0,0,0,0,0,0,0,1,12121,358,12480,18114,0.689
7,CHIAPAS,55,METAPA DE DOMINGUEZ,2,7,179,386,144,38,1203,27,16,495,483,23,14,115,0,0,0,0,0,0,0,0,0,0,0,0,0,3123,200,3323,4378,0.759
7,CHIAPAS,56,MITONTIC,5,11,23,1812,18,24,1207,12,36,1174,45,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,2,4376,292,4670,5921,0.7887
7,CHIAPAS,57,MOTOZINTLA,27,87,460,3472,910,2066,6737,823,126,6354,1671,350,81,124,0,0,0,0,0,0,0,0,0,0,0,0,12,23174,1792,24978,45056,0.5544
7,CHIAPAS,58,NICOLAS RUIZ,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2657,0
7,CHIAPAS,59,OCOSINGO,56,237,5206,9398,1008,763,23239,9220,1191,503,4537,682,288,3471,59,0,0,0,0,0,0,0,0,0,0,0,14,59565,4390,63969,120502,0.5309
7,CHIAPAS,60,OCOTEPEC,3,10,29,2996,34,16,2148,8,10,9,132,10,2,519,0,0,0,0,0,0,0,0,0,0,0,0,1,5913,63,5977,6952,0.8598
7,CHIAPAS,61,OCOZOCOAUTLA DE ESPINOSA,28,98,2640,2921,3805,333,6203,7252,1787,6240,2989,489,760,1504,11,0,0,0,0,0,0,0,0,0,0,0,19,36934,1806,38759,57022,0.6797
7,CHIAPAS,62,OSTUACAN,10,24,148,3828,88,174,3443,63,203,287,190,37,11,1146,0,0,0,0,0,0,0,0,0,0,0,0,1,9618,426,10045,12069,0.8323
7,CHIAPAS,63,OSUMACINTA,2,5,545,105,52,7,638,11,315,111,161,17,3,66,0,0,0,0,0,0,0,0,0,0,0,0,3,2031,193,2227,2682,0.8304
