ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,COMUN_PRI_PVEM_NVA_ALIANZA,COMUN_PRD_PT_PAN,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRD_PT,PRD_PAN,PT_PAN,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
12,GUERRERO,1,ACAPULCO DE JUAREZ,381,988,46050,74526,65021,8401,13975,19154,4074,7475,2398,3258,2377,0,3723,0,0,0,0,0,0,0,0,0,0,0,272,250432,15701,266405,576121,0.4624
12,GUERRERO,2,AHUACUOTZINGO,26,38,3267,3073,2748,0,73,1414,47,128,653,0,0,19,0,0,0,0,0,0,0,0,0,74,0,0,1,11496,365,11862,16900,0.7018
12,GUERRERO,3,AJUCHITLAN DEL PROGRESO,43,57,153,7481,4625,71,40,5228,0,122,16,1,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,17778,306,18084,26983,0.6701
12,GUERRERO,4,ALCOZAUCA DE GUERRERO,18,26,0,2689,2576,1410,0,43,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6875,425,7303,12738,0.5733
12,GUERRERO,5,ALPOYECA,5,9,15,699,1012,1375,10,238,8,63,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,17,3428,127,3572,5188,0.6885
12,GUERRERO,6,APAXTLA,17,21,11,476,1077,83,22,1228,2115,65,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,5084,197,5283,8032,0.6577
12,GUERRERO,7,ARCELIA,46,61,54,7128,6253,0,0,93,74,711,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14340,289,14641,23808,0.6149
12,GUERRERO,8,ATENANGO DEL RIO,10,13,0,1541,957,279,25,1242,95,101,0,0,11,20,62,0,0,0,0,0,0,0,0,0,0,0,0,4333,106,4439,6318,0.7025
12,GUERRERO,9,ATLAMAJALCINGO DEL MONTE,9,11,11,648,421,552,0,676,4,24,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2346,171,2518,3784,0.6654
12,GUERRERO,10,ATLIXTAC,22,34,2107,1237,3115,60,86,2315,1691,114,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10730,774,11504,15473,0.7434
12,GUERRERO,11,ATOYAC DE ALVAREZ,67,95,69,7667,7152,84,751,2198,304,2897,162,104,451,217,0,0,0,0,0,0,0,0,0,0,0,0,8,22056,1016,23080,42590,0.5419
