CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,COMUN_PRI_PVEM_NVA_ALIANZA,COMUN_PRD_PT_PAN,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRD_PT,PRD_PAN,PT_PAN,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,1,B,61,78,98,0,9,34,1,15,5,4,1,0,0,,,,,,,,,,,,1,306,22,329,686,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,1,C01,51,60,105,3,12,56,0,9,13,3,2,0,2,,,,,,,,,,,,0,316,23,339,686,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,2,B,46,77,58,4,12,40,2,8,1,6,2,0,2,,,,,,,,,,,,0,258,10,268,547,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,2,C01,32,86,58,3,8,43,1,12,3,6,5,0,0,,,,,,,,,,,,0,257,21,278,547,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,3,B,31,90,53,5,8,50,4,13,6,0,5,0,2,,,,,,,,,,,,0,267,5,272,567,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,3,C01,36,73,56,1,4,53,10,11,3,4,1,0,1,,,,,,,,,,,,0,253,15,268,567,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,3,C02,22,53,51,1,14,42,6,5,4,1,2,0,0,,,,,,,,,,,,0,201,8,209,566,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,3,C03,23,68,72,2,8,48,4,8,2,2,4,0,2,,,,,,,,,,,,0,243,14,257,566,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,4,B,46,56,61,1,11,12,9,3,2,0,2,0,1,,,,,,,,,,,,4,204,16,224,490,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,4,C01,34,47,46,0,14,18,6,5,2,3,3,0,0,,,,,,,,,,,,0,178,12,190,490,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,5,B,37,31,62,2,9,11,3,4,3,2,1,0,2,,,,,,,,,,,,0,167,18,185,402,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,5,C01,27,47,69,2,7,6,3,6,3,2,0,0,0,,,,,,,,,,,,0,172,18,190,402,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,6,B,27,49,36,3,7,23,4,4,5,1,0,0,0,,,,,,,,,,,,0,159,20,179,416,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,6,C01,41,40,49,3,4,35,2,4,7,1,2,0,0,,,,,,,,,,,,0,188,7,195,416,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,7,B,57,98,45,3,18,21,1,9,5,4,3,0,0,,,,,,,,,,,,0,264,16,280,676,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,7,C01,45,76,61,2,18,16,1,8,7,4,2,0,1,,,,,,,,,,,,4,241,22,267,675,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,8,B,44,63,51,2,7,9,2,8,1,5,2,0,0,,,,,,,,,,,,1,194,12,207,448,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,8,C01,44,52,39,4,10,21,5,4,3,2,1,0,1,,,,,,,,,,,,1,186,4,191,448,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,9,B,42,35,34,10,1,14,3,3,4,2,2,0,2,,,,,,,,,,,,0,152,8,160,402,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,9,C01,24,41,38,1,12,16,1,3,1,2,0,0,1,,,,,,,,,,,,0,140,9,149,402,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,10,B,17,74,54,4,3,21,2,7,4,5,1,0,2,,,,,,,,,,,,2,194,12,208,479,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,10,C01,27,70,38,0,12,11,8,11,1,6,2,0,3,,,,,,,,,,,,0,189,12,201,478,Acta Casilla,,,
