ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,COMUN_PRI_PVEM_NVA_ALIANZA,COMUN_PRD_PT_PAN,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
12,GUERRERO,1,ACAPULCO DE JUAREZ,381,988,46050,74526,,,13975,19154,4074,7475,2398,3258,2377,,77145,,,,,,272,250432,15701,266405,576121,0.4624
12,GUERRERO,2,AHUACUOTZINGO,26,38,3267,,2748,0,,1414,47,128,653,0,0,3165,,,,74,,,1,11496,365,11862,16900,0.7018
12,GUERRERO,3,AJUCHITLAN DEL PROGRESO,43,57,153,,4625,71,,5228,0,122,16,1,10,7552,,,,,,,0,17778,306,18084,26983,0.6701
12,GUERRERO,4,ALCOZAUCA DE GUERRERO,18,26,,2689,2576,1410,0,43,0,157,0,0,0,,,,,,,,3,6875,425,7303,12738,0.5733
12,GUERRERO,5,ALPOYECA,5,9,15,,1012,1375,,238,8,63,0,0,1,716,,,,,,,17,3428,127,3572,5188,0.6885
12,GUERRERO,6,APAXTLA,17,21,11,,1077,83,,1228,2115,65,0,0,0,505,,,,,,,2,5084,197,5283,8032,0.6577
12,GUERRERO,7,ARCELIA,46,61,54,7128,6253,0,0,93,74,711,0,0,27,,,,,,,,12,14340,289,14641,23808,0.6149
12,GUERRERO,8,ATENANGO DEL RIO,10,13,0,,,,,1242,95,101,0,0,11,1586,1298,,,,,,0,4333,106,4439,6318,0.7025
12,GUERRERO,9,ATLAMAJALCINGO DEL MONTE,9,11,11,648,421,552,0,676,4,24,0,0,10,,,,,,,,1,2346,171,2518,3784,0.6654
12,GUERRERO,10,ATLIXTAC,22,34,2107,,3115,60,,2315,1691,114,0,0,0,1328,,,,,,,0,10730,774,11504,15473,0.7434
12,GUERRERO,11,ATOYAC DE ALVAREZ,67,95,69,,7152,84,,2198,304,2897,162,104,451,8635,,,,,,,8,22056,1016,23080,42590,0.5419
12,GUERRERO,12,AYUTLA DE LOS LIBRES,55,88,292,,8687,916,,1071,140,295,87,0,2762,8972,,,,,,,1,23222,1502,24725,39470,0.6264
12,GUERRERO,13,AZOYU,17,23,2,,3969,59,,1750,33,72,36,0,5,1383,,,,,,,6,7309,426,7741,10656,0.7264
12,GUERRERO,14,BENITO JUAREZ,15,25,47,,3721,38,,58,98,59,0,15,22,3881,,,,,,,4,7939,268,8211,12336,0.6656
12,GUERRERO,15,BUENAVISTA DE CUELLAR,11,19,1048,,1444,1162,,154,20,392,0,0,0,2301,,,,,,,1,6521,138,6660,9585,0.6948
12,GUERRERO,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,30,34,2,40,2912,0,3547,3,46,3,1,0,2,,,,,,,,0,6556,94,6650,9376,0.7092
12,GUERRERO,17,COCULA,24,28,26,,3227,39,,98,557,53,0,0,0,2483,,,,,,,0,6483,241,6724,11266,0.5968
12,GUERRERO,18,COPALA,14,20,24,,,,,2235,69,34,0,1,71,2339,1530,,,,,,0,6303,317,6620,9844,0.6724
12,GUERRERO,19,COPALILLO,10,20,44,,957,1461,,1343,491,25,1401,0,5,1357,,,,,,,1,7084,318,7403,9722,0.7614
12,GUERRERO,20,COPANATOYAC,15,26,54,3705,2619,1178,0,14,30,51,0,0,0,,,,,,,,0,7651,315,7966,11354,0.7016
12,GUERRERO,21,COYUCA DE BENITEZ,59,100,388,11260,3838,243,9109,4057,129,839,0,56,235,,,,,,,,20,30154,1282,31456,50996,0.6168
12,GUERRERO,22,COYUCA DE CATALAN,56,73,162,,,,,89,43,114,0,0,14,10912,8943,,,,,,8,20277,422,20707,32487,0.6373
12,GUERRERO,23,CUAJINICUILAPA,28,40,409,,4538,137,,863,265,80,0,10,0,5435,,,,,,,11,11737,406,12154,17989,0.6756
12,GUERRERO,24,CUALAC,7,13,22,,647,712,,62,5,52,214,0,0,2012,,,,,,,6,3726,162,3894,5126,0.7596
12,GUERRERO,25,CUAUTEPEC,13,20,0,80,3782,19,2953,16,29,33,658,0,199,,,,,,,,0,7769,234,8003,10661,0.7506
12,GUERRERO,26,CUETZALA DEL PROGRESO,16,16,0,1612,0,1106,0,212,130,183,0,0,0,,,,,,664,,11,3907,150,4068,6335,0.6421
12,GUERRERO,27,CUTZAMALA DE PINZON,42,51,32,,5354,26,,12,0,230,0,0,0,5338,,,,,,,0,10992,188,11180,18296,0.611
12,GUERRERO,28,CHILAPA DE ALVAREZ,84,163,673,,14705,868,,1889,2146,874,508,292,286,20857,,,,,,,492,43098,2751,46341,79940,0.5796
12,GUERRERO,29,CHILPANCINGO DE LOS BRAVO,103,295,1083,,,,,4768,1156,3243,3537,776,1291,32263,27472,,,,,,51,75589,4274,79914,175007,0.4566
12,GUERRERO,30,EDUARDO NERI,29,61,86,,,,,1580,126,153,565,57,514,7580,8613,,,,,,3,19274,780,20057,32431,0.6184
12,GUERRERO,31,FLORENCIO VILLARREAL,18,28,21,,4528,48,,108,1237,276,108,0,14,3510,,,,,,,12,9850,336,10198,14762,0.6908
12,GUERRERO,32,GENERAL CANUTO A. NERI,15,16,6,,1278,9,,1849,37,6,0,0,0,242,,,,,,,0,3427,72,3499,4796,0.7295
12,GUERRERO,33,GENERAL HELIODORO CASTILLO,45,54,235,9251,1627,67,0,159,104,680,0,0,0,,,,,,,,4,12123,394,12521,21398,0.5851
12,GUERRERO,34,HUAMUXTITLAN,12,22,1192,,2017,1607,,29,19,272,13,0,837,1541,,,,,,,0,7527,260,7787,11243,0.6926
12,GUERRERO,35,HUITZUCO DE LOS FIGUEROA,36,59,311,,1016,4798,,671,172,241,59,0,0,6803,,,,,,,4,14071,678,14753,28330,0.5207
12,GUERRERO,36,IGUALA DE LA INDEPENDENCIA,85,187,701,,13683,649,,3850,897,1877,413,3494,299,18100,,,,,,,40,43963,2035,46038,105572,0.436
12,GUERRERO,37,IGUALAPA,12,16,1167,870,1084,299,446,880,801,22,0,2,0,,,,,,,,0,5571,199,5770,7292,0.7912
12,GUERRERO,38,IXCATEOPAN DE CUAUHTEMOC,12,14,,,1671,5,,9,7,51,6,142,0,2084,,,,,,,0,3975,75,4050,5405,0.7493
12,GUERRERO,39,ZIHUATANEJO DE AZUETA,64,160,713,,18807,1242,,1324,652,1534,2359,589,212,15327,,,,,,,26,42759,1754,44539,93095,0.4784
12,GUERRERO,40,JUAN R. ESCUDERO,24,36,2327,,2849,2133,,1586,65,797,0,0,193,684,,,,,,,0,10634,557,11191,17646,0.6341
12,GUERRERO,41,LEONARDO BRAVO,22,34,4163,,3098,117,,318,92,136,0,5,9,3558,,,,,,,5,11496,384,11885,16216,0.7329
12,GUERRERO,42,MALINALTEPEC,16,34,85,,2399,4265,,1717,53,113,0,0,0,1526,,,,,,,0,10158,571,10729,16753,0.6404
12,GUERRERO,43,MARTIR DE CUILAPAN,16,25,93,1657,1670,102,200,2384,744,100,0,0,667,,,,,,,,0,7617,644,8261,12304,0.6714
12,GUERRERO,44,METLATONOC,16,31,0,,2256,1756,,2332,18,34,0,0,63,1184,,,,,,,3,7643,462,8108,11211,0.7232
12,GUERRERO,45,MOCHITLAN,15,19,35,446,535,26,2798,1588,62,132,0,0,19,,,,,,,,0,5641,369,6010,8369,0.7181
12,GUERRERO,46,OLINALA,25,37,22,,4479,353,,22,31,405,0,8,20,6060,,,,,,,4,11400,361,11765,16947,0.6942
12,GUERRERO,47,OMETEPEC,38,77,315,,,,,274,178,148,69,112,146,9426,15316,,,,,,24,25984,1054,27062,40253,0.6722
12,GUERRERO,48,PEDRO ASCENCIO ALQUISIRAS,22,24,77,,836,104,,75,1063,61,0,0,0,1169,,,,,,76,1,3461,178,3640,5070,0.7179
12,GUERRERO,49,PETATLAN,53,74,415,6735,,,1023,279,0,250,41,54,64,,9174,,,,,,3,18035,518,18556,31915,0.5814
12,GUERRERO,50,PILCAYA,16,22,2048,,,,,10,1121,59,0,0,13,2480,755,,,,,,1,6486,99,6586,8444,0.7799
12,GUERRERO,51,PUNGARABATO,22,52,239,,,,,250,86,1863,0,77,37,6325,6367,,,,,,9,15244,294,15547,28388,0.5476
12,GUERRERO,52,QUECHULTENANGO,40,52,192,1325,8830,157,0,3399,0,109,82,0,35,,,,,,,,20,14129,734,14883,22506,0.6612
12,GUERRERO,53,SAN LUIS ACATLAN,25,53,178,,,,,6564,129,233,139,0,189,3161,5229,,,,,,4,15822,805,16631,25171,0.6607
12,GUERRERO,54,SAN MARCOS,47,73,471,7860,6710,343,6208,214,120,95,333,0,26,,,,,,,,17,22380,1422,23819,34646,0.6874
12,GUERRERO,55,SAN MIGUEL TOTOLAPAN,39,45,187,3288,3771,34,1337,1136,0,8,0,0,0,,,,,,,,0,9761,230,9991,15358,0.6505
12,GUERRERO,56,TAXCO DE ALARCON,87,154,13776,,2139,1510,,413,,763,912,392,2643,,,20123,,,,,11,42671,1972,44654,78923,0.5657
12,GUERRERO,57,TECOANAPA,39,62,8077,3766,,,6297,118,121,270,0,104,258,,1540,,,,,,16,20551,1268,21835,29140,0.7493
12,GUERRERO,58,TECPAN DE GALEANA,66,102,85,13170,8028,281,0,1441,390,744,0,383,137,,,,,,,,11,24659,849,25519,45293,0.5634
12,GUERRERO,59,TELOLOAPAN,78,103,433,,9407,331,,8591,282,170,0,0,39,1294,,,,,,,8,20547,980,21535,38774,0.5553
12,GUERRERO,60,TEPECOACUILCO DE TRUJANO,31,48,4288,,207,2400,,2384,76,496,53,0,37,4214,,,,,,,8,14155,565,14728,24274,0.6067
12,GUERRERO,61,TETIPAC,23,27,1931,,74,44,,1085,47,32,0,43,21,3380,,,,,,,1,6657,179,6837,9562,0.715
12,GUERRERO,62,TIXTLA DE GUERRERO,29,53,,,,,,250,,760,276,,,,,5846,7788,,,,2,14920,586,15508,28551,0.5431
12,GUERRERO,63,TLACOACHISTLAHUACA,14,28,1978,2381,,,0,31,55,16,396,0,54,,3705,,,,,,5,8616,417,9038,13270,0.681
12,GUERRERO,64,TLACOAPA,10,15,0,1966,1268,42,0,33,0,721,0,0,0,,,,,,,,3,4030,208,4241,5661,0.7491
12,GUERRERO,65,TLALCHAPA,18,24,9,,,,,0,13,226,0,0,0,2162,4277,,,,,,1,6687,69,6757,9941,0.6797
12,GUERRERO,66,TLALIXTAQUILLA DE MALDONADO,8,12,3,,733,974,,2,9,196,0,0,0,1258,,,,,,,0,3175,81,3256,5058,0.6437
