CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,COMUN_PRI_PVEM_NVA_ALIANZA,COMUN_PRD_PT_PAN,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRD_PT,PRD_PAN,PT_PAN,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,20,TELOLOAPAN,26,CUETZALA DEL PROGRESO,1059,1,0,167,0,77,0,8,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,2,428,6,436,737
4,12,GUERRERO,20,TELOLOAPAN,26,CUETZALA DEL PROGRESO,1060,1,0,52,0,40,0,29,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,140,3,143,188
4,12,GUERRERO,20,TELOLOAPAN,26,CUETZALA DEL PROGRESO,1061,1,0,22,0,68,0,15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,142,3,145,191
4,12,GUERRERO,20,TELOLOAPAN,26,CUETZALA DEL PROGRESO,1062,1,0,87,0,43,0,22,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,15,174,341
4,12,GUERRERO,20,TELOLOAPAN,26,CUETZALA DEL PROGRESO,1063,1,0,98,0,21,0,20,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,177,2,179,358
4,12,GUERRERO,20,TELOLOAPAN,26,CUETZALA DEL PROGRESO,1064,1,0,54,0,9,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,76,0,76,115
4,12,GUERRERO,20,TELOLOAPAN,26,CUETZALA DEL PROGRESO,1065,1,0,40,0,56,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,115,1,116,206
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1067,2,3,181,313,1,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,9,518,788
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1068,3,1,328,264,4,5,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,15,647,975
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1069,2,0,226,270,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,10,529,833
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1070,2,3,387,303,4,2,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,32,748,1193
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1071,1,0,95,121,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,6,228,369
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1072,1,0,173,64,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,1,241,417
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1074,1,0,61,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87,3,90,121
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1075,1,2,55,23,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,86,133
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1076,1,0,80,43,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,125,177
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1077,1,0,41,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,1,117,207
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1079,1,0,68,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,4,94,163
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1080,1,0,64,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1,112,178
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1081,2,2,328,333,2,5,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,679,5,684,1055
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1082,1,0,91,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,2,147,259
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1083,1,0,88,94,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,3,188,266
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1084,2,2,198,319,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,6,541,890
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1086,1,0,186,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,5,359,685
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1087,1,1,204,173,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,381,8,389,666
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1088,1,0,83,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,2,180,240
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1089,1,1,52,51,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,3,109,170
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1090,1,0,91,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,98,142
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1091,1,3,37,25,3,0,1,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,99,149
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1092,1,0,114,113,1,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,242,1,243,401
