ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,6,ARMERIA,21,41,1470,3400,216,596,599,230,920,4452,107,100,251,312,85,9,52,,,12799,1,573,13373,21499,
6,COLIMA,1,COLIMA,91,227,17258,14330,733,1487,1748,19256,5553,14276,526,238,482,380,224,24,81,,,76596,84,2236,78916,123072,
6,COLIMA,2,COMALA,13,32,3833,3309,75,45,251,914,174,1448,100,58,67,91,22,3,13,1025,,11428,1,371,11800,16597,
6,COLIMA,3,COQUIMATLAN,15,34,1956,3536,71,84,567,591,910,1914,125,56,96,136,43,4,25,,,10114,1,381,10496,15996,
6,COLIMA,4,CUAUHTEMOC,18,43,5819,3725,192,80,442,659,1068,2261,91,89,67,82,36,6,20,,,14637,3,482,15122,22909,
6,COLIMA,7,IXTLAHUACAN,8,12,81,1577,11,125,473,82,107,653,376,5,66,318,28,20,19,,,3941,0,114,4055,5084,
6,COLIMA,8,MANZANILLO,70,233,9448,8366,664,16367,2166,3637,1537,25061,868,137,1101,1040,374,28,142,,10326,81262,13,2954,84229,136912,
6,COLIMA,9,MINATITLAN,7,16,187,2211,28,149,1148,429,225,1032,37,6,114,114,51,12,6,,,5749,0,159,5908,7341,
6,COLIMA,10,TECOMAN,60,144,11431,9979,690,1169,1367,1163,908,15415,439,245,468,630,212,27,118,,,44261,20,1801,46082,82538,
6,COLIMA,5,VILLA DE ALVAREZ,67,168,6098,14273,493,1061,1805,18802,2289,15210,557,98,472,449,184,10,69,,,61870,50,1566,63486,98772,
