ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,6,ARMERIA,21,41,1520,3526,266,721,752,230,920,4605,259,,,12799,1,573,13373,21499,
6,COLIMA,1,COLIMA,91,227,17377,14571,852,1728,1984,19256,5553,14513,762,,,76596,84,2236,78916,123072,
6,COLIMA,2,COMALA,13,32,3862,3343,104,78,294,914,174,1491,143,1025,,11428,1,371,11800,16597,
6,COLIMA,3,COQUIMATLAN,15,34,1984,3584,99,132,636,591,910,1984,194,,,10114,1,381,10496,15996,
6,COLIMA,4,CUAUHTEMOC,18,43,5864,3759,236,113,490,659,1068,2309,139,,,14637,3,482,15122,22909,
6,COLIMA,7,IXTLAHUACAN,8,12,84,1610,13,158,601,82,107,782,504,,,3941,0,114,4055,5084,
6,COLIMA,8,MANZANILLO,70,233,9517,8916,732,16918,2694,3637,1537,25589,1396,,10326,81262,13,2954,84229,136912,
6,COLIMA,9,MINATITLAN,7,16,190,2268,31,206,1209,429,225,1093,98,,,5749,0,159,5908,7341,
6,COLIMA,10,TECOMAN,60,144,11554,10213,812,1403,1696,1163,908,15744,768,,,44261,20,1801,46082,82538,
6,COLIMA,5,VILLA DE ALVAREZ,67,168,6147,14509,542,1297,2042,18802,2289,15448,794,,,61870,50,1566,63486,98772,
