ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRS,MHTG,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
3,BAJA CALIFORNIA SUR,1,COMONDU,71,102,6538,8281,1991,1492,1756,1492,351,412,354,223,6280,0,13,29183,987,30170,48403,0.6233
3,BAJA CALIFORNIA SUR,2,MULEGE,44,82,4615,3474,377,281,736,281,6191,566,0,298,4433,151,14,21417,845,22262,37887,0.5876
3,BAJA CALIFORNIA SUR,3,LA PAZ,223,369,21056,21876,6184,4637,4939,4637,1411,7327,3080,4442,20230,0,313,100132,2878,103010,186574,0.5521
3,BAJA CALIFORNIA SUR,4,LOS CABOS,131,307,15869,7684,9819,7363,1734,7363,495,4624,1399,2292,15245,0,201,74088,2176,76264,171602,0.4444
3,BAJA CALIFORNIA SUR,5,LORETO,20,25,2452,2176,123,90,491,90,140,213,17,58,2355,0,0,8205,113,8318,11503,0.7231
