ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,AVE,PC,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA_AVE_PC,PRI_PVEM_NVA_ALIANZA_AVE,PRI_PVEM_NVA_ALIANZA_PC,PRI_PVEM_AVE_PC,PRI_NVA_ALIANZA_AVE_PC,PVEM_NVA_ALIANZA_AVE_PC,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_AVE,PRI_PVEM_PC,PRI_NVA_ALIANZA_AVE,PRI_NVA_ALIANZA_PC,PRI_AVE_PC,PVEM_NVA_ALIANZA_AVE,PVEM_NVA_ALIANZA_PC,PVEM_AVE_PC,NVA_ALIANZA_AVE_PC,PRI_PVEM,PRI_NVA_ALIANZA,PRI_AVE,PRI_PC,PVEM_NVA_ALIANZA,PVEM_AVE,PVEM_PC,NVA_ALIANZA_AVE,NVA_ALIANZA_PC,AVE_PC,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS ,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
30,VERACRUZ,1,ACAJETE,4,11,1420,517,68,147,59,30,27,133,22,800,46,71,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,9,0,0,3,0,0,0,0,43,0,3414,85,3499,6195,0.5648
30,VERACRUZ,2,ACATLAN,2,4,534,247,95,41,10,4,5,9,6,282,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1256,18,1274,2307,0.5522
30,VERACRUZ,3,ACAYUCAN,40,107,6135,7217,1669,929,340,311,215,3437,113,10412,188,607,21,8,3,2,0,1,4,47,1,1,0,0,3,0,2,0,113,9,104,4,6,56,0,8,1,5,503,24,32475,990,33489,61916,0.5409
30,VERACRUZ,4,ACTOPAN,38,64,6872,5493,686,492,254,190,123,176,59,3234,119,462,18,1,1,0,0,0,5,12,2,0,0,1,0,0,0,0,112,4,9,1,1,2,0,2,1,0,211,10,18543,450,19003,31407,0.6051
30,VERACRUZ,5,ACULA,7,9,620,769,23,968,17,16,77,3,12,105,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,2,0,0,0,1,0,6,0,2670,52,2722,4121,0.6605
30,VERACRUZ,6,ACULTZINGO,14,26,1013,1214,597,62,109,68,68,62,54,2120,67,74,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,22,1,1,2,1,1,0,1,1,0,91,1,5635,195,5831,13360,0.4365
30,VERACRUZ,206,AGUA DULCE,29,65,1161,3291,617,305,128,91,96,350,79,8146,165,111,20,6,1,0,0,0,2,6,0,0,0,0,1,0,1,1,49,3,21,0,1,1,4,2,0,2,193,5,14854,431,15290,33343,0.4586
30,VERACRUZ,8,ALAMO TEMAPACHE,69,143,16014,11563,917,2138,430,273,401,140,260,7437,408,796,43,9,2,1,0,0,13,15,3,0,1,0,0,0,0,0,366,21,8,6,8,3,0,5,1,0,505,12,41787,1159,42958,76048,0.5649
30,VERACRUZ,9,ALPATLAHUAC,5,12,1247,997,223,99,36,7,19,6,51,217,24,113,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,34,0,0,0,0,1,0,0,0,5,33,26,3119,92,3237,6123,0.5287
30,VERACRUZ,10,ALTO LUCERO DE GUTIERREZ BARRIOS,33,46,2852,2670,450,247,396,106,94,480,128,2810,126,154,9,4,0,0,0,0,1,9,0,0,1,0,1,0,0,1,40,5,49,3,3,12,1,5,1,3,120,4,10781,415,11200,21488,0.5212
30,VERACRUZ,11,ALTOTONGA,29,71,5141,6055,811,284,976,529,195,448,385,6615,219,229,14,5,5,0,0,1,3,17,2,2,0,3,0,0,0,0,179,7,14,2,4,4,1,9,3,1,359,2,22522,1105,23629,38669,0.6111
30,VERACRUZ,12,ALVARADO,40,75,9402,5584,295,399,230,183,262,155,123,2992,155,482,33,17,3,1,0,1,7,24,0,1,0,0,4,0,0,0,132,11,12,0,6,4,0,4,1,0,318,5,20841,825,21671,40528,0.5347
