CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRD,PT,PVEM,MC,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,B,53,25,9,,6,93,5,22,11,79,,,,,0,303,19,322,631,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20Recuento/Actas_Nuevo_Escru_1.pdf,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C01,50,35,6,,6,95,12,23,21,63,,,,,0,311,17,328,631,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20Recuento/Actas_Nuevo_Escru_1.pdf,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C02,39,30,15,,14,96,3,19,12,74,,,,,0,302,21,323,631,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20Recuento/Actas_Nuevo_Escru_1.pdf,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C03,76,23,6,,10,93,5,22,6,78,,,,,0,319,20,339,631,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20Recuento/Actas_Nuevo_Escru_1.pdf,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C04,61,22,5,,15,112,5,21,8,73,,,,,0,322,18,340,630,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20Recuento/Actas_Nuevo_Escru_1.pdf,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C05,47,35,8,,12,81,14,17,14,80,,,,,0,308,14,322,630,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20Recuento/Actas_Nuevo_Escru_1.pdf,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,B,43,34,7,,17,124,5,29,16,65,,,,,0,340,15,355,676,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20Recuento/Actas_Nuevo_Escru_1.pdf,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,C01,52,31,5,,16,132,4,31,18,64,,,,,0,353,19,372,676,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20Recuento/Actas_Nuevo_Escru_1.pdf,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,C02,54,38,6,,16,101,5,27,23,62,,,,,0,332,15,347,676,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20Recuento/Actas_Nuevo_Escru_1.pdf,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,S01,0,0,0,,0,0,0,0,0,0,,,,,0,0,0,0,0,No instalada,,,,
