ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,0,VOTO EXTRANJERO,1,22,1197,517,112,87,194,2713,139,3078,46,208,38,2,9,8340,26,162,8528,0,
14,JALISCO,1,ACATIC,11,26,2240,860,123,1319,366,2355,277,759,52,15,32,3,4,8405,2,473,8880,16146,
14,JALISCO,2,ACATLAN DE JUAREZ,11,28,1010,1212,534,698,339,4083,314,2385,187,97,81,12,76,11028,10,270,11308,17497,
14,JALISCO,3,AHUALULCO DE MERCADO,12,29,439,2200,82,173,261,5392,304,3277,87,40,10,0,16,12281,0,324,12605,17472,
14,JALISCO,4,AMACUECA,4,9,256,697,46,32,96,1096,85,590,34,26,7,1,5,2971,0,130,3101,4500,
14,JALISCO,5,AMATITAN,8,19,263,1250,330,316,167,2493,599,1907,33,23,7,1,8,7397,0,321,7718,11215,
14,JALISCO,6,AMECA,43,90,1442,3639,394,1610,611,12097,1489,4995,235,69,57,7,10,26655,4,1125,27784,48084,
14,JALISCO,8,ARANDAS,30,91,5991,6820,260,569,423,13382,668,3294,413,92,17,1,9,31939,30,1525,33494,55904,
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,9,396,977,20,79,77,1128,690,321,14,3,2,0,0,3707,0,141,3848,4790,
14,JALISCO,11,ATENGO,6,10,1037,925,299,28,29,644,12,272,9,4,4,0,2,3265,0,102,3367,4447,
14,JALISCO,12,ATENGUILLO,5,8,114,556,4,55,20,1387,11,146,6,0,1,1,0,2301,0,101,2402,3517,
14,JALISCO,13,ATOTONILCO EL ALTO,27,78,3523,3393,275,1354,523,9264,2280,3159,1455,103,17,19,43,25408,14,1267,26689,47109,
14,JALISCO,14,ATOYAC,6,14,629,1506,34,49,351,1255,50,298,12,14,8,0,3,4209,1,234,4444,6922,
14,JALISCO,15,AUTLAN DE NAVARRO,30,80,1704,4110,259,513,667,8877,1144,9002,350,166,87,7,49,26935,15,959,27909,48322,
14,JALISCO,16,AYOTLAN,19,49,1204,1521,126,3931,216,3496,649,1634,3769,110,10,28,103,16797,4,898,17699,28926,
14,JALISCO,17,AYUTLA,12,20,1831,565,32,204,64,3374,41,468,15,26,1,0,1,6622,2,174,6798,10392,
14,JALISCO,19,BOLAÑOS,3,4,430,418,6,7,17,523,6,179,4,1,1,0,1,1593,0,105,1698,2186,
14,JALISCO,20,CABO CORRIENTES,6,18,91,1767,35,29,338,2539,54,1221,35,49,22,4,8,6192,0,283,6475,9006,
14,JALISCO,117,CAÑADAS DE OBREGON,7,9,565,122,11,609,17,598,11,145,5,5,0,0,0,2088,1,172,2261,3755,
14,JALISCO,21,CASIMIRO CASTILLO,14,27,502,1299,107,199,195,3488,192,2642,80,25,17,1,19,8766,0,333,9099,15977,
14,JALISCO,31,CHAPALA,19,62,3879,4435,158,480,302,9140,358,4629,239,69,34,4,13,23740,6,679,24425,37393,
14,JALISCO,32,CHIMALTITAN,3,5,784,820,2,10,7,491,2,112,3,1,0,0,0,2232,0,65,2297,2812,
14,JALISCO,33,CHIQUILISTLAN,4,8,145,889,369,17,38,833,22,506,20,10,4,3,4,2860,0,152,3012,4346,
14,JALISCO,22,CIHUATLAN,17,45,651,2822,1365,322,329,4567,686,4312,151,154,84,1,17,15461,2,779,16242,26588,
14,JALISCO,25,COCULA,17,38,1216,1475,143,646,185,5278,95,4064,90,43,17,3,17,13272,13,382,13667,22749,
14,JALISCO,26,COLOTLAN,15,29,1331,1540,85,156,145,3716,99,1764,75,131,4,0,6,9052,4,401,9457,14727,
14,JALISCO,27,CONCEPCION DE BUENOS AIRES,5,9,318,516,21,875,25,1412,11,229,8,1,0,0,0,3416,0,131,3547,4955,
14,JALISCO,28,CUAUTITLAN DE GARCIA BARRAGAN,9,24,3395,1547,53,47,115,3795,43,893,24,42,8,8,31,10001,0,518,10519,13082,
14,JALISCO,29,CUAUTLA,4,5,552,302,7,14,9,460,6,91,4,0,0,0,1,1446,0,48,1494,2172,
14,JALISCO,30,CUQUIO,12,26,338,962,60,138,3770,2868,67,715,45,68,103,8,1,9143,4,380,9527,14066,
14,JALISCO,34,DEGOLLADO,16,34,1521,3395,158,803,114,1824,204,1045,60,14,5,2,4,9149,0,445,9594,18356,
14,JALISCO,35,EJUTLA,2,4,68,328,222,22,17,437,3,136,2,0,1,0,0,1236,0,57,1293,1924,
14,JALISCO,9,EL ARENAL,5,22,1386,1173,41,248,206,3853,747,1357,63,12,7,1,0,9094,0,364,9458,14243,
14,JALISCO,39,EL GRULLO,12,31,1112,1559,172,169,224,3086,494,2510,112,34,17,2,10,9501,7,480,9988,19541,
14,JALISCO,56,EL LIMON,6,10,131,599,132,30,51,755,61,1036,16,12,7,1,5,2836,0,108,2944,5459,
14,JALISCO,72,EL SALTO,26,170,3012,11530,657,1046,1206,26937,672,13411,612,467,200,43,269,60062,43,2138,62243,116230,
14,JALISCO,36,ENCARNACION DE DIAZ,31,66,9778,4097,184,375,332,3411,273,2203,148,37,13,1,9,20861,7,889,21757,37578,
14,JALISCO,37,ETZATLAN,11,25,1364,912,47,142,176,4879,538,1486,72,17,6,0,4,9643,2,319,9964,14700,
14,JALISCO,38,GOMEZ FARIAS,8,19,236,1899,75,209,130,2836,155,1595,49,123,9,1,3,7320,0,237,7557,11914,
14,JALISCO,40,GUACHINANGO,8,11,199,602,106,492,24,862,11,120,1,1,0,0,0,2418,0,103,2521,3604,
14,JALISCO,41,GUADALAJARA,982,2181,72133,137562,5024,13732,15112,324847,11526,161826,8967,4396,1764,288,1075,758252,747,21319,780318,1261081,
14,JALISCO,42,HOSTOTIPAQUILLO,11,16,733,1103,208,63,56,1432,71,334,16,8,2,0,0,4026,0,352,4378,6649,
14,JALISCO,43,HUEJUCAR,5,10,483,834,14,32,41,1591,17,441,10,4,2,0,1,3470,0,150,3620,5270,
14,JALISCO,44,HUEJUQUILLA EL ALTO,7,16,1638,1127,22,24,31,1055,13,536,10,3,4,1,1,4465,0,189,4654,7162,
14,JALISCO,46,IXTLAHUACAN DE LOS MEMBRILLOS,11,51,992,4565,173,494,318,6695,288,3568,158,140,88,1,19,17499,7,565,18071,33413,
14,JALISCO,47,IXTLAHUACAN DEL RIO,11,26,730,2299,57,303,363,4322,159,878,55,22,18,1,4,9211,2,337,9550,15159,
14,JALISCO,48,JALOSTOTITLAN,22,45,3819,2439,72,223,99,5029,327,786,109,76,2,1,11,12993,4,463,13460,24185,
14,JALISCO,49,JAMAY,12,31,1631,3079,95,543,208,2979,99,2123,86,140,116,15,119,11233,1,359,11593,18745,
14,JALISCO,50,JESUS MARIA,14,26,3587,737,52,257,66,3496,63,390,51,10,4,0,2,8715,1,355,9071,16340,
14,JALISCO,51,JILOTLAN DE LOS DOLORES,10,16,66,879,32,15,32,2936,17,214,11,6,2,1,3,4214,1,241,4456,6460,
14,JALISCO,52,JOCOTEPEC,18,55,1269,3130,96,1063,205,7877,536,3818,161,69,28,1,12,18265,5,808,19078,33165,
14,JALISCO,53,JUANACATLAN,7,21,1214,1422,45,371,102,3286,43,1520,49,26,9,4,2,8093,1,212,8306,12853,
14,JALISCO,54,JUCHITLAN,6,10,690,650,65,278,19,1066,20,263,12,5,2,0,1,3071,1,138,3210,5064,
14,JALISCO,18,LA BARCA,36,93,1618,3591,306,756,711,9409,2413,7639,869,200,66,8,76,27662,25,1067,28754,54321,
14,JALISCO,45,LA HUERTA,18,32,465,2807,137,89,184,5001,181,2365,63,13,11,0,5,11321,1,644,11966,18148,
14,JALISCO,59,LA MANZANILLA DE LA PAZ,5,7,106,250,19,722,19,1025,10,194,8,1,1,0,0,2355,1,122,2478,3265,
14,JALISCO,55,LAGOS DE MORENO,72,207,10123,11210,512,1019,912,29623,892,9051,549,162,82,13,33,64181,73,2837,67091,118063,
14,JALISCO,57,MAGDALENA,10,25,1335,2444,138,121,164,2323,124,2023,92,31,7,2,7,8811,3,358,9172,15218,
14,JALISCO,60,MASCOTA,13,23,685,1332,31,89,177,2918,92,1462,50,10,9,1,2,6858,0,172,7030,11035,
14,JALISCO,61,MAZAMITLA,9,20,314,1416,62,1574,124,2954,100,1038,39,5,0,0,0,7626,0,273,7899,10515,
14,JALISCO,62,MEXTICACAN,7,10,654,535,10,24,22,871,32,466,12,3,1,0,1,2631,0,100,2731,4872,
14,JALISCO,63,MEZQUITIC,7,18,3047,2015,17,30,40,1141,23,325,14,10,3,1,3,6669,4,315,6988,10018,
14,JALISCO,64,MIXTLAN,4,7,18,912,4,16,9,1105,179,79,1,0,0,0,0,2323,0,25,2348,3136,
14,JALISCO,65,OCOTLAN,42,124,3709,3616,376,676,872,18774,1014,12149,533,174,85,20,52,42050,16,1205,43271,76185,
14,JALISCO,66,OJUELOS DE JALISCO,15,35,747,1755,704,966,166,5607,147,2137,77,31,10,2,19,12368,4,864,13236,20435,
14,JALISCO,67,PIHUAMO,12,21,180,403,18,1286,163,1124,46,2478,43,22,5,0,13,5781,2,245,6028,8988,
14,JALISCO,68,PONCITLAN,20,60,1495,3720,1079,388,594,6751,207,5275,232,128,34,13,30,19946,2,898,20846,36552,
14,JALISCO,69,PUERTO VALLARTA,78,330,5809,8262,788,2265,2400,40877,1842,40410,1335,558,264,25,146,104981,80,3220,108281,211762,
14,JALISCO,71,QUITUPAN,12,18,543,1727,105,115,34,1925,47,244,12,5,3,0,0,4760,16,284,5060,8485,
14,JALISCO,73,SAN CRISTOBAL DE LA BARRANCA,5,7,571,427,17,86,28,500,19,227,16,4,3,0,0,1898,1,113,2012,2907,
14,JALISCO,74,SAN DIEGO DE ALEJANDRIA,7,12,1308,1055,9,219,14,668,7,132,7,2,1,0,1,3423,2,156,3581,5208,
14,JALISCO,24,SAN GABRIEL,10,20,400,1776,631,103,128,3118,41,1251,43,20,6,1,6,7524,0,420,7944,11960,
14,JALISCO,125,SAN IGNACIO CERRO GORDO,8,23,1539,2171,76,93,42,2367,115,304,33,2,1,0,0,6743,0,212,6955,14426,
14,JALISCO,75,SAN JUAN DE LOS LAGOS,34,87,5840,2136,166,4035,334,8036,2602,4347,311,47,21,3,14,27892,62,963,28917,51379,
14,JALISCO,7,SAN JUANITO DE ESCOBEDO,8,15,548,719,16,192,74,1927,128,1111,13,13,1,2,3,4747,0,90,4837,7377,
14,JALISCO,76,SAN JULIAN,9,21,2393,1468,38,138,72,3346,74,432,29,2,1,1,3,7997,22,233,8252,12704,
