ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,0,VOTO EN EL EXTRANJERO,1,22,1197,517,112,87,194,2713,139,3078,46,8083,26,162,8528,0,
14,JALISCO,1,TEQUILA,218,487,21905,31606,1945,4279,6700,63015,4492,31053,1128,166123,45,6437,172605,270051,
14,JALISCO,2,LAGOS DE MORENO,178,452,35564,23484,1659,6843,1907,51598,4048,18748,1158,145009,170,6293,151470,259145,
14,JALISCO,3,TEPATITLAN DE MORELOS,217,556,46739,29268,1311,7107,2064,62771,5338,17092,2120,173810,146,7670,181626,329885,
14,JALISCO,4,ZAPOPAN,119,449,15505,29996,1123,3658,3819,57947,2777,38135,2325,155285,87,4297,159669,289174,
14,JALISCO,5,PUERTO VALLARTA,148,474,8225,18591,1998,4287,3490,59515,2377,49072,1617,149172,106,5453,153977,283360,
14,JALISCO,6,ZAPOPAN,165,503,19521,28691,1407,3967,3859,71791,2738,38497,2654,173125,99,4134,178902,318321,
14,JALISCO,7,TONALA,68,379,,,,,,,,,,,,,,254129,
14,JALISCO,8,GUADALAJARA,333,606,27606,40843,1096,3574,3819,91772,2664,38884,2252,212510,223,4719,217452,327935,
14,JALISCO,9,GUADALAJARA,193,501,13207,29323,1276,3544,0,68185,2722,0,0,118257,137,5794,,305245,
14,JALISCO,10,ZAPOPAN,109,455,26732,25106,1024,3238,2733,83133,2347,30145,2128,176586,168,3861,180615,295195,
14,JALISCO,11,GUADALAJARA,230,536,14198,34995,1278,3330,3710,78559,2954,40884,2445,182353,96,5099,189507,312730,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,129,518,10975,15926,1408,2835,2864,87742,2379,41254,2467,167850,112,4553,172515,332408,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,138,450,17771,28826,1077,2949,3513,73080,2120,33577,2891,165804,340,4363,170507,284968,
14,JALISCO,14,GUADALAJARA,226,538,17174,32470,1375,3286,4472,86463,3195,41288,2931,192654,291,5723,198668,315171,
14,JALISCO,15,LA BARCA,199,528,16011,25384,2682,10676,3997,60632,7101,36840,7680,171003,65,6973,178041,312487,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,115,459,,,,,,,,,,,,,,297661,
14,JALISCO,17,JOCOTEPEC,171,443,14434,29717,1678,8922,3252,59662,3752,31513,1556,154486,21,4251,158758,261059,
14,JALISCO,18,AUTLAN DE NAVARRO,246,517,18059,33730,4647,4311,3597,65788,4849,34942,1552,171475,37,7446,178958,286529,
14,JALISCO,19,ZAPOTLAN EL GRANDE,254,535,13000,27440,4894,8858,4829,68164,5065,46306,3001,181557,221,7499,189277,298471,
14,JALISCO,20,TONALA,89,421,11900,24385,1379,4786,3666,58829,2089,31710,2010,140754,136,5007,145897,277118,
