ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,0,VOTO EN EL EXTRANJERO,1,22,1197,517,112,87,194,2713,139,3078,46,208,38,2,9,8340,26,162,8528,0,
14,JALISCO,1,TEQUILA,218,487,21905,31606,1945,4279,6700,63015,4492,31053,1128,666,384,35,293,167501,45,6437,173983,270051,
14,JALISCO,2,LAGOS DE MORENO,178,452,35600,23479,1652,6841,1904,51601,4050,18729,1154,290,130,20,80,145530,171,6289,151990,259145,
14,JALISCO,3,TEPATITLAN DE MORELOS,217,556,46739,29268,1311,7107,2064,62771,5338,17092,2120,405,103,10,79,174407,146,7670,182223,329885,
14,JALISCO,4,ZAPOPAN,119,449,15505,29996,1123,3658,3819,57947,2777,38135,2325,1158,413,50,224,157130,87,4297,161514,289174,
14,JALISCO,5,PUERTO VALLARTA,148,474,8216,18573,1995,4238,3487,59436,2375,49067,1617,693,331,34,188,150250,106,5436,155792,283360,
14,JALISCO,6,ZAPOPAN,165,503,19551,28633,1434,3964,3859,71637,2733,38497,2654,969,357,55,191,174534,102,4130,178766,318321,
14,JALISCO,7,TONALA,68,379,9091,25211,896,3197,3792,49322,3258,33202,2060,943,376,54,180,131582,84,3547,135213,254129,
14,JALISCO,8,GUADALAJARA,333,606,27606,40843,1096,3574,3375,91772,2664,38235,1904,855,349,55,177,212505,223,4719,217447,327935,
14,JALISCO,9,GUADALAJARA,193,501,13207,29323,1276,3544,4241,68185,2722,42369,2282,1274,478,72,247,169220,137,5794,175151,305245,
14,JALISCO,10,ZAPOPAN,109,455,26676,25055,1022,3228,2727,83033,2341,30023,2123,849,259,36,188,177560,168,3861,181589,295195,
14,JALISCO,11,GUADALAJARA,230,536,14166,34926,1277,3328,3704,78427,2945,40726,2441,1144,432,53,324,183893,96,5083,189072,312730,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,129,518,10959,15904,1408,2831,2858,87555,2377,41144,2462,1195,476,50,249,169468,112,4548,174128,332408,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,138,450,17643,28602,1069,2921,2876,72465,2099,32598,2298,1251,343,46,273,164484,339,4333,169156,284968,
14,JALISCO,14,GUADALAJARA,226,538,17154,32470,1375,3286,3792,86463,3195,40496,2340,1123,505,108,327,192634,291,5723,198648,315171,
14,JALISCO,15,LA BARCA,199,528,16011,25384,2682,10676,3464,60632,7101,36138,7106,905,357,108,439,171003,65,6973,178041,312487,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,115,459,10875,40561,1202,3028,3362,53333,2193,37344,2358,1545,395,54,257,156507,85,5087,161679,297661,
14,JALISCO,17,JOCOTEPEC,171,443,14434,29717,1678,8922,2888,59662,3752,31147,1339,555,327,32,182,154635,54,5394,160083,261059,
14,JALISCO,18,AUTLAN DE NAVARRO,246,517,17870,33577,4593,4307,3196,65584,4848,34437,1227,639,328,34,188,170828,37,7440,178305,286529,
14,JALISCO,19,ZAPOTLAN EL GRANDE,254,535,12921,27226,4824,8824,4380,67876,5052,45453,2582,856,274,34,203,180505,221,7445,188171,298471,
14,JALISCO,20,TONALA,89,421,11900,24385,1379,4786,3113,58829,2089,31021,1479,969,387,74,343,140754,136,5007,145897,277118,
