ID_ESTADO,ID_MUNICIPIO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
23,1,mas,Paula Villanueva Rosado,Karla Barbosa Berlanga
23,1,mc,Jesus De Los Angeles Pool Moo,Ruben Fernando Pachon Trejo
23,1,pan_pri,Jorge Rodriguez Mendez,Florencio Amador Gutierrez Guigui
23,1,prd,Daniela Vara Solis,
23,1,pvem_pt_morena,Ana Patricia Peralta De La Peña,Clara Emilia Diaz Aguilar
23,2,mas,Maria Azucena Flores Peraza,Estefanny Elizabeth Herrera Canche
23,2,mc,Roberto Alan Marin Flores,Francisco Javier Hernandez Peniche
23,2,pan_pri,Pedro Oscar Joaquin Delbouis,Jorge Alberto Martin Azueta
23,2,prd,Abigail Elias Buces,Maria Jose Aguilar Novelo
23,2,pvem_pt_morena,Jose Luis Chacon Mendez,Francisco Alejandro Abad Vazquez
23,3,mas,Victor Manuel Del Angel Ventura,Marx Edwin Esquivel Martin
23,3,mc,Sandra Luz Arceo Manrique,Elda Del Rocio Santos Xiu
23,3,pan_pri,Brenda Veronica Hau Uex,Naila Rubi Ac Ek
23,3,prd,Maria Luisa Poot Ek,Lizbeth Liliana Cab Hu
23,3,pvem_pt_morena,Maricarmen Candelaria Hernandez Solis,Victoria Abigail Gomez Gomez
23,4,mas,Laura De Guadalupe Vazquez Paz,Ashanti Abigail Rios Ortiz
23,4,mc,Rubi Aurora Lora Sosa,Sonia Garcia Hernandez
23,4,pan_pri,Dancey Geisler Fernandez Loria,Victor Manuel Mendez Cime
23,4,prd,Humberto Horacio Lara Gonzalez,Paulino Humberto Lara Delfin
23,4,pvem_pt_morena,Teresa Atenea Gomez Ricalde,Rosa Elena Rios Fernandez
23,5,mc,Jose Francisco Puc Cen,Engel Evaney Rhaburn Cauich
23,5,morena,Erik Noe Borges Yam,Cesar Oswaldo Peralta Torres
23,5,prd,Jennifer Bernice Lizama Pech,Yarieli Alexandra Ku Balam
23,5,pvem,Luis Hernan Carrillo Gongora,David Mijail Flota Becerra
23,5,pan_pri, , 
23,6,mas,Reina Maria Dzib Pool,Rosa Guadalupe Baas Sulub
23,6,mc,Veronica Mex Yam,Elvira Pat Itza
23,6,pan_pri,Aurora Concepcion Pool Cauich,Anaremi Leticia Ang Martin
23,6,prd,Marco Zulaim Garcia Marquez,Oscar Hernan Ortiz Avila
23,6,pvem_pt_morena,Josue Nivardo Mena Villanueva,Russell Josse Chale Baas
23,7,cand_ind,Daniel Cruz Martinez,Celso Genaro Duque Briceño
23,7,mas,Christian Sharid Tapia Salvatierra,Hector Armando Tenorio Espinosa
23,7,mc,Lidia Esther Rojas Fabro,Laura Gabriela Souza Diaz
23,7,pan_pri,German De Francisco Gonzalez Gonzalez,Julia Perez Che
23,7,prd,Marcela Rojas Lopez,Mariana Tadeo Sanchez
23,7,pvem_pt_morena,Yensunni Idalia Martinez Hernandez,Alejandra Del Angel Carmona
23,8,mas,Pedro Lopez Villanueva,Jairo Guadalupe Mojica Garcia
23,8,mc,Sixto Fernando Cuevas Cetina,Carlos Manuel Vazquez Alvarez
23,8,pan_pri,Roxana Lili Campos Miranda,Kira Iris San
23,8,prd,Jazmin Marilu Treviño Aleman,Enedina Cruz Garcia
23,8,pvem_pt_morena,Angy Estefania Mercado Asencio,Diana Estefania Hernandez Flores
23,9,mc,Jorge Alberto Portilla Manica,Raul Rosique Gonzalez
23,9,pan_pri,Maria Magali Dzib Raigosa,Jennyfer Caamal May
23,9,prd,Claudia Carlota Macias Perez,Norma Antonia Olivares Cruz
23,9,pvem_pt_morena,Diego Castañon Trejo,Bernabe Antonio Miranda Miranda
23,10,mas,Manuel De Jesus Ciau Nahuat,Hector Meneses Gomez
23,10,mc,Maria Cristina Coronado Cruz,Xiomara Amayrani Morales Ack
23,10,pan_pri,Tania Lol-Be Casa Madrid Alfaro,Saidy Giselle Vargas Ac
23,10,prd,Angel Gabriel Pool Navarro,Alfredo Nicolas Tec Dzib
23,10,pvem_pt_morena,Jose Alfredo Contreras Mendez,Miguel Elias Abuxapqui Cruz
23,11,mc,Estefany Mirely Vargas Saucedo,Diany Romero De Dios
23,11,pan_pri,Maria Fernanda Alvear Palacios,Anna Cristina Zetina Azcorra
23,11,prd,Mayra Raquel Alanis Castro,Luz Maria Guzman Fernandez
23,11,pvem_pt_morena,Blanca Merari Tziu Muñoz,Mara Surlema Betancourt Pech
