sep=|
AYUNTAMIENTOS
10/06/2024 14:45 (UTC-5)
 
CLAVE_CASILLA|CLAVE_ACTA|ID_ENTIDAD|ENTIDAD|ID_MUNICIPIO_LOCAL|MUNICIPIO_LOCAL|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CAND_IND|C_PAN_PRI|C_PVEM_PT_MORENA|C_PVEM_PT|C_PVEM_MORENA|C_PT_MORENA|NO_REGISTRADAS|NULOS|TOTAL|LISTA_NOMINAL|OBSERVACIONES
="230004B0100"|230004B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0004"|1|B|0|1|2|28|12|4|75|8|34|208|7|-|3|26|0|0|0|1|8|414|716|COTEJADO EN PLENO
="230004C0100"|230004C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0004"|1|C|0|1|2|20|6|3|84|7|34|183|5|-|2|12|0|2|2|0|13|373|716|COTEJADO EN PLENO
="230004C0200"|230004C020002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0004"|2|C|0|1|2|19|6|1|93|10|24|185|5|-|0|11|0|2|1|2|11|370|715|COTEJADO EN PLENO
="230005B0100"|230005B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0005"|1|B|0|1|2|26|9|7|98|6|32|168|6|-|2|13|1|2|0|3|6|379|678|COTEJADO EN PLENO
="230005C0100"|230005C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0005"|1|C|0|1|2|25|7|6|86|10|18|162|11|-|1|12|1|4|0|0|14|357|678|COTEJADO EN PLENO
="230005C0200"|230005C020002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0005"|2|C|0|1|2|27|7|4|91|7|26|146|6|-|2|4|0|3|1|2|13|339|678|COTEJADO EN PLENO
="230005C0300"|230005C030002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0005"|3|C|0|1|2|32|12|4|83|9|27|154|1|-|0|5|0|3|4|0|12|346|678|COTEJADO EN PLENO
="230005C0400"|230005C040002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0005"|4|C|0|1|2|22|6|8|75|7|21|166|8|-|0|7|0|3|1|4|8|336|678|COTEJADO EN PLENO
="230005C0500"|230005C050002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0005"|5|C|0|1|2|29|7|3|86|7|24|125|6|-|1|3|0|3|1|1|11|307|678|COTEJADO EN PLENO
="230006B0100"|230006B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0006"|1|B|0|1|2|10|4|4|111|4|8|91|2|-|1|1|0|5|1|0|5|247|490|COTEJADO EN PLENO
="230006C0100"|230006C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0006"|1|C|0|1|2|11|7|2|92|1|11|97|1|-|1|7|2|0|0|0|7|239|489|COTEJADO EN PLENO
="230007B0100"|230007B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0007"|1|B|0|1|2|28|7|5|51|2|22|142|6|-|2|14|1|4|3|0|12|299|535|COTEJADO EN PLENO
="230007C0100"|230007C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0007"|1|C|0|1|2|16|4|4|52|12|33|135|5|-|0|11|0|4|0|2|5|283|535|COTEJADO EN PLENO
="230007C0200"|230007C020002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0007"|2|C|0|1|2|17|10|7|67|7|22|126|3|-|0|10|1|3|0|0|8|281|534|COTEJADO EN PLENO
="230008B0100"|230008B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0008"|1|B|0|1|2|8|9|0|54|4|17|114|1|-|0|9|0|2|0|1|9|228|463|COTEJADO EN PLENO
="230008C0100"|230008C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0008"|1|C|0|1|2|12|7|3|62|1|7|103|4|-|0|7|1|3|0|0|9|219|462|COTEJADO EN PLENO
="230009B0100"|230009B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0009"|1|B|0|1|2|19|18|5|92|4|27|190|6|-|2|11|2|2|2|1|17|398|736|COTEJADO EN PLENO
="230010B0100"|230010B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0010"|1|B|0|1|2|10|8|4|107|7|28|184|5|-|0|16|1|1|0|0|20|391|735|RECONTADO EN GRUPO DE TRABAJO
