ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
18,NAYARIT,1,ACAPONETA,86,117,2451,7891,3018,685,517,188,869,1255,10492,456,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29290,1357,30649,43197,0.7095
18,NAYARIT,2,TECUALA,73,97,3086,10418,2507,765,809,359,1351,2156,3304,502,,3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,28570,1434,30009,44128,0.68
18,NAYARIT,3,JESUS MARIA,47,91,12279,6577,868,316,597,167,1677,384,1737,553,,,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26510,1525,28040,41526,0.6752
18,NAYARIT,4,TUXPAN,73,97,4640,8045,4139,907,449,279,1723,621,1502,330,,,,7430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30065,1155,31240,46198,0.6762
18,NAYARIT,5,SANTIAGO IXCUINTLA,73,101,5609,8303,5950,1394,862,315,934,496,2376,270,,,,,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,27258,1167,28444,44968,0.6325
18,NAYARIT,6,TEPIC,52,92,6888,7117,1686,1079,862,189,1438,772,5241,453,,,,,,821,884,675,,,,,,,,,,,,,,,,,,,,,,,,,,,17,28105,1135,29257,45495,0.6431
18,NAYARIT,7,TEPIC,44,86,5698,4632,1431,709,864,158,1482,932,4176,483,,,,,,,,,2232,453,1415,,,,,,,,,,,,,,,,,,,,,,,,17,24665,867,25549,47096,0.5425
18,NAYARIT,8,TEPIC,53,87,6728,5648,1978,1146,753,208,1343,687,5387,364,,,,,,,,,,,,2545,751,,,,,,,,,,,,,,,,,,,,,,19,27538,815,28372,47049,0.603
18,NAYARIT,9,TEPIC,48,84,5558,4643,1685,799,518,161,1129,1402,5232,472,,,,,,,,,,,,,,4579,575,1039,,,,,,,,,,,,,,,,,,,30,27792,969,28791,47545,0.6056
18,NAYARIT,10,SAN BLAS,62,86,4561,5635,808,514,1360,202,1605,1929,2190,344,,,,,,,,,,,,,,,,,285,3482,,,,,,,,,,,,,,,,,5,22915,1436,24356,38066,0.6398
18,NAYARIT,11,TEPIC,49,89,8816,5538,1602,890,811,205,3236,771,4927,758,,,,,,,,,,,,,,,,,,,784,1384,536,822,314,,,,,,,,,,,,25,31394,932,32351,48616,0.6654
18,NAYARIT,12,TEPIC,48,84,7210,5395,1542,918,581,162,1784,919,4759,511,,,,,,,,,,,,,,,,,,,,,,,,1403,1173,1129,,,,,,,,,14,27486,854,28354,46128,0.6147
18,NAYARIT,13,SANTA MARIA DEL ORO,64,98,7490,12118,947,1236,706,126,2875,1465,3095,156,,,,,,,,,,,,,,,,,,,,,,,,,,,640,,,,,,,,3,30854,1561,32418,44264,0.7324
18,NAYARIT,14,XALISCO,26,79,8374,5528,895,530,817,117,1388,891,5815,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515,1015,,,,,,18,27393,957,28368,46624,0.6084
18,NAYARIT,15,COMPOSTELA,58,96,6839,6340,542,868,638,391,3779,449,3194,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643,,,,,19,25095,1148,26262,45138,0.5818
18,NAYARIT,16,IXTLAN DEL RIO,63,92,6181,7533,1117,3640,610,173,4234,435,1103,1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987,,,,8,27055,1247,28310,41354,0.6846
18,NAYARIT,17,BUCERIAS,25,77,8212,7002,738,1113,681,177,2736,337,1180,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,2799,,2,25873,1096,26971,48227,0.5593
18,NAYARIT,18,MEZCALES,9,71,4490,6082,968,846,382,399,3428,615,1749,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459,46,20775,858,21679,48491,0.4471
