CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,12,B,24,94,36,2,8,3,15,8,223,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,447,16,463,632,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,13,B,23,52,48,0,14,1,8,11,205,7,2,0,0,0,0,2,0,0,1,0,0,0,1,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,386,9,395,567,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,13,SMR01,11,19,16,2,10,0,3,4,71,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,149,13,162,0,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,14,B,11,35,26,4,5,2,3,2,80,2,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,184,5,189,245,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,15,B,13,55,37,2,7,3,8,14,149,7,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,304,12,316,426,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,B,22,59,42,2,4,1,8,14,134,17,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,317,2,319,472,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,C01,22,43,39,2,3,0,11,11,149,13,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,312,5,317,471,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,B,6,41,24,2,5,0,10,7,136,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,246,6,252,396,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,C01,9,48,33,3,2,0,9,9,124,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,248,13,261,395,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,B,10,54,37,3,2,0,5,12,119,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,258,13,271,397,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,C01,9,45,35,2,3,1,5,11,16,17,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,155,11,166,396,,,,
