CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,CP,MC,NA,MORENA,ES,PAN_MC,PRI_NA,PRI_NA_CP,PRI_PVEM_NA,PRI_PVEM_CP,PRI_CP,PRI_PVEM,PRI_PVEM_NA_CP,PVEM_NA,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,867,2,,,105,5,12,,,,145,18,513,,66,,,,,,,,,,,2,1,0,1,,,,,,,,,,,,,868,0,19,887,1310
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,868,3,,,55,7,18,,,,128,13,693,,165,,,,,,,,,,,1,0,0,1,,,,,,,,,,,,,1081,0,17,1098,1365
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,869,2,,,65,13,12,,,,89,6,523,,48,,,,,,,,,,,4,0,0,1,,,,,,,,,,,,,761,0,7,768,960
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,870,3,,,114,33,95,,,,83,7,625,,75,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,1033,2,19,1054,1522
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,871,2,,,161,21,28,,,,122,7,432,,62,,,,,,,,,,,0,2,0,1,,,,,,,,,,,,,836,5,22,863,1219
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,872,2,,,122,12,20,,,,102,5,212,,40,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,517,0,13,530,888
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,873,1,,,35,0,0,,,,29,3,69,,15,,,,,,,,,,,2,1,0,0,,,,,,,,,,,,,154,0,8,162,324
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,874,1,,,95,14,4,,,,59,1,104,,31,,,,,,,,,,,2,1,0,1,,,,,,,,,,,,,312,0,13,325,569
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,875,1,,,175,6,11,,,,83,5,167,,32,,,,,,,,,,,2,2,0,0,,,,,,,,,,,,,483,1,11,495,728
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,876,2,,,130,15,21,,,,95,11,207,,40,,,,,,,,,,,2,1,0,0,,,,,,,,,,,,,522,0,13,535,835
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,877,2,,,227,17,19,,,,174,13,413,,82,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,947,4,38,989,1435
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,878,2,,,143,16,14,,,,92,8,248,,67,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,592,2,19,613,987
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,879,2,,,200,13,13,,,,83,6,219,,35,,,,,,,,,,,5,7,3,1,,,,,,,,,,,,,585,1,17,603,876
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,880,1,,,106,2,6,,,,57,4,90,,18,,,,,,,,,,,1,0,0,1,,,,,,,,,,,,,285,0,8,293,545
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,881,1,,,49,7,9,,,,61,2,129,,18,,,,,,,,,,,3,1,0,1,,,,,,,,,,,,,280,0,6,286,527
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,882,1,,,55,5,6,,,,52,3,113,,14,,,,,,,,,,,1,1,0,0,,,,,,,,,,,,,250,0,7,257,429
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,883,2,,,52,8,5,,,,67,3,569,,57,,,,,,,,,,,4,0,0,0,,,,,,,,,,,,,765,1,8,774,999
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,884,2,,,49,7,16,,,,97,6,771,,56,,,,,,,,,,,2,3,0,0,,,,,,,,,,,,,1007,2,6,1015,1346
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,885,3,,,91,18,13,,,,119,8,1058,,83,,,,,,,,,,,2,1,0,0,,,,,,,,,,,,,1393,0,12,1405,1887
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,886,2,,,58,7,16,,,,84,7,626,,60,,,,,,,,,,,4,2,0,0,,,,,,,,,,,,,864,0,10,874,1261
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,887,2,,,25,2,6,,,,46,5,433,,35,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,552,0,4,556,771
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,888,2,,,117,4,20,,,,46,5,413,,70,,,,,,,,,,,67,0,0,0,,,,,,,,,,,,,742,0,26,768,1125
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,889,2,,,43,9,14,,,,83,3,369,,47,,,,,,,,,,,1,0,0,1,,,,,,,,,,,,,570,1,0,571,804
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,890,2,,,61,9,22,,,,96,5,629,,42,,,,,,,,,,,1,1,0,1,,,,,,,,,,,,,867,1,13,881,1238
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,891,1,,,50,2,10,,,,2,6,272,,29,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,372,2,4,378,626
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,892,1,,,25,2,2,,,,18,0,88,,4,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,140,0,5,145,213
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,893,1,,,45,6,4,,,,35,0,88,,13,,,,,,,,,,,2,2,0,1,,,,,,,,,,,,,196,0,3,199,288
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,894,1,,,18,3,0,,,,18,2,48,,8,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,97,0,0,97,176
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,895,1,,,75,2,7,,,,36,4,87,,18,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,230,0,9,239,447
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,896,2,,,176,4,15,,,,90,8,208,,62,,,,,,,,,,,3,2,0,2,,,,,,,,,,,,,570,1,17,588,873
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,897,2,,,132,5,15,,,,84,8,224,,32,,,,,,,,,,,2,2,0,0,,,,,,,,,,,,,504,2,19,525,815
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,898,2,,,163,13,15,,,,114,2,260,,52,,,,,,,,,,,3,3,0,2,,,,,,,,,,,,,627,1,10,638,933
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,899,1,,,98,7,7,,,,48,4,120,,23,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,307,0,8,315,480
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,900,1,,,93,5,8,,,,58,5,121,,26,,,,,,,,,,,1,2,0,0,,,,,,,,,,,,,319,1,7,327,537
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,901,2,,,161,8,12,,,,80,10,199,,53,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,524,0,12,536,861
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,902,1,,,62,11,11,,,,79,6,196,,28,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,394,2,7,403,631
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,903,1,,,55,4,11,,,,66,7,256,,48,,,,,,,,,,,4,0,0,1,,,,,,,,,,,,,452,1,11,464,706
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,904,2,,,75,8,22,,,,115,11,348,,54,,,,,,,,,,,3,2,0,0,,,,,,,,,,,,,638,0,18,656,967
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,905,1,,,37,9,6,,,,49,3,238,,24,,,,,,,,,,,2,0,0,3,,,,,,,,,,,,,371,0,9,380,525
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,906,2,,,113,21,22,,,,140,8,569,,77,,,,,,,,,,,1,5,0,2,,,,,,,,,,,,,958,1,15,974,1314
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,907,3,,,90,23,20,,,,156,11,655,,86,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,1045,0,22,1067,1501
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,908,2,,,43,12,14,,,,60,7,388,,37,,,,,,,,,,,0,1,0,0,,,,,,,,,,,,,562,0,15,577,778
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,909,1,,,24,17,1,,,,43,2,276,,45,,,,,,,,,,,2,1,0,0,,,,,,,,,,,,,411,0,11,422,588
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,910,2,,,48,11,6,,,,64,6,669,,31,,,,,,,,,,,0,1,0,0,,,,,,,,,,,,,836,0,7,843,1179
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,911,1,,,29,10,10,,,,29,5,369,,25,,,,,,,,,,,0,1,2,2,,,,,,,,,,,,,482,0,6,488,629
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,912,2,,,38,5,15,,,,62,8,428,,46,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,602,0,7,609,826
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,913,2,,,41,14,13,,,,89,6,790,,69,,,,,,,,,,,0,2,0,0,,,,,,,,,,,,,1024,1,14,1039,1419
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,914,2,,,37,7,10,,,,81,8,773,,58,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,976,0,6,982,1262
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,915,2,,,47,11,19,,,,58,6,578,,44,,,,,,,,,,,0,24,1,1,,,,,,,,,,,,,789,1,8,798,1049
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,916,2,,,72,74,26,,,,59,13,472,,82,,,,,,,,,,,4,0,0,0,,,,,,,,,,,,,802,0,13,815,1105
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,917,1,,,41,11,11,,,,54,1,215,,29,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,363,0,6,369,526
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,918,1,,,43,12,6,,,,56,3,231,,27,,,,,,,,,,,5,1,0,1,,,,,,,,,,,,,385,1,6,392,574
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,919,1,,,89,8,11,,,,68,4,185,,29,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,394,0,20,414,653
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,920,2,,,131,12,6,,,,74,3,271,,44,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,545,0,13,558,837
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,921,3,,,251,8,19,,,,155,13,444,,100,,,,,,,,,,,3,0,0,2,,,,,,,,,,,,,995,1,19,1015,1550
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,922,3,,,190,22,23,,,,224,15,387,,108,,,,,,,,,,,3,1,0,2,,,,,,,,,,,,,975,2,25,1002,1669
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,923,1,,,33,4,1,,,,47,4,78,,20,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,188,0,6,194,296
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,924,4,,,196,17,17,,,,187,9,355,,55,,,,,,,,,,,4,0,0,2,,,,,,,,,,,,,842,0,9,851,1147
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,925,1,,,128,4,17,,,,79,7,175,,52,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,462,0,11,473,734
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,926,2,,,138,14,17,,,,118,8,239,,56,,,,,,,,,,,7,6,0,0,,,,,,,,,,,,,603,1,13,617,1049
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,927,2,,,105,16,6,,,,88,9,215,,46,,,,,,,,,,,5,1,0,2,,,,,,,,,,,,,493,0,15,508,825
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,928,1,,,62,6,4,,,,57,1,160,,18,,,,,,,,,,,1,1,0,0,,,,,,,,,,,,,310,0,7,317,465
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,929,2,,,50,9,8,,,,65,5,983,,59,,,,,,,,,,,0,1,0,1,,,,,,,,,,,,,1181,0,5,1186,1489
,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,930,1,,,30,6,7,,,,35,8,376,,35,,,,,,,,,,,1,0,0,1,,,,,,,,,,,,,499,0,2,501,644
