"","section","uniqueid","year","mun","state","Validation"
"1",1410,7091,2015,"TAPILULA EXTRAORDINARIO","CHIAPAS",1
"2",1409,7091,2015,"TAPILULA EXTRAORDINARIO","CHIAPAS",1
"3",1408,7091,2015,"TAPILULA EXTRAORDINARIO","CHIAPAS",1
"4",1406,7091,2015,"TAPILULA EXTRAORDINARIO","CHIAPAS",1
"5",1407,7091,2015,"TAPILULA EXTRAORDINARIO","CHIAPAS",1
"6",261,8015,2013,"COYAME DEL SOTOL EXTRAORDINARIO","CHIHUAHUA",1
"7",263,8015,2013,"COYAME DEL SOTOL EXTRAORDINARIO","CHIHUAHUA",1
"8",264,8015,2013,"COYAME DEL SOTOL EXTRAORDINARIO","CHIHUAHUA",1
"9",265,8015,2013,"COYAME DEL SOTOL EXTRAORDINARIO","CHIHUAHUA",1
"10",813,13045,2016,"Omitlán De Juárez","HIDALGO",1
"11",814,13045,2016,"Omitlán De Juárez","HIDALGO",1
"12",812,13045,2016,"Omitlán De Juárez","HIDALGO",1
"13",819,13045,2016,"Omitlán De Juárez","HIDALGO",1
"14",816,13045,2016,"Omitlán De Juárez","HIDALGO",1
"15",817,13045,2016,"Omitlán De Juárez","HIDALGO",1
"16",821,13045,2016,"Omitlán De Juárez","HIDALGO",1
"17",818,13045,2016,"Omitlán De Juárez","HIDALGO",1
"18",815,13045,2016,"Omitlán De Juárez","HIDALGO",1
"19",820,13045,2016,"Omitlán De Juárez","HIDALGO",1
"20",541,14079,2009,"GOMEZ FARIAS","JALISCO",1
"21",542,14079,2009,"GOMEZ FARIAS","JALISCO",1
"22",543,14079,2009,"GOMEZ FARIAS","JALISCO",1
"23",544,14079,2009,"GOMEZ FARIAS","JALISCO",1
"24",545,14079,2009,"GOMEZ FARIAS","JALISCO",1
"25",546,14079,2009,"GOMEZ FARIAS","JALISCO",1
"26",547,14079,2009,"GOMEZ FARIAS","JALISCO",1
"27",548,14079,2009,"GOMEZ FARIAS","JALISCO",1
