Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
24,B1,26,6,1,3,76,198,37,0,0,0,29,5,0,1,1,0,0,1,0,1,0,0,0,0,14,399,676
24,C1,47,3,2,2,49,214,50,0,2,0,42,1,4,0,0,0,0,0,2,0,0,0,0,0,12,430,676
24,C2,34,2,4,4,72,203,32,1,2,0,52,4,1,1,0,0,0,0,1,0,0,0,0,0,19,432,676
25,B1,30,7,3,0,66,176,25,0,0,0,45,3,2,0,1,0,0,0,0,0,0,0,0,0,7,365,527
25,C1,34,7,2,0,71,178,18,1,0,0,30,2,1,0,1,0,0,1,1,0,0,0,0,0,11,358,526
26,B1,40,3,1,2,85,250,31,0,1,0,73,0,0,5,0,0,0,0,0,0,0,0,0,0,10,501,748
26,C1,50,7,3,0,67,206,31,1,1,0,71,0,6,0,0,0,0,0,0,0,0,0,0,0,19,462,747
26,C2,24,8,0,0,65,224,39,1,0,0,87,8,0,0,0,0,0,1,0,0,0,0,0,0,9,466,747
26,C3,30,4,1,0,60,216,30,2,1,0,86,2,14,0,0,0,0,0,0,0,0,0,0,0,24,470,747
27,B1,38,11,5,2,60,220,26,1,0,0,38,1,2,0,0,0,0,0,0,0,0,0,0,0,10,414,632
27,C1,19,6,1,2,74,231,19,0,1,0,40,2,2,0,0,1,0,0,0,1,0,0,0,0,18,417,631
28,B1,35,5,1,1,65,173,41,0,5,0,40,1,2,2,1,0,0,0,0,0,0,0,0,0,15,387,592
28,C1,28,8,5,0,78,185,28,0,1,1,43,2,0,4,0,0,0,1,0,0,0,0,0,0,11,395,591
29,B1,22,2,1,0,65,187,26,0,0,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,15,378,619
29,C1,33,4,1,0,63,175,40,0,2,0,54,0,2,0,1,0,0,0,0,0,0,0,0,0,7,382,618
29,C2,18,5,0,2,53,168,46,0,1,0,57,4,4,0,0,0,0,0,0,0,0,0,0,0,18,376,618
29,C3,15,3,1,0,71,216,29,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,12,393,618
30,B1,30,2,1,0,53,182,16,0,0,0,20,0,0,3,0,0,0,1,0,0,0,0,0,0,14,322,520
30,C1,28,5,2,1,64,154,26,0,0,0,46,6,2,2,0,0,0,1,0,0,0,0,0,0,16,353,519
30,C2,18,1,1,3,61,180,19,0,0,0,33,4,1,2,0,0,0,0,0,0,0,0,0,0,13,336,519
31,B1,30,5,2,0,61,258,53,1,0,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,20,460,715
31,C1,25,8,1,0,66,266,48,0,1,0,44,3,1,0,0,0,0,0,0,0,0,0,0,0,23,486,715
31,C2,61,5,3,2,51,257,30,0,0,0,30,7,3,0,0,0,0,0,0,0,0,0,0,0,19,468,714
32,B1,26,3,3,2,68,188,45,0,0,0,41,3,0,1,0,0,0,0,1,0,0,0,0,0,13,394,635
32,C1,27,3,3,2,68,189,47,0,0,0,41,2,0,1,0,0,0,0,0,0,0,0,0,0,11,394,635
33,B1,14,5,2,0,122,189,38,1,6,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,12,418,612
33,C1,6,1,0,3,93,228,43,1,2,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,14,412,611
33,C2,5,3,2,5,132,197,39,0,2,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,17,425,611
34,B1,6,2,1,1,39,83,31,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,189,278
35,B1,39,5,4,6,36,203,85,1,0,0,49,8,1,0,0,0,0,0,0,0,0,0,0,0,14,451,699
35,C1,36,5,7,2,31,227,78,0,1,1,34,5,4,0,0,0,0,0,0,0,0,0,0,0,16,447,699
36,B1,12,12,5,2,40,217,76,0,1,0,45,8,2,0,0,0,0,0,0,0,0,0,0,0,9,429,645
36,C1,14,1,2,1,49,234,57,1,0,0,36,4,1,0,0,0,0,0,0,0,0,0,0,0,19,419,645
37,B1,21,3,2,1,18,253,57,0,1,0,24,4,1,0,0,0,0,0,0,0,0,0,0,0,8,393,630
37,C1,22,3,3,4,17,248,65,0,1,0,26,5,2,0,0,0,0,0,0,0,0,0,0,0,16,412,629
38,B1,14,7,1,3,50,174,54,0,1,0,37,3,1,2,0,0,0,0,0,0,0,1,0,0,2,350,653
38,C1,17,10,2,3,54,170,64,0,0,0,29,4,0,0,0,0,0,0,0,0,0,0,0,0,22,375,653
38,C2,20,9,3,0,61,163,0,1,2,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,298,652
39,B1,35,11,7,0,75,148,49,1,2,0,38,0,5,0,0,0,0,0,0,0,0,0,0,0,0,371,644
39,C1,36,23,3,4,40,178,37,1,1,0,33,4,0,3,0,0,0,0,0,1,0,0,0,0,14,378,643
40,B1,10,8,1,1,55,181,39,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,4,322,496
40,C1,8,0,1,3,50,188,50,1,1,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,7,327,495
41,B1,10,4,1,2,38,203,38,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,11,325,504
41,C1,10,1,1,3,43,229,53,1,1,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,13,371,504
42,B1,8,3,0,0,89,97,46,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,367
43,B1,0,0,0,1,81,84,70,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,253,411
43,C1,7,0,0,2,89,78,44,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,244,410
Totales,,1118,239,96,75,2934,9066,1945,18,41,4,1755,120,67,27,5,1,0,6,5,3,0,1,0,0,576,18102,28452
