Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
799,B1,9,6,3,4,199,20,58,27,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,343,732
799,C1,6,2,3,3,189,14,68,21,3,1,3,2,1,2,0,0,0,1,0,0,0,0,1,2,10,0,0,0,0,4,0,0,0,0,0,0,26,362,731
799,C2,4,6,3,5,193,18,65,23,2,1,7,2,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,2,1,0,0,0,0,0,19,361,731
799,C3,4,4,6,5,188,6,51,21,4,1,4,5,0,2,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,2,0,1,0,1,0,0,18,335,731
799,C4,9,8,6,6,181,16,69,24,1,2,3,3,0,0,0,0,0,1,1,0,0,0,0,0,8,0,2,0,0,1,0,0,0,0,1,0,13,355,731
800,B1,6,8,8,5,229,9,47,41,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,3,0,0,0,0,0,0,16,387,638
800,C1,8,5,3,6,191,9,77,38,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,5,1,0,0,0,0,0,10,369,638
800,C2,2,3,3,4,234,12,49,22,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,18,364,637
801,B1,14,7,3,6,184,20,44,18,2,2,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,0,0,0,0,0,8,323,552
801,C1,16,9,2,9,166,18,42,17,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,10,304,551
801,C2,17,8,5,8,200,9,46,20,0,1,3,8,0,2,0,0,0,1,0,0,0,0,0,2,5,1,0,1,0,1,0,1,0,0,0,0,11,350,551
801,E1,16,4,4,12,182,10,73,30,8,1,7,2,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0,2,0,0,0,0,0,0,19,378,657
802,B1,12,6,3,2,140,23,58,37,7,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,7,322,563
802,C1,21,2,1,8,165,16,65,32,2,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,329,563
802,C2,17,9,4,2,142,18,69,25,2,1,1,1,0,4,0,0,0,0,0,0,0,0,0,2,10,2,0,0,0,1,0,0,0,0,0,0,11,321,563
802,C3,15,3,3,6,152,17,73,34,4,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,1,0,0,0,0,0,22,347,563
803,B1,24,18,9,4,227,23,68,45,3,11,7,3,2,3,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,2,0,0,0,0,0,0,21,480,714
803,C1,23,16,5,7,199,13,77,60,5,7,3,3,0,2,0,0,0,1,0,0,0,0,0,1,12,0,1,0,1,7,3,0,1,1,0,0,13,461,714
804,B1,15,10,2,6,163,9,35,29,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,4,0,0,0,0,0,1,18,309,502
804,C1,11,11,7,6,171,15,39,26,2,3,3,5,1,1,1,0,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,0,1,0,0,0,6,318,501
804,C2,10,7,5,1,162,11,60,34,4,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,0,0,0,0,0,6,320,501
805,B1,11,6,5,6,271,16,57,41,8,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,9,449,703
805,C1,17,4,2,5,262,13,56,42,9,4,6,3,1,2,0,0,0,0,0,0,0,0,0,1,11,0,1,1,0,4,0,0,0,0,0,0,7,451,703
806,B1,14,8,4,3,152,22,74,33,3,9,3,3,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10,354,526
806,C1,15,15,1,5,173,20,66,32,4,6,5,1,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,363,526
807,B1,5,4,2,4,99,11,71,21,1,6,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,11,258,408
807,C1,8,3,2,3,112,12,59,28,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,2,0,0,1,0,0,0,5,253,408
