Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
188,B1,87,14,7,19,16,40,140,5,2,7,7,3,4,4,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,2,20,385,673
188,C1,83,17,15,19,13,50,141,9,4,4,3,4,0,4,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,16,390,672
188,C2,90,11,9,19,13,54,144,5,2,1,7,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,388,672
188,C3,75,10,5,22,17,56,131,9,5,7,6,3,0,6,2,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,17,376,672
188,C4,96,23,4,20,11,44,139,10,5,3,7,5,6,4,0,0,0,1,0,0,1,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,9,395,672
188,C5,80,21,5,22,12,36,128,12,3,1,5,6,3,6,0,0,0,0,2,0,0,0,0,1,3,0,0,1,0,2,0,0,0,0,0,0,16,365,672
189,B1,74,22,8,7,6,37,109,6,0,4,6,4,2,3,1,0,0,4,0,0,0,0,0,1,4,1,0,2,0,1,0,0,1,0,0,0,14,317,574
189,C1,88,19,5,14,9,40,137,4,2,3,5,1,2,2,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,3,0,0,0,0,0,0,20,359,573
189,C2,72,17,4,19,7,47,140,8,2,3,4,1,6,6,0,0,0,4,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,23,371,573
190,B1,89,17,10,18,13,40,141,5,1,1,4,5,5,4,0,0,0,2,0,0,0,0,0,0,5,3,2,0,0,1,0,0,0,0,0,0,18,384,649
190,C1,93,24,7,12,8,49,159,5,2,0,5,6,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,404,649
190,C2,75,19,2,17,7,42,143,6,2,3,6,3,4,4,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,23,366,649
190,C3,98,9,8,9,14,44,157,6,1,1,6,2,3,3,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,20,388,649
190,C4,96,19,8,9,18,30,149,9,0,3,1,2,4,5,1,0,0,2,0,0,0,0,0,0,6,0,2,0,0,1,2,0,0,0,0,0,25,392,648
191,B1,103,27,11,22,4,56,176,7,1,5,11,5,2,4,0,0,0,2,0,0,0,0,0,1,6,1,0,0,0,3,1,1,0,0,0,0,26,475,714
191,C1,99,22,11,10,5,42,153,8,2,4,2,2,1,9,1,0,1,0,0,0,0,0,0,1,5,1,2,0,0,0,1,0,0,0,0,0,15,397,713
