Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
695,B1,7,3,6,85,34,290,57,9,24,24,0,2,1,0,0,0,0,2,1,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,5,557,713
695,C1,6,4,4,57,29,286,51,11,31,15,1,5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,9,517,713
695,C2,4,4,4,62,28,286,76,6,45,21,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,1,1,0,1,2,0,13,565,712
695,C3,10,1,3,46,32,311,63,7,54,13,1,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,4,1,0,0,0,0,9,565,712
696,B1,7,3,2,58,16,249,39,4,14,20,0,2,0,1,0,0,0,1,0,0,0,0,0,4,2,1,1,1,0,0,2,1,1,2,0,13,444,604
696,C1,8,5,4,50,27,236,62,5,25,15,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,1,0,0,0,0,12,461,603
696,C2,10,3,4,53,20,219,48,8,29,12,0,4,0,1,0,0,0,0,2,0,0,0,0,10,1,0,0,0,1,1,0,0,0,0,0,10,436,603
696,C3,5,1,2,38,17,278,47,6,31,12,2,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,8,457,603
697,B1,9,3,2,95,24,268,30,7,41,22,0,4,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,1,1,0,0,0,0,10,525,686
697,C1,12,7,5,73,46,237,42,1,24,18,0,5,2,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,3,483,686
697,C2,18,4,1,82,63,254,42,8,26,14,0,4,2,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,7,532,685
697,C3,12,6,1,73,61,258,39,8,29,16,2,0,1,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,9,522,685
697,C4,8,1,3,89,40,276,30,6,21,21,1,1,0,0,0,1,0,1,0,0,0,0,0,5,1,0,1,0,0,2,0,1,0,0,0,5,514,685
697,C5,33,4,2,77,40,243,48,7,28,22,0,3,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,4,519,685
698,B1,15,6,3,105,44,196,50,13,17,28,0,5,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,14,504,691
698,C1,12,6,0,93,34,166,45,22,34,44,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,2,0,2,0,17,486,690
Totales,,176,61,46,1136,555,4053,769,128,473,317,8,43,11,9,0,2,0,8,3,0,0,0,0,70,7,3,8,3,9,17,7,5,3,9,0,148,8087,10756
