Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
760,B1,5,5,0,2,22,212,213,9,102,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,588,715
760,C1,3,3,0,1,25,184,260,12,97,3,1,2,0,1,0,0,0,0,0,0,1,0,0,0,5,598,714
761,B1,7,1,1,1,31,189,156,10,95,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,8,511,634
761,C1,5,3,1,7,16,196,166,17,77,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,499,634
761,C2,2,4,0,2,35,178,200,12,72,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,536,634
761,C3,2,3,0,2,30,193,167,18,80,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,518,633
762,B1,1,5,1,0,30,187,114,17,104,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,478,621
762,C1,0,1,0,1,30,171,123,17,101,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,471,621
762,C2,0,0,2,0,19,189,107,8,137,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,493,620
763,B1,2,1,1,1,23,187,171,15,78,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,497,621
763,C1,1,2,0,3,16,184,157,14,106,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,506,621
764,B1,2,2,0,0,45,143,110,52,93,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,464,582
764,C1,2,1,0,2,47,142,114,34,116,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,475,582
765,B1,0,1,1,5,33,108,40,66,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,307,401
765,C1,1,1,0,3,17,101,48,54,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,288,401
766,B1,7,0,0,2,15,82,51,195,72,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,34,464,629
766,C1,2,0,0,4,11,79,59,171,114,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,458,629
766,C2,2,2,1,1,5,113,53,178,85,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,453,628
767,B1,4,1,3,12,63,104,125,30,55,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,420,650
767,C1,4,6,0,3,72,82,137,9,80,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,417,650
767,C2,9,3,1,5,61,131,103,25,73,20,3,1,0,1,0,0,0,0,0,0,0,0,0,0,17,453,649
768,B1,4,6,0,4,8,113,116,37,63,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,369,599
768,C1,4,3,0,4,12,135,101,23,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,377,599
768,C2,4,5,1,7,11,130,114,40,43,6,3,0,0,0,0,0,0,2,0,0,0,0,0,0,11,377,599
768,C3,4,3,1,4,18,98,127,24,76,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,372,598
Totales,,77,62,14,76,695,3631,3132,1087,2060,170,18,16,4,2,0,0,0,2,0,0,1,0,0,1,341,11389,15264
