Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
12,B1,171,3,1,190,14,31,55,4,2,0,0,5,9,4,3,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,498,713
12,C1,159,3,4,219,15,28,50,3,3,0,0,8,3,8,0,3,0,2,3,0,0,0,0,4,0,1,0,0,1,2,0,0,3,0,0,9,531,712
12,C2,179,12,2,176,6,25,35,2,0,0,0,13,6,7,2,0,1,3,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,18,494,712
12,C3,167,11,6,185,10,38,45,4,0,1,0,10,14,5,1,1,0,0,0,2,3,0,1,5,0,0,0,0,0,1,0,0,0,0,0,7,517,712
13,B1,186,14,2,185,11,31,64,2,1,2,0,10,8,7,2,0,0,1,0,1,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0,5,540,672
13,C1,172,13,3,189,11,29,43,3,1,0,0,10,5,5,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,4,497,672
13,C2,200,10,1,176,11,42,41,1,1,0,0,5,9,6,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,518,671
14,B1,242,13,2,192,10,25,43,3,8,0,0,8,0,6,7,0,0,2,4,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,8,578,740
14,C1,209,8,6,207,7,18,37,2,2,2,0,4,10,4,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,12,536,740
15,B1,173,10,2,134,6,22,33,1,2,0,0,10,12,3,1,0,0,2,0,0,0,0,0,3,0,0,2,0,1,3,0,0,0,0,0,13,433,587
15,C1,185,9,3,135,2,22,19,0,0,0,0,3,7,2,2,0,0,3,1,1,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,10,410,586
15,C2,167,8,4,142,13,26,27,3,1,1,0,2,7,7,1,0,0,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11,427,586
15,E1,20,2,2,83,0,19,42,43,0,1,0,19,3,2,1,0,0,1,0,2,0,0,0,10,0,1,0,0,8,2,0,0,0,0,0,11,272,444
15,E1 C1,15,7,0,69,5,11,45,47,1,0,0,8,0,0,0,0,0,2,0,1,1,0,0,22,2,0,0,1,8,0,0,0,1,0,0,18,264,444
16,B1,48,1,1,106,5,11,74,1,3,13,1,7,0,5,0,0,0,0,1,2,0,0,0,0,5,0,0,3,3,2,0,0,1,0,0,0,293,444
16,C1,33,0,2,137,3,17,69,3,4,15,1,4,1,2,1,0,0,2,1,2,0,0,0,9,2,0,0,1,3,0,2,0,0,0,0,9,323,443
17,B1,148,7,1,154,4,12,86,5,2,0,0,3,0,6,3,0,0,3,1,0,0,0,0,4,0,0,0,0,1,1,1,0,0,0,0,24,466,603
17,C1,116,16,0,148,7,20,83,2,0,4,0,11,2,1,1,0,0,2,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,15,434,603
17,C2,120,3,1,114,7,18,111,4,3,0,0,18,9,1,0,0,0,1,1,2,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,10,428,602
18,B1,212,12,0,89,7,30,80,6,0,1,0,14,7,5,1,1,0,4,1,2,0,1,0,4,0,0,1,0,1,0,0,1,0,0,0,11,491,700
18,C1,176,15,1,134,9,13,71,6,0,1,2,5,9,10,0,0,0,5,2,2,0,0,0,6,0,1,0,0,4,0,1,0,0,0,0,20,493,700
20,B1,199,25,5,114,7,14,87,6,15,4,0,3,4,6,0,0,0,1,1,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,1,8,506,726
21,B1,208,24,6,68,2,16,49,7,10,1,0,0,5,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,420,587
22,B1,138,13,2,48,0,12,36,8,5,1,0,0,0,7,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,278,407
22,C1,138,21,1,30,1,8,31,6,8,0,1,2,0,7,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,261,406
23,B1,161,20,6,46,3,8,46,2,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,313,412
962,B1,129,9,1,137,8,26,32,2,3,4,2,2,3,3,1,0,0,0,3,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,14,385,578
962,C1,97,9,3,141,3,27,54,1,1,0,1,5,2,4,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,13,368,578
962,C2,102,8,2,153,6,23,42,1,5,3,0,3,7,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,21,390,577
963,B1,73,5,1,187,16,12,33,0,0,2,0,1,7,3,0,0,0,4,0,1,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,10,362,549
963,C1,84,4,5,158,13,21,43,2,0,2,1,3,6,3,0,0,0,5,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,11,366,548
963,C2,102,2,0,167,12,12,41,3,3,1,0,5,3,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,375,548
964,B1,48,4,1,188,14,35,107,1,5,1,0,0,8,0,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,1,2,1,0,23,447,697
964,C1,48,7,2,221,5,20,111,6,5,0,1,4,0,2,1,0,0,1,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,26,470,696
Totales,,4625,328,79,4822,253,722,1865,190,98,60,10,207,172,148,34,5,1,63,32,24,5,3,1,126,15,12,3,6,43,19,8,3,8,1,5,388,14384,20395
