Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
555,B1,2,3,0,2,2,162,232,3,0,0,9,3,0,1,0,0,0,0,0,0,0,0,0,4,0,9,432,627
555,C1,6,7,1,0,2,149,244,3,0,0,22,2,1,0,0,0,0,0,0,0,0,0,0,8,0,14,459,627
555,E1,0,1,0,0,0,99,64,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,186,244
556,B1,1,5,2,3,3,150,219,1,0,0,12,8,0,0,0,0,0,0,1,0,0,0,0,12,0,11,428,603
556,C1,2,9,1,1,3,131,236,4,0,0,19,5,1,0,0,0,0,0,0,0,0,0,0,11,0,15,438,602
557,B1,2,3,3,3,0,122,240,3,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,11,0,14,416,564
557,C1,5,1,1,1,0,112,254,2,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,4,0,12,406,564
557,C2,2,3,0,2,0,99,279,0,0,0,11,1,0,1,0,1,0,0,0,0,0,0,0,7,0,9,415,564
557,C3,0,1,0,1,2,89,268,1,0,1,13,3,0,0,0,0,0,0,0,0,0,0,0,8,0,8,395,563
558,B1,2,2,1,0,1,137,188,2,0,0,26,4,0,1,0,0,0,0,0,0,0,0,0,9,0,7,380,529
558,C1,3,1,0,1,0,156,191,3,0,0,20,4,0,0,0,0,0,0,0,0,1,0,0,10,0,9,399,528
558,C2,4,5,0,4,2,133,182,2,0,0,17,2,0,1,0,0,0,0,0,0,0,0,0,12,0,0,364,528
559,B1,1,9,8,0,0,159,271,9,1,0,8,16,2,0,0,0,1,0,0,0,0,0,0,13,1,11,510,690
560,B1,0,0,2,1,2,125,268,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,5,0,11,423,590
560,C1,0,1,2,2,1,143,240,3,0,1,9,4,0,0,0,0,0,0,0,0,0,0,0,4,0,11,421,590
560,C2,0,0,3,1,0,135,227,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,392,590
560,C3,1,3,1,3,0,131,236,2,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,6,0,18,412,589
561,B1,0,1,1,3,1,92,192,0,0,0,9,2,0,0,0,0,0,1,0,0,0,0,0,2,0,25,329,429
561,C1,2,3,0,3,2,91,202,2,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,330,428
561,E1,0,1,0,0,0,24,67,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,98,118
562,B1,3,6,0,1,4,105,244,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,16,0,17,413,601
562,C1,4,5,0,5,2,126,227,0,1,0,12,10,0,0,0,0,0,0,0,0,0,0,0,3,0,18,413,600
563,B1,1,2,0,4,2,100,165,2,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,6,0,10,304,468
563,C1,6,2,3,2,2,89,187,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,3,0,11,316,468
Totales,,47,74,29,43,31,2859,5123,46,5,4,289,78,5,4,0,1,1,1,1,0,1,0,0,174,1,262,9079,12704
