Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
537,B1,16,1,4,166,1,1,153,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,355,482
537,C1,13,5,4,189,1,0,99,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,323,481
538,B1,4,3,2,199,2,0,232,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,448,615
538,C1,5,5,0,186,1,1,218,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,430,615
538,C2,1,3,2,207,1,0,216,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,14,449,614
539,B1,4,1,3,153,0,0,175,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,346,447
539,C1,4,1,4,138,0,0,193,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,356,447
540,B1,5,2,3,192,4,0,269,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,488,650
540,C1,0,4,8,190,3,0,253,1,10,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,486,649
541,B1,8,3,3,220,1,0,195,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,623
541,C1,2,2,1,244,5,0,210,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,474,622
542,B1,5,1,4,189,2,0,279,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,638
542,C1,4,2,1,160,2,0,304,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,495,638
543,B1,3,2,0,99,0,1,134,1,78,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,320,414
544,B1,0,1,2,200,1,0,234,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,465,685
544,C1,3,1,2,203,1,0,193,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,431,684
544,C2,4,1,5,222,3,3,189,4,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,684
545,B1,3,1,2,162,1,0,78,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,266,415
545,C1,0,0,1,140,0,1,94,3,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,248,414
546,B1,1,1,3,335,3,0,101,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,480,724
547,B1,5,2,1,211,3,0,139,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,377,598
547,C1,3,3,1,242,2,0,132,2,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,404,597
Totales,,93,45,56,4247,37,7,4090,19,243,2,6,13,2,5,0,0,0,1,0,0,0,0,0,0,0,157,9023,12736
