Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
654,B1,1,0,8,10,105,58,73,38,3,11,85,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,6,402,583
654,C1,0,3,3,19,64,74,45,48,5,9,94,2,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,10,383,583
654,C2,2,0,1,19,78,77,57,35,4,6,99,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,393,583
654,C3,3,1,2,90,33,64,57,35,5,7,97,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,4,407,582
655,B1,0,0,10,8,53,35,42,40,3,0,130,3,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,338,504
655,C1,0,2,10,8,42,51,51,31,2,3,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,364,504
655,C2,0,0,3,16,72,34,53,32,4,5,144,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,370,504
656,B1,0,3,8,12,106,67,81,61,5,1,120,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,0,0,0,0,10,484,726
656,C1,0,3,11,11,89,69,75,57,2,2,169,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,1,0,0,0,0,0,7,503,725
657,B1,0,1,11,14,140,53,47,29,7,3,126,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,446,737
657,C1,1,0,2,8,134,56,55,53,5,8,144,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,8,481,736
657,C2,1,0,3,21,132,62,50,29,5,4,136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,454,736
658,B1,2,0,4,20,137,72,59,47,2,1,145,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,0,0,12,511,696
658,C1,1,1,4,17,97,84,73,42,1,1,148,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,0,0,0,1,0,6,487,696
659,B1,1,2,4,12,42,73,39,22,5,7,64,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,2,0,0,7,286,430
