Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
734,B1,37,19,48,0,5,3,168,0,0,1,0,105,11,4,0,1,0,0,2,3,0,1,2,0,7,417,708
734,C1,27,23,44,6,7,1,170,0,1,1,1,100,16,3,1,1,0,0,1,1,2,1,1,0,10,418,708
734,C2,35,28,39,1,4,2,148,0,1,1,0,99,16,2,1,1,0,1,1,0,0,0,1,0,33,414,708
735,B1,35,14,42,2,10,3,121,0,4,0,1,64,13,4,1,0,0,0,0,0,0,0,1,0,2,317,519
735,C1,36,25,26,0,8,2,120,1,1,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,10,281,518
735,C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518
736,B1,32,25,34,5,13,5,117,1,0,0,0,58,15,7,0,0,0,1,1,0,0,0,0,0,14,328,539
736,C1,38,20,42,0,11,6,108,0,2,1,1,66,10,1,1,3,0,1,0,1,0,0,0,0,13,325,539
737,B1,47,15,37,3,10,2,145,0,0,0,0,108,7,1,1,1,0,3,1,3,0,0,2,0,7,393,616
737,C1,39,19,26,1,14,1,153,0,1,0,0,131,10,1,0,0,1,1,0,1,1,0,0,0,7,407,616
737,C2,32,20,27,2,7,2,154,0,2,0,0,104,13,5,1,0,1,1,4,1,1,0,2,0,12,391,616
737,E1,27,11,24,0,5,2,48,1,0,0,1,45,5,2,0,0,0,0,2,0,0,0,0,0,7,180,293
737,E2,20,16,73,3,6,2,154,1,0,0,0,51,10,1,0,0,1,0,0,1,1,1,2,0,17,360,646
738,B1,35,25,25,1,11,9,129,0,1,0,1,102,0,9,0,0,0,2,2,2,1,0,0,0,6,361,541
738,C1,30,19,31,2,8,5,129,0,1,0,1,105,6,3,2,0,0,1,2,3,0,0,1,0,7,356,540
738,C2,35,20,22,1,6,6,153,0,0,0,0,85,11,3,1,1,0,1,1,0,1,0,0,0,12,359,540
738,S1,7,8,9,0,2,2,33,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,82,0
