Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
787,B1,19,104,9,8,73,5,97,3,1,1,0,12,7,7,2,0,0,1,0,0,0,2,0,3,0,2,0,0,1,2,0,0,0,1,0,15,375,619
787,C1,36,85,10,16,75,6,73,5,1,2,0,7,19,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,352,618
787,C2,33,89,7,8,78,5,89,11,2,1,1,12,5,7,1,0,2,1,0,0,0,0,0,8,0,0,0,1,2,0,1,0,0,0,0,0,364,618
787,C3,24,101,1,13,80,2,81,4,4,1,0,4,8,8,2,0,0,3,0,0,2,3,0,4,0,0,0,0,1,1,1,0,0,0,0,22,370,618
788,B1,28,125,5,4,55,9,78,3,1,3,1,28,7,2,0,0,0,27,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,7,390,545
788,C1,35,98,7,8,46,6,110,7,4,2,0,20,4,6,0,0,1,3,2,0,0,1,0,5,1,2,0,1,0,0,0,0,0,0,0,7,376,545
788,C2,32,106,7,2,54,1,102,9,3,2,0,6,4,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,16,353,545
789,B1,46,91,5,8,49,2,57,7,0,3,0,21,7,6,0,0,0,3,0,0,0,1,0,4,1,1,0,0,2,0,0,0,1,0,0,8,323,515
789,C1,39,81,8,9,42,2,65,6,2,1,0,26,10,12,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,320,515
790,B1,35,109,7,8,51,3,105,7,3,1,0,12,8,14,0,0,0,3,1,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,9,383,659
