Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,cand_ind_andres_tapia_franco,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
548,B1,2,8,1,0,0,2,8,174,62,44,2,2,0,0,0,0,0,0,0,0,0,0,0,94,0,0,399,550
548,C1,2,2,1,1,0,0,10,136,48,43,5,1,0,0,0,0,0,0,0,0,0,0,0,157,0,0,406,550
548,C2,0,0,0,2,0,0,10,149,74,37,2,0,0,0,0,0,0,0,0,0,0,0,0,144,0,8,426,550
549,B1,2,2,1,0,2,0,7,206,29,36,7,0,0,0,0,0,0,0,0,0,0,0,0,128,0,8,428,543
549,C1,1,4,0,0,1,0,14,196,33,27,14,0,0,0,0,0,0,0,0,0,0,0,0,151,0,6,447,543
550,B1,0,0,0,0,0,2,9,101,61,29,20,0,0,0,0,0,0,0,0,0,0,0,0,111,0,4,337,437
550,C1,2,0,0,0,0,1,12,130,65,25,15,0,0,0,0,0,0,0,0,0,0,0,0,95,0,3,348,436
551,B1,1,0,1,0,0,0,8,138,165,33,11,0,0,0,0,0,0,0,0,0,0,0,0,116,0,18,491,712
551,C1,0,2,1,1,0,1,3,122,175,47,8,0,0,0,0,0,0,1,0,0,0,0,0,162,0,0,523,712
552,B1,2,1,0,0,1,0,7,140,112,76,8,1,0,0,0,0,0,0,0,0,0,0,0,143,0,9,500,674
552,E1,1,1,0,1,4,2,9,103,73,15,18,1,0,0,0,0,0,0,0,0,0,0,0,106,0,19,353,521
553,B1,1,7,0,3,0,1,14,112,67,39,25,1,0,0,0,0,0,0,0,0,0,0,0,90,0,12,372,559
553,C1,2,5,1,3,2,1,13,113,74,19,20,0,0,0,0,0,0,0,0,0,1,0,0,116,0,13,383,559
554,B1,0,2,0,1,0,0,6,103,110,55,33,2,0,0,0,0,0,0,0,0,0,0,0,81,0,12,405,534
554,C1,0,4,0,0,1,1,12,93,101,48,21,0,0,1,0,0,0,0,0,0,0,0,0,75,0,19,376,534
Totales,,16,38,6,12,11,11,142,2016,1249,573,209,8,0,1,0,0,0,1,0,0,1,0,0,1769,0,131,6194,8414
