Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
56,C1,98,13,7,6,2,12,169,6,3,5,8,7,6,4,2,0,0,0,1,1,0,0,0,1,9,1,2,0,0,1,3,0,0,0,0,0,12,379,675
57,B1,91,12,2,2,2,10,148,3,10,9,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,336,673
57,C1,98,10,1,5,7,9,133,8,21,9,20,10,6,2,0,1,0,1,0,0,0,0,0,1,7,1,0,0,0,1,1,2,0,0,0,0,15,369,673
58,B1,79,17,7,6,2,4,124,13,13,21,23,19,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,352,717
58,C1,105,16,8,6,0,4,117,12,15,19,32,8,8,3,2,0,0,2,0,1,0,0,0,7,5,1,1,0,0,2,0,0,0,0,1,0,18,393,716
59,B1,70,8,7,6,2,6,104,7,24,4,11,16,3,3,2,0,0,1,1,0,0,1,0,2,6,3,0,2,0,0,1,0,0,0,0,0,14,304,647
59,C1,62,7,3,1,0,13,139,10,13,5,9,6,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,8,301,647
59,C2,77,17,3,2,1,4,98,12,11,2,10,11,9,2,0,0,0,2,0,1,0,0,0,0,10,1,0,0,0,3,1,0,1,0,0,0,13,291,647
59,C3,72,8,9,3,3,13,129,7,9,5,12,11,11,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,6,312,646
59,C4,81,14,7,5,4,9,144,13,18,7,12,11,13,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,7,362,646
60,B1,58,10,5,6,2,2,66,9,15,0,10,3,5,2,0,0,0,0,0,0,0,0,0,1,6,1,3,1,0,2,2,0,0,0,0,0,7,216,421
60,C1,46,13,7,5,3,5,68,7,19,1,10,2,0,3,1,0,0,0,2,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,0,0,7,209,421
61,B1,52,15,20,6,10,28,125,5,62,1,18,4,6,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,3,0,0,0,0,0,0,10,377,696
