id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI-PVEM,PRD,PT,PC,No Registrados,Nulos,Total
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,54,Morelia,568,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,1138,90,68,71,6,0,0,8,243
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,54,Morelia,521,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,1142,122,94,46,10,0,0,5,277
16,14/11/2004,12,Ayuntamientos,16,0,1,E,Extraordinaria,1,109,Zamora,552,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2476,49,60,17,0,0,0,7,133
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,109,Zamora,631,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2478,66,114,86,0,0,0,5,271
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,109,Zamora,507,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2485,96,85,63,0,0,0,1,245
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,109,Zamora,665,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2487,105,102,56,0,0,0,0,263
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,109,Zamora,565,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2493,136,106,55,0,0,0,11,308
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,109,Zamora,528,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2497,80,121,81,0,0,0,3,285
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,109,Zamora,672,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2499,105,123,64,0,0,0,1,293
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,109,Zamora,673,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2499,117,114,62,0,0,0,5,298
