Municipio,Seccion,Casilla,Lista Nominal ,PAN,PRI,PRD,PT,PVEM,PC,PNA,PAS,COAL_PRD_PT,COAL_PRD_PT_PC,COAL_PRD_PC,CC_PAN_PRI,CC_PAN_PRI_PVEM,CC_PAN_PVEM,CC_PAN_PVEM_PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRI_PVEM_PNA,NOREG,NULOS
Acuitzio,1,B,601,125,142,,,14,,,7,,62,,,,,,,,,0,5
Acuitzio,1,C1,602,107,190,,,17,,,4,,47,,,,,,,,,0,12
Acuitzio,2,B,591,113,120,,,7,,,1,,76,,,,,,,,,0,7
Acuitzio,2,C1,592,140,144,,,6,,,1,,55,,,,,,,,,0,5
Acuitzio,3,B,473,113,91,,,5,,,1,,68,,,,,,,,,0,6
Acuitzio,3,C1,474,147,74,,,10,,,0,,42,,,,,,,,,1,11
Acuitzio,4,B,511,116,129,,,7,,,0,,65,,,,,,,,,0,8
Acuitzio,4,C1,511,92,127,,,13,,,2,,67,,,,,,,,,0,4
Acuitzio,5,B,465,92,131,,,7,,,8,,83,,,,,,,,,0,4
Acuitzio,5,C1,465,108,107,,,3,,,4,,66,,,,,,,,,0,5
Acuitzio,6,B,385,39,49,,,4,,,0,,104,,,,,,,,,1,7
Acuitzio,7,B,570,90,88,,,14,,,4,,126,,,,,,,,,0,11
Acuitzio,8,B,324,85,66,,,2,,,0,,21,,,,,,,,,1,6
Acuitzio,9,B,206,36,57,,,3,,,1,,34,,,,,,,,,0,6
Acuitzio,10,B,410,58,69,,,2,,,1,,79,,,,,,,,,0,18
Acuitzio,10,C1,411,103,74,,,7,,,1,,68,,,,,,,,,0,15
Aguililla,11,B,614,14,62,,,,,72,,,96,,3,,,,,,,0,13
Aguililla,11,C1,615,11,60,,,,,73,,,96,,3,,,,,,,0,10
Aguililla,11,C2,615,17,58,,,,,85,,,84,,8,,,,,,,0,7
Aguililla,11,C3,615,17,49,,,,,96,,,92,,4,,,,,,,0,14
Aguililla,12,B,533,10,44,,,,,78,,,95,,3,,,,,,,0,9
Aguililla,12,C1,533,10,24,,,,,97,,,83,,1,,,,,,,0,9
Aguililla,12,E1,147,3,31,,,,,22,,,9,,2,,,,,,,0,1
Aguililla,13,B,638,16,44,,,,,122,,,93,,2,,,,,,,0,10
Aguililla,13,C1,639,15,34,,,,,102,,,74,,6,,,,,,,0,16
Aguililla,13,C2,639,11,40,,,,,84,,,70,,5,,,,,,,0,7
Aguililla,13,C3,639,7,52,,,,,126,,,65,,0,,,,,,,0,7
Aguililla,14,B,652,13,48,,,,,93,,,97,,4,,,,,,,2,20
Aguililla,14,C1,652,22,50,,,,,86,,,96,,8,,,,,,,0,5
Aguililla,14,C2,653,23,52,,,,,94,,,109,,4,,,,,,,0,15
Aguililla,15,B,654,17,64,,,,,87,,,106,,4,,,,,,,0,12
Aguililla,16,B,705,3,22,,,,,59,,,115,,0,,,,,,,0,8
Aguililla,16,C1,705,5,8,,,,,64,,,120,,0,,,,,,,0,8
Aguililla,16,C2,705,8,17,,,,,70,,,126,,1,,,,,,,0,6
Aguililla,16,E1,370,4,30,,,,,49,,,84,,4,,,,,,,0,6
Aguililla,17,B,622,5,22,,,,,7,,,174,,0,,,,,,,0,4
Aguililla,17,E1,198,4,14,,,,,9,,,42,,1,,,,,,,0,15
Aguililla,18,B,501,13,27,,,,,38,,,116,,0,,,,,,,0,6
Aguililla,18,C1,502,14,23,,,,,36,,,124,,0,,,,,,,0,8
Aguililla,18,E1,126,17,13,,,,,9,,,23,,0,,,,,,,0,1
Aguililla,19,B,730,141,105,,,,,25,,,62,,20,,,,,,,0,9
Aguililla,20,B,311,9,18,,,,,42,,,31,,0,,,,,,,0,4
Aguililla,21,B,66,1,4,,,,,11,,,5,,0,,,,,,,0,0
Aguililla,22,B,239,3,12,,,,,19,,,93,,0,,,,,,,0,1
Aguililla,22,E1,97,2,34,,,,,1,,,15,,2,,,,,,,0,1
Aguililla,23,B,276,16,36,,,,,10,,,33,,3,,,,,,,0,6
Aguililla,25,B,168,3,36,,,,,17,,,23,,0,,,,,,,0,3
Alvaro Obregón,26,B,531,113,84,,,2,,,,,62,,,,,,,,,0,4
Alvaro Obregón,26,C1,532,96,106,,,3,,,,,97,,,,,,,,,0,5
Alvaro Obregón,26,C2,532,102,112,,,3,,,,,60,,,,,,,,,0,2
Alvaro Obregón,27,B,548,66,115,,,1,,,,,57,,,,,,,,,0,6
Alvaro Obregón,27,C1,549,81,106,,,5,,,,,84,,,,,,,,,0,6
Alvaro Obregón,27,C2,549,101,101,,,6,,,,,60,,,,,,,,,0,3
Alvaro Obregón,27,E1,181,64,36,,,1,,,,,22,,,,,,,,,0,2
Alvaro Obregón,28,B,605,133,113,,,18,,,,,58,,,,,,,,,0,8
Alvaro Obregón,28,C1,605,125,117,,,4,,,,,101,,,,,,,,,0,5
Alvaro Obregón,28,C2,606,106,138,,,5,,,,,76,,,,,,,,,0,4
Alvaro Obregón,29,B,462,101,83,,,2,,,,,46,,,,,,,,,0,7
Alvaro Obregón,29,C1,463,112,77,,,3,,,,,34,,,,,,,,,0,4
Alvaro Obregón,30,B,506,105,98,,,7,,,,,56,,,,,,,,,0,5
Alvaro Obregón,30,C1,507,118,82,,,1,,,,,67,,,,,,,,,0,7
Alvaro Obregón,31,B,694,102,167,,,16,,,,,135,,,,,,,,,0,4
Alvaro Obregón,31,C1,694,111,165,,,3,,,,,124,,,,,,,,,0,7
Alvaro Obregón,32,B,601,154,98,,,4,,,,,64,,,,,,,,,0,4
