ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PT,MC,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
23,QUINTANA ROO,1,BENITO JUÁREZ,448,905,57344,96704,4270,5682,28917,39408,4908,,,463,237233,8479,246175,520173,0.4733
23,QUINTANA ROO,2,COZUMEL,22,97,22684,14667,140,193,943,289,,,,11,38916,797,39724,63872,0.6219
23,QUINTANA ROO,3,FELIPE CARRILLO PUERTO,35,87,11151,15103,437,232,2216,3367,,,,4,32506,1502,34012,48700,0.6984
23,QUINTANA ROO,4,ISLA MUJERES,10,27,4252,4592,60,60,544,98,,,,0,9606,177,9783,16921,0.6311
23,QUINTANA ROO,5,JOSÉ MARÍA MORELOS,22,43,2941,7707,139,107,169,3772,,,3625,4,18460,764,19228,24212,0.7942
23,QUINTANA ROO,6,LÁZARO CÁRDENAS,14,36,5555,6133,236,129,444,1059,,,,3,13556,381,13940,18720,0.7714
23,QUINTANA ROO,7,OTHÓN P. BLANCO,160,293,60457,28020,1595,1107,8368,1619,,,,46,101166,2678,103890,160940,0.6455
23,QUINTANA ROO,8,SOLIDARIDAD,157,288,25652,18040,808,1579,14505,2567,,,,82,63151,2025,65258,163475,0.3992
23,QUINTANA ROO,9,TULUM,41,55,6040,7298,175,223,1007,260,,,,6,15003,444,15453,24902,0.6206
23,QUINTANA ROO,10,BACALAR,25,51,3066,7263,4993,235,1204,129,,,,6,16890,829,17725,27319,0.6488
23,QUINTANA ROO,11,PUERTO MORELOS,4,21,2633,3138,333,693,1120,76,,478,,4,8471,276,8751,14063,0.6223
