Numero,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PDCH,PFC,ALIANZA FRAYL.,JUSTA,No REGISTRADOS,Nulos,Anulados,month
,,,,,,,,,,,,,,,,
2,ACALA,7,B,6,174,199,29,0,0,0,0,0,0,0,,October
2,ACALA,7,C,7,165,187,26,0,0,0,0,0,0,0,,October
2,ACALA,8,B,8,117,155,12,0,0,0,0,0,0,4,,October
2,ACALA,8,C,14,112,157,9,0,0,0,0,0,0,7,,October
2,ACALA,9,B,3,126,205,40,0,0,0,0,0,0,10,,October
2,ACALA,9,C,5,121,203,44,0,0,0,0,0,0,7,,October
2,ACALA,10,B,8,137,174,6,0,0,0,0,0,0,4,,October
2,ACALA,10,CA,12,137,167,15,0,0,0,0,0,0,7,,October
2,ACALA,10,CB,10,155,173,14,0,0,0,0,0,0,8,,October
2,ACALA,11,B,7,196,157,3,0,0,0,0,0,0,8,,October
2,ACALA,11,C,7,178,172,9,0,0,0,0,0,0,6,,October
2,ACALA,12,B,9,165,173,1,0,0,0,0,0,1,4,,October
2,ACALA,12,C,14,138,158,5,0,0,0,0,0,1,6,,October
2,ACALA,13,B,4,120,140,1,0,0,0,0,0,0,3,,October
2,ACALA,13,C,9,155,102,4,0,0,0,0,0,0,3,,October
2,ACALA,14,B,12,171,223,7,0,0,0,0,0,0,6,,October
2,ACALA,15,B,8,182,39,68,0,0,0,0,0,0,12,,October
2,ACALA,15,EX,4,22,74,6,0,0,0,0,0,0,15,,October
2,ACALA,16,B,6,94,66,50,0,0,0,0,0,0,9,,October
2,ACALA,16,C,6,104,46,35,0,0,0,0,0,0,0,,October
2,ACALA,17,B,15,95,82,47,0,0,0,0,0,2,12,,October
2,ACALA,17,CA,14,93,121,29,0,0,0,0,0,0,9,,October
2,ACALA,17,CB,14,123,70,40,0,0,0,0,0,0,7,,October
2,ACALA,18,B,1,45,100,14,0,0,0,0,0,0,0,,October
2,ACALA,18,EX,1,58,46,2,0,0,0,0,0,0,0,,October
2,ACALA,19,B,11,116,148,61,0,0,0,0,0,0,13,,October
2,ACALA,19,C,15,112,176,60,0,0,0,0,0,0,14,,October
2,ACALA,20,B,21,57,108,41,0,0,0,0,0,0,24,,October
2,ACALA,20,C,31,50,109,31,0,0,0,0,0,0,19,,October
,,,,,,,,,,,,,,,,October
3,ACAPETAHUA,21,B,12,151,83,90,0,0,0,0,0,0,8,,October
3,ACAPETAHUA,22,B,2,79,67,61,0,0,0,0,0,0,7,,October
3,ACAPETAHUA,22,C,0,69,56,85,0,0,0,0,0,0,5,,October
3,ACAPETAHUA,23,B,6,134,61,45,0,0,0,0,0,0,3,,October
3,ACAPETAHUA,23,C,9,113,67,37,0,0,0,0,0,0,6,,October
3,ACAPETAHUA,24,B,12,139,76,49,0,0,0,0,0,0,11,,October
3,ACAPETAHUA,24,C,5,133,109,51,0,0,0,0,0,3,7,,October
3,ACAPETAHUA,25,B,12,87,61,22,0,0,0,0,0,0,0,,October
3,ACAPETAHUA,25,C,4,98,73,39,0,0,0,0,0,0,13,,October
3,ACAPETAHUA,26,B,4,118,121,13,0,0,0,0,0,0,16,,October
3,ACAPETAHUA,26,EX,2,156,160,17,0,0,0,0,0,0,9,,October
3,ACAPETAHUA,27,B,1,116,98,6,0,0,0,0,0,0,6,,October
3,ACAPETAHUA,27,C,2,111,103,14,0,0,0,0,0,0,8,,October
3,ACAPETAHUA,28,B,7,79,72,38,0,0,0,0,0,0,0,,October
3,ACAPETAHUA,28,C,8,77,83,39,0,0,0,0,0,0,8,,October
3,ACAPETAHUA,28,EX,1,115,27,5,0,0,0,0,0,0,5,,October
3,ACAPETAHUA,29,B,16,117,97,31,0,0,0,0,0,0,0,,October
3,ACAPETAHUA,29,C,6,84,125,37,0,0,0,0,0,0,7,,October
3,ACAPETAHUA,30,B,12,177,102,30,0,0,0,0,0,0,3,,October
3,ACAPETAHUA,31,B,9,93,112,3,0,0,0,0,0,0,11,,October
3,ACAPETAHUA,31,C,13,78,100,9,0,0,0,0,0,0,13,,October
3,ACAPETAHUA,32,B,5,161,65,9,0,0,0,0,0,0,6,,October
3,ACAPETAHUA,32,EX,1,129,37,13,0,0,0,0,0,0,7,,October
3,ACAPETAHUA,33,B,0,137,67,10,0,0,0,0,0,0,5,,October
3,ACAPETAHUA,34,B,17,209,115,61,0,0,0,0,0,0,22,,October
3,ACAPETAHUA,34,C,16,227,115,50,0,0,0,0,0,0,26,,October
,,,,,,,,,,,,,,,,October
4,ALTAMIRANO,35,B,13,161,113,25,0,9,0,0,0,0,32,,October
4,ALTAMIRANO,35,C,7,177,142,32,0,18,0,0,0,0,19,,October
4,ALTAMIRANO,36,B,0,74,89,67,0,20,0,0,0,0,36,,October
4,ALTAMIRANO,36,C,2,89,123,43,0,15,0,0,0,0,23,,October
4,ALTAMIRANO,37,B,2,132,140,62,0,34,0,0,0,1,29,,October
4,ALTAMIRANO,37,C,6,115,184,41,0,20,0,0,0,3,23,,October
4,ALTAMIRANO,38,B,0,169,143,31,0,0,0,0,0,0,31,,October
4,ALTAMIRANO,39,B,0,91,94,14,0,13,0,0,0,0,18,,October
4,ALTAMIRANO,39,C,0,97,117,7,0,1,0,0,0,0,15,,October
4,ALTAMIRANO,40,B,0,70,331,2,0,0,0,0,0,0,26,,October
4,ALTAMIRANO,40,EX1,1,142,66,13,0,10,0,0,0,0,23,,October
4,ALTAMIRANO,40,EX2,0,156,100,9,0,1,0,0,0,0,21,,October
4,ALTAMIRANO,41,B,2,150,46,6,0,1,0,0,0,0,16,,October
4,ALTAMIRANO,41,C,1,152,35,9,0,1,0,0,0,2,6,,October
4,ALTAMIRANO,41,EX,1,17,87,2,0,0,0,0,0,0,3,,October
4,ALTAMIRANO,42,B,6,161,140,12,0,2,0,0,0,0,39,,October
4,ALTAMIRANO,42,C,5,150,135,6,0,2,0,0,0,0,52,,October
4,ALTAMIRANO,43,B,4,214,27,17,0,11,0,0,0,0,68,,October
,,,,,,,,,,,,,,,,October
5,AMATAN,44,B,192,150,12,0,0,0,6,0,0,0,17,,October
5,AMATAN,44,CA,115,172,16,0,0,0,6,0,0,0,18,,October
5,AMATAN,44,CB,142,171,13,0,0,0,6,0,0,0,28,,October
5,AMATAN,45,B,56,108,9,0,0,0,0,0,0,0,7,,October
5,AMATAN,46,B,23,25,1,0,0,0,4,0,0,0,6,,October
5,AMATAN,47,B,10,45,38,0,0,0,2,0,0,0,7,,October
5,AMATAN,48,B,48,288,86,0,0,0,2,0,0,0,15,,October
5,AMATAN,48,EX,41,93,9,0,0,0,9,0,0,0,10,,October
5,AMATAN,49,B,64,249,15,0,0,0,4,0,0,0,20,,October
5,AMATAN,50,B,53,78,54,0,0,0,2,0,0,0,24,,October
5,AMATAN,50,C,66,96,55,0,0,0,3,0,0,0,13,,October
5,AMATAN,51,B,30,141,61,0,0,0,1,0,0,0,20,,October
5,AMATAN,52,B,75,77,109,0,0,0,5,0,0,0,32,,October
5,AMATAN,53,B,36,90,104,0,0,0,0,0,0,0,7,,October
5,AMATAN,53,C,49,91,60,0,0,0,1,0,0,0,11,,October
,,,,,,,,,,,,,,,,October
6,AMATENANGO DE LA FRA.,54,B,9,102,36,191,0,0,0,0,0,0,4,,October
6,AMATENANGO DE LA FRA.,54,C,7,74,40,204,0,0,0,0,0,0,4,,October
6,AMATENANGO DE LA FRA.,55,B,17,49,59,137,0,0,0,0,0,0,8,,October
6,AMATENANGO DE LA FRA.,56,B,20,120,12,96,0,0,0,0,0,0,5,,October
6,AMATENANGO DE LA FRA.,56,EX,39,21,44,74,0,0,0,0,0,1,9,,October
6,AMATENANGO DE LA FRA.,57,B,2,47,172,36,0,0,0,0,0,1,8,,October
6,AMATENANGO DE LA FRA.,57,C,0,37,208,53,0,0,0,0,0,0,3,,October
6,AMATENANGO DE LA FRA.,58,B,3,133,62,77,0,0,0,0,0,0,8,,October
6,AMATENANGO DE LA FRA.,59,B,1,155,173,132,0,0,0,0,0,0,11,,October
6,AMATENANGO DE LA FRA.,60,B,5,88,144,88,0,0,0,0,0,0,0,,October
6,AMATENANGO DE LA FRA.,60,C,1,141,151,55,0,0,0,0,0,0,5,,October
6,AMATENANGO DE LA FRA.,61,B,12,162,180,54,0,0,0,0,0,0,11,,October
6,AMATENANGO DE LA FRA.,61,C,16,200,135,48,0,0,0,0,0,0,11,,October
6,AMATENANGO DE LA FRA.,62,B,214,135,32,35,0,0,0,0,0,0,18,,October
6,AMATENANGO DE LA FRA.,62,C,177,161,27,55,0,0,0,0,0,0,21,,October
6,AMATENANGO DE LA FRA.,63,B,34,65,22,25,0,0,0,0,0,0,3,,October
6,AMATENANGO DE LA FRA.,64,B,3,104,12,160,0,0,0,0,0,0,8,,October
6,AMATENANGO DE LA FRA.,64,EX,1,33,43,61,0,0,0,0,0,0,2,,October
6,AMATENANGO DE LA FRA.,65,B,1,92,102,63,0,0,0,0,0,0,5,,October
6,AMATENANGO DE LA FRA.,65,EX,0,95,66,35,0,0,0,0,0,0,5,,October
6,AMATENANGO DE LA FRA.,66,B,0,78,9,195,0,0,0,0,0,0,19,,October
6,AMATENANGO DE LA FRA.,66,C,0,105,8,149,0,0,0,0,0,0,11,,October
6,AMATENANGO DE LA FRA.,67,B,1,126,7,185,0,0,0,0,0,0,19,,October
6,AMATENANGO DE LA FRA.,67,EX,1,14,23,44,0,0,0,0,0,0,5,,October
,,,,,,,,,,,,,,,,October
7,AMATENANGO DEL VALLE,68,B,0,265,142,0,0,0,0,0,0,0,21,,October
7,AMATENANGO DEL VALLE,68,C,0,230,172,0,0,0,0,0,0,0,11,,October
7,AMATENANGO DEL VALLE,69,B,0,279,146,0,0,0,0,0,0,0,24,,October
7,AMATENANGO DEL VALLE,70,B,0,87,153,0,0,0,0,0,0,0,9,,October
7,AMATENANGO DEL VALLE,70,C,0,44,198,0,0,0,0,0,0,0,8,,October
7,AMATENANGO DEL VALLE,71,B,0,136,132,0,0,0,0,0,0,0,30,,October
7,AMATENANGO DEL VALLE,71,C,0,136,148,0,0,0,0,0,0,0,19,,October
,,,,,,,,,,,,,,,,October
8,ANGEL ALBINO CORZO,72,B,0,150,82,19,0,5,0,0,0,0,11,,October
8,ANGEL ALBINO CORZO,72,C,0,193,75,9,0,11,0,0,0,7,3,,October
8,ANGEL ALBINO CORZO,73,B,0,157,92,16,0,7,0,0,0,0,11,,October
8,ANGEL ALBINO CORZO,73,C,0,134,96,8,0,5,0,0,0,0,29,,October
8,ANGEL ALBINO CORZO,74,B,0,135,68,2,0,8,0,0,0,4,7,,October
8,ANGEL ALBINO CORZO,74,C,0,121,85,13,0,3,0,0,0,0,4,,October
8,ANGEL ALBINO CORZO,75,B,0,119,49,2,0,5,0,0,0,3,10,,October
8,ANGEL ALBINO CORZO,75,C,0,119,78,8,0,3,0,0,0,2,14,,October
8,ANGEL ALBINO CORZO,76,B,0,255,111,3,0,1,0,0,0,0,6,,October
8,ANGEL ALBINO CORZO,76,C,0,226,128,2,0,1,0,0,0,0,16,,October
8,ANGEL ALBINO CORZO,77,B,0,104,128,5,0,18,0,0,0,0,8,,October
8,ANGEL ALBINO CORZO,77,C,0,117,108,2,0,22,0,0,0,0,10,,October
