"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","ALEJANDRO AHUED SARQUIS","ANDRÉS GILDARDO OCADIZ IBARRA","ENRIQUE PACHECO LOPEZ","NO REGISTRADO","NULO"
"Tulancingo De Bravo","1502","BASICA","46","111","4","11","2","101","6","17","26","1","0","0","0","9","12","5","0","14"
"Tulancingo De Bravo","1502","CONTIGUA 1","62","121","7","10","4","110","2","15","36","1","0","0","0","4","5","8","0","8"
"Tulancingo De Bravo","1502","CONTIGUA 2","39","120","8","8","3","86","5","14","28","0","0","0","0","8","8","7","1","8"
"Tulancingo De Bravo","1502","CONTIGUA 3","40","135","6","8","7","94","10","20","25","1","2","0","0","8","6","1","0","4"
"Tulancingo De Bravo","1502","CONTIGUA 4","47","100","6","3","2","116","15","18","14","1","1","0","0","7","3","16","1","12"
"Tulancingo De Bravo","1502","EXTRAORDINARIA 1","31","89","7","6","3","78","11","17","34","0","0","0","0","18","13","10","0","9"
"Tulancingo De Bravo","1502","EXTRAORDINARIA 1 CONTIGUA 1","60","82","8","5","3","70","8","18","38","0","0","0","0","15","10","8","0","6"
"Tulancingo De Bravo","1502","EXTRAORDINARIA 1 CONTIGUA 2","45","88","10","7","6","81","6","17","25","1","0","0","0","11","4","7","0","9"
"Tulancingo De Bravo","1502","EXTRAORDINARIA 1 CONTIGUA 3","39","97","4","8","1","57","8","27","30","0","0","0","0","8","6","8","0","15"
"Tulancingo De Bravo","1502","EXTRAORDINARIA 1 CONTIGUA 4","56","81","6","13","5","84","6","22","22","1","0","0","0","20","7","6","0","8"
"Tulancingo De Bravo","1502","EXTRAORDINARIA 1 CONTIGUA 5","47","85","9","4","1","74","7","16","34","1","0","0","0","0","0","0","0","14"
"Tulancingo De Bravo","1502","EXTRAORDINARIA 1 CONTIGUA 6","39","67","8","6","6","70","9","18","39","0","0","0","0","21","11","8","0","14"
"Tulancingo De Bravo","1503","BASICA","55","77","6","2","6","67","7","15","14","2","0","0","0","20","3","3","0","8"
"Tulancingo De Bravo","1503","CONTIGUA 1","59","73","3","7","3","53","4","25","22","2","0","0","0","7","3","1","0","12"
"Tulancingo De Bravo","1503","CONTIGUA 2","44","57","11","4","1","68","9","16","15","0","0","0","0","10","5","3","0","13"
"Tulancingo De Bravo","1503","CONTIGUA 3","52","65","12","6","4","56","5","19","13","0","0","0","0","7","10","1","1","10"
"Tulancingo De Bravo","1503","CONTIGUA 4","51","57","13","7","4","42","6","27","25","0","1","0","0","10","8","4","0","7"
"Tulancingo De Bravo","1503","CONTIGUA 5","48","79","15","6","7","42","3","23","26","0","1","0","0","11","6","4","0","6"
"Tulancingo De Bravo","1504","BASICA","58","106","10","4","5","64","8","26","13","2","3","0","0","12","11","3","0","5"
"Tulancingo De Bravo","1504","CONTIGUA 1","52","93","10","6","5","61","9","19","15","1","0","0","0","6","7","11","0","2"
"Tulancingo De Bravo","1504","CONTIGUA 2","35","88","10","6","3","45","8","19","19","1","4","0","0","15","8","2","0","8"
"Tulancingo De Bravo","1504","CONTIGUA 3","64","95","4","5","4","57","7","21","19","2","3","0","0","16","10","15","3","10"
"Tulancingo De Bravo","1504","CONTIGUA 4","61","109","3","9","2","58","11","20","22","3","2","0","0","16","10","10","0","9"
"Tulancingo De Bravo","1504","CONTIGUA 5","64","122","5","10","1","71","7","18","17","4","0","0","0","14","7","6","0","6"
"Tulancingo De Bravo","1504","CONTIGUA 6","40","67","5","9","7","54","5","34","13","1","1","1","0","20","11","10","0","7"
"Tulancingo De Bravo","1505","BASICA","50","108","5","6","4","93","7","14","14","0","0","1","0","14","18","6","0","12"
"Tulancingo De Bravo","1505","CONTIGUA 1","38","108","7","14","2","68","9","17","15","2","1","0","0","11","13","2","0","11"
"Tulancingo De Bravo","1505","CONTIGUA 2","55","88","9","4","4","82","5","23","16","0","1","0","0","18","18","7","0","11"
"Tulancingo De Bravo","1505","CONTIGUA 3","63","107","8","4","3","66","7","6","25","1","1","1","0","20","5","16","0","5"
"Tulancingo De Bravo","1505","CONTIGUA 4","48","110","6","13","0","76","11","23","15","0","0","0","0","28","5","5","1","6"
"Tulancingo De Bravo","1505","CONTIGUA 5","37","212","7","10","1","74","4","23","25","1","1","0","0","15","5","21","0","6"
"Tulancingo De Bravo","1506","BASICA","45","114","8","7","4","101","4","16","23","0","0","0","0","13","15","3","0","11"
"Tulancingo De Bravo","1506","CONTIGUA 1","50","113","2","10","1","100","8","13","17","0","0","0","0","22","13","10","1","12"
"Tulancingo De Bravo","1506","CONTIGUA 2","48","144","9","4","2","95","12","16","16","3","0","0","0","19","20","5","0","8"
"Tulancingo De Bravo","1506","CONTIGUA 3","47","124","9","4","7","87","10","14","16","2","0","0","0","15","14","4","0","7"
"Tulancingo De Bravo","1507","BASICA","66","96","4","8","2","65","7","12","22","1","0","1","0","11","13","1","0","5"
"Tulancingo De Bravo","1507","CONTIGUA 1","75","104","4","8","3","77","6","17","17","2","0","0","0","11","12","6","0","8"
"Tulancingo De Bravo","1507","CONTIGUA 2","65","104","7","5","1","68","7","22","8","1","1","0","0","14","12","5","0","6"
"Tulancingo De Bravo","1508","BASICA","55","96","5","11","4","110","10","22","20","2","0","0","0","11","13","0","2","8"
"Tulancingo De Bravo","1508","CONTIGUA 1","52","116","12","6","3","85","7","24","20","1","1","0","0","11","3","19","0","8"
"Tulancingo De Bravo","1509","BASICA","53","90","7","2","3","75","6","17","26","0","0","1","0","14","15","7","0","9"
"Tulancingo De Bravo","1509","CONTIGUA 1","59","95","8","11","2","68","11","12","17","0","2","2","0","13","19","4","0","10"
"Tulancingo De Bravo","1509","CONTIGUA 2","41","113","2","6","4","58","10","18","28","0","0","0","0","13","16","14","0","9"
"Tulancingo De Bravo","1510","BASICA","53","77","9","5","6","42","9","11","19","0","0","0","0","16","8","11","0","6"
"Tulancingo De Bravo","1510","CONTIGUA 1","52","81","6","7","2","38","6","17","10","1","0","1","0","9","7","15","0","9"
"Tulancingo De Bravo","1510","CONTIGUA 2","71","67","1","10","7","37","7","14","29","0","0","0","0","4","5","16","0","4"
"Tulancingo De Bravo","1510","CONTIGUA 3","44","94","6","6","4","43","8","21","21","2","0","1","0","10","7","18","1","6"
"Tulancingo De Bravo","1510","CONTIGUA 4","51","89","14","7","2","37","2","17","13","0","1","0","0","10","13","11","0","5"
"Tulancingo De Bravo","1511","BASICA","65","76","7","13","3","52","9","22","17","4","0","0","0","7","3","8","0","12"
"Tulancingo De Bravo","1511","CONTIGUA 1","59","60","8","9","3","48","13","23","20","1","0","0","0","4","9","11","0","11"
"Tulancingo De Bravo","1511","CONTIGUA 2","68","70","8","11","3","37","8","18","21","0","0","0","0","12","2","12","0","11"
"Tulancingo De Bravo","1511","CONTIGUA 3","61","89","11","8","3","53","3","19","22","1","1","2","0","9","9","5","1","14"
"Tulancingo De Bravo","1511","CONTIGUA 4","67","69","19","8","3","44","7","18","24","0","0","0","0","6","9","4","0","14"
"Tulancingo De Bravo","1511","EXTRAORDINARIA 1","45","77","8","6","5","53","5","17","20","1","0","1","0","3","6","13","0","9"
"Tulancingo De Bravo","1511","EXTRAORDINARIA 1 CONTIGUA 1","66","46","11","7","1","46","3","14","7","4","2","0","0","4","7","5","0","11"
"Tulancingo De Bravo","1511","EXTRAORDINARIA 1 CONTIGUA 2","45","77","8","6","5","53","5","17","20","1","0","1","1","3","13","6","0","9"
"Tulancingo De Bravo","1511","EXTRAORDINARIA 1 CONTIGUA 3","66","46","11","7","1","46","3","14","7","4","2","0","1","4","5","7","0","11"
"Tulancingo De Bravo","1512","BASICA","67","72","8","5","1","39","9","16","9","0","0","1","0","6","2","20","0","10"
"Tulancingo De Bravo","1512","CONTIGUA 1","46","68","7","5","3","34","4","13","7","1","0","1","0","4","10","3","0","16"
"Tulancingo De Bravo","1512","CONTIGUA 2","47","77","8","9","4","33","9","23","15","2","1","1","0","8","7","10","0","11"
"Tulancingo De Bravo","1512","CONTIGUA 3","41","74","11","4","4","38","5","14","18","4","0","0","0","7","5","10","0","9"
"Tulancingo De Bravo","1513","BASICA","50","62","8","6","1","43","14","12","15","0","0","1","0","13","4","3","0","7"
"Tulancingo De Bravo","1513","CONTIGUA 1","55","67","10","4","0","43","6","12","10","2","2","0","2","6","20","9","0","8"
"Tulancingo De Bravo","1513","CONTIGUA 2","56","79","10","4","3","39","11","17","18","0","0","0","0","7","8","19","0","7"
"Tulancingo De Bravo","1513","CONTIGUA 3","48","79","11","9","1","45","0","17","7","1","4","0","1","8","4","13","0","9"
"Tulancingo De Bravo","1514","BASICA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tulancingo De Bravo","1514","CONTIGUA 1","60","86","5","10","4","42","9","16","16","2","1","0","0","6","6","6","0","8"
"Tulancingo De Bravo","1514","CONTIGUA 2","56","91","9","3","2","42","7","14","19","2","1","0","0","6","5","12","0","5"
"Tulancingo De Bravo","1515","BASICA","68","78","3","6","4","44","13","14","25","1","0","0","0","9","14","10","0","10"
"Tulancingo De Bravo","1515","CONTIGUA 1","51","83","11","6","5","39","12","15","8","4","0","0","0","13","13","10","0","14"
"Tulancingo De Bravo","1515","CONTIGUA 2","62","81","2","9","10","54","6","10","17","0","0","2","1","5","16","7","0","7"
"Tulancingo De Bravo","1516","BASICA","40","79","9","3","4","42","3","14","21","1","0","1","0","11","5","18","0","6"
"Tulancingo De Bravo","1516","CONTIGUA 1","48","80","5","11","2","33","7","12","21","1","0","0","0","5","8","9","0","15"
"Tulancingo De Bravo","1516","CONTIGUA 2","51","79","5","4","1","38","5","18","13","0","2","0","0","11","9","16","0","4"
"Tulancingo De Bravo","1517","BASICA","39","74","4","5","3","33","13","15","16","1","1","0","0","7","5","12","0","5"
"Tulancingo De Bravo","1517","CONTIGUA 1","47","65","5","3","6","44","4","12","17","2","0","1","0","14","2","13","0","3"
"Tulancingo De Bravo","1518","BASICA","44","62","4","11","3","46","5","18","10","1","0","0","0","6","12","4","0","4"
"Tulancingo De Bravo","1518","CONTIGUA 1","50","105","8","5","4","65","4","25","19","2","0","0","0","33","12","19","0","9"
"Tulancingo De Bravo","1519","BASICA","55","109","5","7","2","58","6","19","19","0","0","0","0","10","18","7","0","10"
"Tulancingo De Bravo","1519","CONTIGUA 1","37","111","10","10","1","59","8","17","17","1","0","0","0","16","18","1","0","8"
"Tulancingo De Bravo","1520","BASICA","52","131","6","5","4","63","5","13","18","0","0","0","0","17","2","8","1","9"
"Tulancingo De Bravo","1520","CONTIGUA 1","27","78","4","2","2","51","2","16","9","3","0","0","0","5","15","3","0","9"
"Tulancingo De Bravo","1520","CONTIGUA 2","45","79","3","9","5","39","1","11","15","0","0","0","0","10","7","4","0","3"
"Tulancingo De Bravo","1521","BASICA","57","86","14","9","3","82","10","15","16","2","1","0","0","20","26","4","1","12"
"Tulancingo De Bravo","1522","BASICA","50","127","7","5","7","75","6","27","7","0","0","1","0","9","17","5","1","11"
"Tulancingo De Bravo","1522","CONTIGUA 1","60","93","9","9","2","73","7","18","9","0","0","0","0","12","16","2","0","9"
"Tulancingo De Bravo","1522","ESPECIAL 1","66","166","12","3","3","65","5","14","12","1","0","0","0","30","17","4","0","14"
"Tulancingo De Bravo","1523","BASICA","60","78","3","4","1","63","3","13","10","1","0","0","0","29","0","15","0","9"
"Tulancingo De Bravo","1523","CONTIGUA 1","57","69","3","5","3","41","6","12","8","0","1","1","0","16","20","8","0","10"
