"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"El Arenal","331","BASICA","128","280","0","0","1","13","37","20","7","0","6"
"El Arenal","331","CONTIGUA 1","112","289","0","1","2","6","75","34","5","0","4"
"El Arenal","331","CONTIGUA 2","131","262","0","0","0","9","45","27","7","0","10"
"El Arenal","332","BASICA","125","175","0","9","2","13","23","22","18","0","9"
"El Arenal","332","CONTIGUA 1","148","195","0","3","2","2","30","11","11","0","13"
"El Arenal","333","BASICA","69","155","0","1","4","5","16","15","12","0","10"
"El Arenal","333","CONTIGUA 1","78","162","0","3","0","3","17","15","8","0","10"
"El Arenal","334","BASICA","69","125","0","1","2","0","10","3","1","0","3"
"El Arenal","335","BASICA","61","125","0","0","1","5","27","6","6","0","6"
"El Arenal","335","CONTIGUA 1","70","136","0","2","1","1","30","12","9","0","5"
"El Arenal","336","BASICA","75","138","0","3","4","8","86","17","21","0","3"
"El Arenal","336","CONTIGUA 1","69","156","0","3","2","1","87","16","16","0","15"
"El Arenal","336","CONTIGUA 2","88","181","0","2","5","2","54","23","27","0","9"
"El Arenal","337","BASICA","94","189","0","4","2","8","10","16","1","0","11"
"El Arenal","338","BASICA","142","170","0","1","0","0","26","7","1","0","6"
"El Arenal","339","BASICA","163","231","0","3","3","8","17","13","19","0","5"
"El Arenal","340","BASICA","351","145","0","2","0","11","6","7","13","0","3"
"El Arenal","340","CONTIGUA 1","295","186","0","2","0","2","4","6","4","0","5"
"El Arenal","340","CONTIGUA 2","361","106","0","0","4","3","5","3","6","0","14"
"El Arenal","340","CONTIGUA 3","340","136","0","1","0","5","11","5","8","0","5"
"El Arenal","341","BASICA","265","141","0","3","1","2","14","3","8","0","12"
"El Arenal","341","CONTIGUA 1","260","137","0","3","3","4","9","2","12","0","6"
