"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Huehuetla","441","BASICA","0","199","16","10","236","2","11","51","0","0","23"
"Huehuetla","441","CONTIGUA 1","3","237","12","2","215","2","27","48","0","0","11"
"Huehuetla","441","CONTIGUA 2","4","252","4","1","207","2","11","43","0","0","14"
"Huehuetla","441","CONTIGUA 3","3","236","10","6","230","2","5","28","0","0","29"
"Huehuetla","442","BASICA","6","94","3","6","48","0","42","8","0","0","7"
"Huehuetla","443","BASICA","31","153","15","3","89","2","176","44","0","0","8"
"Huehuetla","444","BASICA","3","92","4","0","57","1","99","55","0","0","15"
"Huehuetla","444","CONTIGUA 1","5","94","3","0","64","1","92","55","0","0","6"
"Huehuetla","445","BASICA","10","69","1","0","52","3","12","6","0","0","6"
"Huehuetla","446","BASICA","7","177","4","0","243","5","8","16","0","0","11"
"Huehuetla","447","BASICA","47","126","4","5","105","6","22","49","0","6","11"
"Huehuetla","447","CONTIGUA 1","50","154","6","1","97","4","17","37","0","0","21"
"Huehuetla","447","CONTIGUA 2","33","144","6","4","88","6","22","54","0","0","19"
"Huehuetla","447","EXTRAORDINARIA 1","19","35","9","8","50","1","21","23","0","0","0"
"Huehuetla","448","BASICA","5","188","30","4","219","10","26","14","0","0","25"
"Huehuetla","449","BASICA","1","71","9","2","199","2","6","18","0","0","22"
"Huehuetla","449","CONTIGUA 1","1","79","2","0","209","1","12","17","0","0","17"
"Huehuetla","450","BASICA","3","118","4","3","99","5","6","39","0","0","11"
"Huehuetla","450","CONTIGUA 1","3","114","6","1","97","2","15","36","0","0","17"
"Huehuetla","451","BASICA","23","182","7","3","133","3","14","30","0","1","10"
"Huehuetla","451","CONTIGUA 1","24","189","6","4","126","3","12","35","0","0","22"
"Huehuetla","451","CONTIGUA 2","32","185","7","4","135","1","16","29","0","0","20"
"Huehuetla","452","BASICA","8","187","12","2","174","0","22","44","0","0","27"
"Huehuetla","452","CONTIGUA 1","8","209","13","4","154","4","21","48","0","2","19"
"Huehuetla","453","BASICA","18","203","6","3","215","2","16","36","0","0","16"
"Huehuetla","453","CONTIGUA 1","22","164","6","2","224","3","15","28","0","0","24"
"Huehuetla","454","BASICA","3","168","7","5","100","2","51","62","0","0","16"
"Huehuetla","454","CONTIGUA 1","7","215","6","0","91","2","21","79","0","0","25"
"Huehuetla","455","BASICA","5","127","13","5","105","7","63","26","0","0","10"
"Huehuetla","455","EXTRAORDINARIA 1","0","43","6","2","53","0","23","13","0","0","15"
"Huehuetla","456","BASICA","1","304","7","3","179","0","12","43","0","0","31"
