"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO"
"Metztitlán","674","BASICA","0","113","133","1","1","2","5","5","167","0","0","0","0","0","21"
"Metztitlán","674","CONTIGUA 1","5","108","134","1","1","1","6","2","173","1","0","0","0","0","11"
"Metztitlán","675","BASICA","2","119","129","1","0","4","6","5","226","1","0","0","0","0","24"
"Metztitlán","675","CONTIGUA 1","2","154","136","0","1","5","1","2","221","5","0","0","0","0","8"
"Metztitlán","676","BASICA","0","75","277","1","0","1","1","0","91","0","0","1","0","0","136"
"Metztitlán","677","BASICA","0","65","111","0","5","1","2","0","35","1","0","1","0","0","7"
"Metztitlán","678","BASICA","2","169","10","4","0","0","3","0","65","1","2","1","0","0","4"
"Metztitlán","678","EXTRAORDINARIA 1","0","136","41","2","3","5","2","1","91","0","0","0","0","0","13"
"Metztitlán","679","BASICA","1","75","52","0","0","1","2","0","65","0","0","1","0","0","20"
"Metztitlán","679","EXTRAORDINARIA 1","2","134","33","1","1","3","0","1","48","3","0","0","0","0","7"
"Metztitlán","680","BASICA","2","145","167","2","1","5","4","0","136","1","1","1","0","0","23"
"Metztitlán","680","CONTIGUA 1","1","136","155","2","2","1","11","0","155","1","0","0","0","0","16"
"Metztitlán","681","BASICA","0","145","138","3","0","1","6","1","81","1","0","0","0","0","9"
"Metztitlán","681","CONTIGUA 1","2","109","152","2","0","0","3","0","74","1","0","0","0","0","8"
"Metztitlán","681","EXTRAORDINARIA 1","0","66","50","2","2","0","2","0","66","0","0","0","0","0","10"
"Metztitlán","682","BASICA","0","20","40","0","2","2","0","0","24","1","0","0","0","0","0"
"Metztitlán","683","BASICA","0","17","21","2","1","1","0","0","56","0","1","0","0","0","3"
"Metztitlán","683","EXTRAORDINARIA 1","2","39","3","0","0","1","0","0","45","0","0","0","0","0","7"
"Metztitlán","684","BASICA","1","154","167","1","0","1","3","2","123","4","1","0","0","1","15"
"Metztitlán","685","BASICA","0","67","126","1","0","0","6","0","38","0","0","0","0","0","3"
"Metztitlán","686","BASICA","1","28","131","2","0","1","2","1","123","0","0","0","0","0","2"
"Metztitlán","686","CONTIGUA 1","1","36","148","0","0","1","4","0","99","2","0","0","0","0","11"
"Metztitlán","687","BASICA","2","127","49","3","0","1","2","0","106","0","1","0","0","0","8"
"Metztitlán","688","BASICA","2","78","82","1","0","2","2","1","121","2","0","0","0","0","8"
"Metztitlán","689","BASICA","0","61","344","1","0","1","3","0","136","0","0","0","0","0","18"
"Metztitlán","690","BASICA","0","57","100","0","0","3","3","1","21","2","0","0","0","0","5"
"Metztitlán","691","BASICA","2","100","126","2","0","2","2","2","128","1","0","0","0","0","17"
"Metztitlán","692","BASICA","0","109","37","2","0","0","1","0","50","0","0","0","0","0","17"
"Metztitlán","693","BASICA","2","163","131","2","1","2","6","2","130","0","0","0","0","0","16"
"Metztitlán","694","BASICA","1","107","199","0","1","6","2","3","121","1","0","1","0","0","10"
"Metztitlán","695","BASICA","2","57","66","4","2","5","1","2","86","0","0","0","0","0","22"
"Metztitlán","695","CONTIGUA 1","2","43","74","7","3","5","1","1","83","0","0","0","0","0","17"
"Metztitlán","696","BASICA","0","56","6","1","1","0","1","1","81","0","1","0","0","0","5"
"Metztitlán","697","BASICA","2","89","188","4","1","4","0","0","85","0","0","0","0","0","9"
"Metztitlán","697","CONTIGUA 1","1","98","191","1","2","2","1","4","95","0","0","0","0","0","3"
"Metztitlán","698","BASICA","0","109","102","7","0","0","5","1","156","0","0","0","0","0","15"
"Metztitlán","699","BASICA","0","49","2","1","0","0","3","1","61","0","0","0","0","0","8"
