"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO","...19"
"Metepec","665","BASICA","3","46","57","0","7","54","109","3","230","11","0","7","0","0","9",NA
"Metepec","665","CONTIGUA 1","5","31","63","0","4","62","127","5","231","10","1","4","1","0","14",NA
"Metepec","665","CONTIGUA 2","3","28","70","0","5","63","140","9","225","5","1","6","0","0","12",NA
"Metepec","665","ESPECIAL 1","0","6","4","0","1","4","8","0","8","0","0","0","0","0","0","ANULADA"
"Metepec","666","BASICA","1","12","45","0","2","28","65","0","12","2","0","0","0","0","1",NA
"Metepec","667","BASICA","6","24","97","0","1","96","115","1","114","14","0","1","1","0","13",NA
"Metepec","667","CONTIGUA 1","2","25","90","0","4","77","133","0","114","9","2","0","1","0","12",NA
"Metepec","668","BASICA","3","11","196","0","2","90","97","2","126","3","0","2","1","0","9",NA
"Metepec","668","CONTIGUA 1","3","14","178","0","4","107","96","1","134","6","0","3","2","1","13",NA
"Metepec","668","CONTIGUA 2","2","11","174","0","3","106","96","2","139","5","0","2","0","0","15",NA
"Metepec","669","BASICA","0","9","30","0","3","153","82","0","27","0","0","1","0","0","7",NA
"Metepec","670","BASICA","2","5","48","0","5","75","70","0","92","4","0","6","0","0","16",NA
"Metepec","670","CONTIGUA 1","3","8","49","0","6","68","43","1","116","0","0","1","0","0","7",NA
"Metepec","671","BASICA","2","19","33","0","3","30","183","1","77","5","0","5","0","0","16",NA
"Metepec","671","CONTIGUA 1","1","29","34","0","8","28","181","3","80","12","1","5","0","0","12",NA
"Metepec","672","BASICA","1","21","24","0","0","9","65","2","68","12","1","4","0","0","0",NA
"Metepec","673","BASICA","4","40","85","0","11","67","166","5","83","12","0","5","0","0","6",NA
