"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO"
"Molango De Escamilla","765","BASICA","5","123","8","1","1","3","20","4","247","0","0","6","0","0","10"
"Molango De Escamilla","765","CONTIGUA 1","2","134","2","1","2","4","13","4","235","3","2","2","0","0","19"
"Molango De Escamilla","765","CONTIGUA 2","6","148","8","1","2","2","10","4","216","0","0","0","0","0","14"
"Molango De Escamilla","766","BASICA","11","159","9","3","3","1","23","14","230","7","0","7","0","0","16"
"Molango De Escamilla","766","CONTIGUA 1","4","149","3","1","1","3","19","7","258","5","1","2","0","0","18"
"Molango De Escamilla","766","CONTIGUA 2","4","172","10","0","1","4","29","7","214","3","0","4","0","0","18"
"Molango De Escamilla","767","BASICA","4","71","2","3","3","2","12","1","152","1","2","0","0","0","9"
"Molango De Escamilla","768","BASICA","11","62","12","2","3","0","58","4","119","2","0","5","0","0","35"
"Molango De Escamilla","769","BASICA","12","96","14","5","2","2","10","5","191","3","1","0","0","0","19"
"Molango De Escamilla","770","BASICA","1","49","2","0","0","0","8","1","64","0","0","0","0","0","8"
"Molango De Escamilla","771","BASICA","7","114","24","3","2","3","11","5","138","1","0","4","1","0","31"
"Molango De Escamilla","772","BASICA","16","157","8","1","2","1","17","7","124","2","1","1","0","0","25"
"Molango De Escamilla","773","BASICA","5","145","24","5","3","4","10","5","106","1","0","0","0","0","17"
"Molango De Escamilla","774","BASICA","4","44","2","1","3","0","1","4","38","2","0","0","0","0","4"
"Molango De Escamilla","775","BASICA","1","91","5","1","0","2","1","0","92","0","1","1","0","0","4"
"Molango De Escamilla","776","BASICA","5","38","2","1","1","0","10","1","190","0","0","0","0","0","12"
"Molango De Escamilla","777","BASICA","1","54","1","0","1","2","5","2","84","0","0","0","0","0","11"
"Molango De Escamilla","778","BASICA","1","62","5","0","1","2","9","16","62","0","0","0","0","0","9"
"Molango De Escamilla","779","BASICA","14","96","14","7","0","3","11","4","13","2","1","0","0","7","122"
