"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Tizayuca","1350","BASICA","43","157","11","8","4","5","14","17","68","1","10"
"Tizayuca","1350","CONTIGUA 1","51","130","8","5","6","8","11","28","78","0","10"
"Tizayuca","1350","CONTIGUA 2","58","144","15","8","7","10","10","21","69","0","3"
"Tizayuca","1351","BASICA","29","174","5","3","7","8","18","12","45","0","5"
"Tizayuca","1351","CONTIGUA 1","28","150","4","2","6","10","9","19","53","0","8"
"Tizayuca","1351","CONTIGUA 2","21","178","3","3","7","9","9","16","84","0","2"
"Tizayuca","1352","BASICA","35","161","6","3","10","8","13","16","68","0","6"
"Tizayuca","1352","CONTIGUA 1","21","225","0","3","5","10","5","8","79","0","3"
"Tizayuca","1352","CONTIGUA 2","19","198","2","3","4","9","13","11","46","0","5"
"Tizayuca","1352","CONTIGUA 3","21","163","3","3","5","8","9","13","63","0","10"
"Tizayuca","1352","CONTIGUA 4","28","185","5","6","4","6","11","17","51","0","5"
"Tizayuca","1353","BASICA","32","136","4","5","6","8","12","12","77","0","5"
"Tizayuca","1353","CONTIGUA 1","33","222","9","2","4","3","12","14","78","0","5"
"Tizayuca","1353","CONTIGUA 2","46","159","3","4","4","2","12","9","61","0","10"
"Tizayuca","1353","CONTIGUA 3","27","167","4","2","10","10","8","7","71","1","6"
"Tizayuca","1354","BASICA","25","125","8","4","5","7","21","17","75","0","7"
"Tizayuca","1354","CONTIGUA 1","21","128","6","8","5","7","9","17","78","0","6"
"Tizayuca","1354","ESPECIAL","14","31","6","1","1","1","3","12","32","0","0"
"Tizayuca","1355","BASICA","22","110","3","2","8","5","24","12","95","0","5"
"Tizayuca","1355","CONTIGUA 1","25","82","3","4","6","5","21","5","82","0","8"
"Tizayuca","1355","CONTIGUA 2","26","131","4","4","5","6","26","12","56","0","3"
"Tizayuca","1356","BASICA","31","151","3","7","7","14","18","18","71","0","10"
"Tizayuca","1356","CONTIGUA 1","37","140","7","3","4","14","19","24","48","0","6"
"Tizayuca","1357","BASICA","25","74","5","1","2","4","5","13","46","0","6"
"Tizayuca","1357","CONTIGUA 1","23","77","4","5","1","6","6","14","52","0","7"
"Tizayuca","1357","CONTIGUA 2","30","72","8","1","1","8","4","18","57","0","4"
"Tizayuca","1357","CONTIGUA 3","25","98","6","6","4","4","5","11","50","0","6"
"Tizayuca","1357","CONTIGUA 4","17","58","6","2","1","9","9","10","58","0","7"
"Tizayuca","1358","BASICA","24","112","9","1","12","7","10","20","65","0","9"
"Tizayuca","1358","CONTIGUA 1","25","111","6","3","6","4","11","24","53","0","9"
"Tizayuca","1358","CONTIGUA 2","13","87","10","3","6","1","7","24","45","0","2"
"Tizayuca","1358","CONTIGUA 3","26","93","4","2","7","12","11","17","38","0","5"
"Tizayuca","1358","CONTIGUA 4","21","129","5","7","3","9","12","22","43","0","10"
