"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Juárez Hidalgo","642","BASICA","0","277","216","0","0","7","1","4","0","0","5"
"Juárez Hidalgo","643","BASICA","0","147","152","0","0","0","1","2","0","0","3"
"Juárez Hidalgo","644","BASICA","2","211","209","0","0","0","1","55","0","0","5"
"Juárez Hidalgo","645","BASICA","1","138","207","0","0","1","4","16","0","0","4"
"Juárez Hidalgo","645","CONTIGUA 1","1","124","218","0","0","0","11","16","0","0","10"
