"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","FRANCISCO JAVIER HERNANDEZ CORTEZ","NO REGISTRADO","NULO"
"Tlanalapa","1395","BASICA","30","63","11","54","2","88","35","36","7","2","0","1","0","99","0","19"
"Tlanalapa","1395","CONTIGUA 1","20","58","8","65","1","82","39","26","8","3","1","2","0","85","0","10"
"Tlanalapa","1396","BASICA","33","54","8","34","0","109","16","12","2","1","0","0","0","127","0","8"
"Tlanalapa","1396","CONTIGUA 1","17","51","7","36","2","107","28","14","5","3","0","3","0","123","0","10"
"Tlanalapa","1397","BASICA","21","49","5","71","1","113","20","22","8","1","0","1","0","82","0","7"
"Tlanalapa","1397","CONTIGUA 1","31","54","14","42","0","105","17","35","5","5","0","5","0","76","0","8"
"Tlanalapa","1398","BASICA","25","59","7","74","2","146","11","42","16","0","1","0","0","92","0","15"
"Tlanalapa","1398","CONTIGUA 1","25","52","6","82","0","118","16","46","8","1","0","1","0","108","0","13"
"Tlanalapa","1399","BASICA","17","42","11","40","1","69","21","17","7","0","0","0","0","103","0","5"
"Tlanalapa","1399","CONTIGUA 1","10","31","14","39","0","85","20","18","9","4","1","1","0","82","0","9"
"Tlanalapa","1399","CONTIGUA 2","14","32","6","26","0","80","24","32","3","3","0","1","0","99","0","2"
"Tlanalapa","1400","BASICA","4","79","19","9","5","18","17","13","2","4","0","4","0","32","0","4"
"Tlanalapa","1401","BASICA","15","73","6","67","4","44","33","17","25","5","1","3","0","94","0","8"
"Tlanalapa","1402","BASICA","34","37","3","17","3","37","47","22","2","0","0","1","0","37","0","6"
"Tlanalapa","1402","CONTIGUA 1","24","54","2","22","5","38","34","32","1","0","0","1","0","50","0","4"
