"Municipio","NO. CASILLA","TIPO DE CASILLA","Partido Acción Nacional","Partido Revolucionario Institutcional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","C.I.","C.N.R","Nulos"
"Calnali","224","BÁSICA","1","120","109","8","29","0","13","13","161","0","0","17"
"Calnali","224","CONTIGUA 1","4","152","103","11","13","1","11","9","139","1","0","16"
"Calnali","224","CONTIGUA 3","1","160","104","8","30","0","4","7","157","2","0","17"
"Calnali","224","CONTIGUA2","3","158","108","7","15","1","7","7","128","7","0","23"
"Calnali","225","BÁSICA","1","136","171","11","15","0","5","2","118","1","0","18"
"Calnali","225","CONTIGUA 1","0","127","149","16","16","1","5","4","117","4","0","27"
"Calnali","226","BASICA","1","58","13","1","19","1","5","0","87","1","0","7"
"Calnali","226","EXTRAORDINARIA","0","43","20","4","37","0","1","0","18","0","0","8"
"Calnali","227","BÁSICA","0","207","72","1","2","0","2","1","139","2","0","13"
"Calnali","228","BASICA","6","78","80","20","47","3","9","22","250","8","0","25"
"Calnali","228","CONTIGUA 1","3","86","106","45","16","0","5","16","230","9","0","32"
"Calnali","229","BASICA","4","89","121","21","5","1","7","29","210","3","0","18"
"Calnali","230","BASICA","1","85","182","9","16","1","27","3","142","4","0","10"
"Calnali","231","BASICA","1","109","37","4","16","2","6","0","151","2","0","10"
"Calnali","232","BÁSICA","1","107","127","9","21","2","4","10","142","16","0","37"
"Calnali","232","CONTIGUA 1","7","78","96","3","32","1","12","5","122","14","0","49"
"Calnali","232","CONTIGUA 2","9","86","218","7","23","2","9","30","110","37","0","33"
"Calnali","233","BÁSICA","1","101","138","2","1","2","4","0","155","5","0","10"
"Calnali","234","BASICA","2","97","166","0","26","0","3","5","89","4","0","14"
"Calnali","235","BASICA","4","135","126","8","18","0","10","1","175","23","0","11"
"Calnali","236","BASICA","3","157","63","11","40","0","10","84","160","16","0","41"
"Calnali","237","BASICA","0","72","80","4","3","0","1","3","56","0","0","3"
